cbsa_fips,cbsa,clusterz_13,clusterz_11,clusterz_21,clusterz_17,clusterm_13,clusterm_11,clusterm_21,clusterm_17
10180,"Abilene, TX",1,1,1,1,1,1,1,1
10420,"Akron, OH",2,2,2,2,2,2,2,2
10500,"Albany, GA",1,1,3,3,1,1,1,1
10580,"Albany-Schenectady-Troy, NY",2,2,2,2,3,3,3,3
10740,"Albuquerque, NM",3,3,4,4,4,4,4,4
10780,"Alexandria, LA",1,1,3,3,1,1,1,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,4,5,5,2,2,5,5
11020,"Altoona, PA",5,2,6,6,5,5,6,6
11100,"Amarillo, TX",6,5,7,7,4,4,4,4
11180,"Ames, IA",7,6,8,8,6,4,7,7
11260,"Anchorage, AK",3,3,9,9,4,4,8,8
11460,"Ann Arbor, MI",7,6,8,8,6,4,7,7
11500,"Anniston-Oxford-Jacksonville, AL",5,2,10,6,5,5,6,6
11540,"Appleton, WI",4,4,11,10,4,4,9,4
11700,"Asheville, NC",3,3,4,4,1,1,1,1
12020,"Athens-Clarke County, GA",7,6,8,8,6,4,7,7
12060,"Atlanta-Sandy Springs-Roswell, GA",6,5,12,11,3,3,3,3
12100,"Atlantic City-Hammonton, NJ",4,4,5,5,2,2,5,5
12220,"Auburn-Opelika, AL",6,5,7,7,6,4,7,7
12260,"Augusta-Richmond County, GA-SC",1,1,3,3,4,4,4,4
12420,"Austin-Round Rock, TX",6,5,12,11,4,4,8,8
12540,"Bakersfield, CA",8,7,13,12,7,1,10,9
12580,"Baltimore-Columbia-Towson, MD",9,8,14,13,8,6,11,10
12620,"Bangor, ME",5,2,6,6,5,5,12,11
12700,"Barnstable Town, MA",10,9,15,14,9,7,13,12
12940,"Baton Rouge, LA",6,5,7,7,4,4,4,4
12980,"Battle Creek, MI",1,1,1,1,10,8,14,13
13020,"Bay City, MI",5,2,6,6,5,5,6,6
13140,"Beaumont-Port Arthur, TX",1,1,1,1,1,1,1,1
13380,"Bellingham, WA",3,3,4,4,4,4,9,4
13460,"Bend-Redmond, OR",3,3,4,4,4,4,9,4
13740,"Billings, MT",3,3,4,4,4,4,9,4
13780,"Binghamton, NY",5,2,6,6,2,2,2,2
13820,"Birmingham-Hoover, AL",5,2,10,6,5,5,6,6
