cbsa_fips,cbsa,population_2015,clusterm_10,clusterm_18
35620,"New York-Newark-Jersey City, NY-NJ-PA",19999935,8,15
31080,"Los Angeles-Long Beach-Anaheim, CA",13250999,8,15
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9557880,2,2
19100,"Dallas-Fort Worth-Arlington, TX",7109280,3,3
26420,"Houston-The Woodlands-Sugar Land, TX",6676565,3,3
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6082465,8,12
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6057621,8,15
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",5998284,3,3
12060,"Atlanta-Sandy Springs-Roswell, GA",5688284,3,3
14460,"Boston-Cambridge-Newton, MA-NH",4779753,8,12
41860,"San Francisco-Oakland-Hayward, CA",4649539,8,15
38060,"Phoenix-Mesa-Scottsdale, AZ",4581122,3,3
40140,"Riverside-San Bernardino-Ontario, CA",4465232,7,11
19820,"Detroit-Warren-Dearborn, MI",4309845,2,2
42660,"Seattle-Tacoma-Bellevue, WA",3738316,3,3
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3519501,3,3
41740,"San Diego-Carlsbad, CA",3284061,3,3
45300,"Tampa-St. Petersburg-Clearwater, FL",2969251,3,3
19740,"Denver-Aurora-Lakewood, CO",2813514,3,3
41180,"St. Louis, MO-IL",2807498,2,2
12580,"Baltimore-Columbia-Towson, MD",2790285,8,12
16740,"Charlotte-Concord-Gastonia, NC-SC",2422408,3,3
36740,"Orlando-Kissimmee-Sanford, FL",2387554,3,3
38900,"Portland-Vancouver-Hillsboro, OR-WA",2382370,3,3
41700,"San Antonio-New Braunfels, TX",2380630,1,14
38300,"Pittsburgh, PA",2347907,2,2
40900,"Sacramento--Roseville--Arden-Arcade, CA",2264065,3,3
17140,"Cincinnati, OH-KY-IN",2157640,2,2
29820,"Las Vegas-Henderson-Paradise, NV",2098105,3,3
28140,"Kansas City, MO-KS",2085979,1,14
