  cty_fips  ,cty,pki15
"1,001","Autauga, AL",38746
"1,003","Baldwin, AL",41449
"1,005","Barbour, AL",31361
"1,007","Bibb, AL",28907
"1,009","Blount, AL",32093
"1,011","Bullock, AL",26359
"1,013","Butler, AL",33483
"1,015","Calhoun, AL",34182
"1,017","Chambers, AL",31506
"1,019","Cherokee, AL",33132
"1,021","Chilton, AL",31830
"1,023","Choctaw, AL",35317
"1,025","Clarke, AL",33683
"1,027","Clay, AL",30921
"1,029","Cleburne, AL",33441
"1,031","Coffee, AL",39664
"1,033","Colbert, AL",35716
"1,035","Conecuh, AL",30102
"1,037","Coosa, AL",28076
"1,039","Covington, AL",32468
"1,041","Crenshaw, AL",36105
"1,043","Cullman, AL",36856
"1,045","Dale, AL",34197
"1,047","Dallas, AL",32124
"1,049","DeKalb, AL",29844
"1,051","Elmore, AL",38484
"1,053","Escambia, AL",30340
"1,055","Etowah, AL",34077
"1,057","Fayette, AL",32221
"1,059","Franklin, AL",31215
"1,061","Geneva, AL",32363
"1,063","Greene, AL",30262
"1,065","Hale, AL",34161
"1,067","Henry, AL",36182
"1,069","Houston, AL",38667
"1,071","Jackson, AL",33719
"1,073","Jefferson, AL",48969
"1,075","Lamar, AL",31428
"1,077","Lauderdale, AL",35009
"1,079","Lawrence, AL",31573
"1,081","Lee, AL",34188
"1,083","Limestone, AL",38076
"1,085","Lowndes, AL",38711
"1,087","Macon, AL",29684
"1,089","Madison, AL",46934
"1,091","Marengo, AL",36175
"1,093","Marion, AL",30268
"1,095","Marshall, AL",33657
"1,097","Mobile, AL",35924
"1,099","Monroe, AL",31178
"1,101","Montgomery, AL",40562
"1,103","Morgan, AL",36580
"1,105","Perry, AL",28394
"1,107","Pickens, AL",30228
"1,109","Pike, AL",34449
"1,111","Randolph, AL",30935
"1,113","Russell, AL",30415
"1,115","St. Clair, AL",35041
"1,117","Shelby, AL",50159
"1,119","Sumter, AL",30443
"1,121","Talladega, AL",31665
"1,123","Tallapoosa, AL",37359
"1,125","Tuscaloosa, AL",35938
"1,127","Walker, AL",37304
"1,129","Washington, AL",33956
"1,131","Wilcox, AL",29550
"1,133","Winston, AL",31669
"2,010","Aleutian Islands Census Area, AK*",(NA)
"2,013","Aleutians East Borough, AK*",49880
"2,016","Aleutians West Census Area, AK*",52557
"2,020","Anchorage Municipality, AK",63904
"2,050","Bethel Census Area, AK*",40615
"2,060","Bristol Bay Borough, AK",110414
"2,068","Denali Borough, AK*",78884
"2,070","Dillingham Census Area, AK*",54935
"2,090","Fairbanks North Star Borough, AK",53781
"2,100","Haines Borough, AK",58570
"2,105","Hoonah-Angoon Census Area, AK*",56599
"2,110","Juneau City and Borough, AK",63450
"2,122","Kenai Peninsula Borough, AK",51355
