cbsa_fips,cbsa,percapita_income_2015
998,United States ,50747
10180,"Abilene, TX ",40822
10420,"Akron, OH ",44994
10500,"Albany, GA ",34848
10540,"Albany-Lebanon, OR ",38055
10580,"Albany-Schenectady-Troy, NY ",52591
10740,"Albuquerque, NM ",38863
10780,"Alexandria, LA ",40653
10900,"Allentown-Bethlehem-Easton, PA-NJ ",48554
11020,"Altoona, PA ",41996
11100,"Amarillo, TX ",43296
11180,"Ames, IA ",40064
11260,"Anchorage, AK ",59602
11460,"Ann Arbor, MI ",52348
11500,"Anniston-Oxford, AL ",34182
11540,"Appleton, WI ",46241
11700,"Asheville, NC ",40618
12020,"Athens-Clarke County, GA ",36750
12060,"Atlanta-Sandy Springs-Alpharetta, GA ",46757
12100,"Atlantic City-Hammonton, NJ ",44345
12220,"Auburn-Opelika, AL ",34188
12260,"Augusta-Richmond County, GA-SC ",38354
12420,"Austin-Round Rock-Georgetown, TX ",51555
12540,"Bakersfield, CA ",38015
12580,"Baltimore-Columbia-Towson, MD ",56362
12620,"Bangor, ME ",37914
12700,"Barnstable Town, MA ",65472
12940,"Baton Rouge, LA ",43806
12980,"Battle Creek, MI ",37171
13020,"Bay City, MI ",38421
13140,"Beaumont-Port Arthur, TX ",41975
13220,"Beckley, WV ",34987
13380,"Bellingham, WA ",43991
13460,"Bend, OR ",47523
13740,"Billings, MT ",47812
13780,"Binghamton, NY ",40158
13820,"Birmingham-Hoover, AL ",46071
13900,"Bismarck, ND ",55829
13980,"Blacksburg-Christiansburg, VA ",35123
14010,"Bloomington, IL ",45818
14020,"Bloomington, IN ",36615
14100,"Bloomsburg-Berwick, PA ",40723
14260,"Boise City, ID ",41457
14460,"Boston-Cambridge-Newton, MA-NH ",69396
14500,"Boulder, CO ",63953
14540,"Bowling Green, KY ",34533
14740,"Bremerton-Silverdale-Port Orchard, WA ",48816
14860,"Bridgeport-Stamford-Norwalk, CT ",104396
15180,"Brownsville-Harlingen, TX ",26604
15260,"Brunswick, GA ",37076
15380,"Buffalo-Cheektowaga, NY ",45370
15500,"Burlington, NC ",36830
15540,"Burlington-South Burlington, VT ",52905
15680,"California-Lexington Park, MD ",52337
15940,"Canton-Massillon, OH ",41291
15980,"Cape Coral-Fort Myers, FL ",46476
16020,"Cape Girardeau, MO-IL ",39468
16060,"Carbondale-Marion, IL ",37389
16180,"Carson City, NV ",45452
16220,"Casper, WY ",73239
16300,"Cedar Rapids, IA ",48143
16540,"Chambersburg-Waynesboro, PA ",42012
16580,"Champaign-Urbana, IL ",43919
16620,"Charleston, WV ",40152
16700,"Charleston-North Charleston, SC ",45213
16740,"Charlotte-Concord-Gastonia, NC-SC ",46603
16820,"Charlottesville, VA ",57019
16860,"Chattanooga, TN-GA ",41996
16940,"Cheyenne, WY ",49731
16980,"Chicago-Naperville-Elgin, IL-IN-WI ",55275
17020,"Chico, CA ",40755
17140,"Cincinnati, OH-KY-IN ",48498
17300,"Clarksville, TN-KY ",38757
17420,"Cleveland, TN ",36308
17460,"Cleveland-Elyria, OH ",48522
17660,"Coeur d'Alene, ID ",40453
17780,"College Station-Bryan, TX ",36197
17820,"Colorado Springs, CO ",44704
17860,"Columbia, MO ",42521
17900,"Columbia, SC ",41374
17980,"Columbus, GA-AL ",37276
18020,"Columbus, IN ",45961
18140,"Columbus, OH ",47251
18580,"Corpus Christi, TX ",42397
18700,"Corvallis, OR ",42077
18880,"Crestview-Fort Walton Beach-Destin, FL ",46809
