cluster,centroid_01,centroid_02,centroid_03,centroid_04,centroid_05,centroid_06,centroid_07,centroid_08,centroid_09
1,-0.114,-0.729,0.179,-0.928,0.184,1.255**,0.829,0.359,-0.264
2,1.334,2.174**,2.53**,0.234,-0.017,-0.204,-0.561,0.715,0.447
3,0.141,-1.159,-2.127**,1.368,-3.124**,-0.216,0.174,1.086,0.949
4,2.042**,0.885,-1.167,1.126,1.55**,1.366**,1.592**,-3.561**,2.956**
5,0.147,-0.684,0.422,-0.338,-0.379,-1.429**,0.277,-0.879,-0.441
6,-5.571*,2.068**,-0.633,0.514,0.282,0.1,-0.61,-0.242,0.079
7,1.562*,-1.099**,-2.205*,-3.365*,0.222,0.613,-3.709**,-0.462,0.317
8,3.546**,3.918*,-3.198,3.368*,-0.044,1.35,-0.439,-0.708,-1.91
9,-0.28,-5.142*,1.057**,4.287**,2.215**,0.138,-1.404,0.489,0.017
10,1.312,1.436,-4.702**,-1.053,3.802*,-3.234*,1.459**,2.57**,0.597
