cluster,centroid_01,centroid_02,centroid_03,centroid_04,centroid_05,centroid_06,centroid_07,centroid_08,centroid_09,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17
1,2.068*,-1.096**,-0.462,-0.744,-0.112,-0.493,-1.363**,0.558,-0.166,0.048,-0.383,0.056,-0.165,0.23,-0.084,-0.244,0.136
2,-2.373**,0.688,3.803*,-0.183,-1.369,0.618,0.775,-0.482,0.389,0.776,0.265,-0.016,0.868,-0.204,-0.318,-0.693,0.172
3,-0.772,2.552**,-2.182**,0.645,-0.731,2.912**,0.497,1.29,-0.731,0.158,0.896,-0.404,-0.213,0.421,0.042,-0.015,0.059
4,0.92,2.74**,1.248,0.943,0.96,-1.35,-2.639*,-1.063**,1.483**,-2.228**,3.11**,0.463,0.354,0.205,0.128,0.07,0.013
5,1.144**,-1.611*,3.537*,-0.729,-0.701,-0.408,0.796,0.35,0.552,0.481,0.352,-0.61,-0.559,0.161,0.384,0.377,0.039
6,1.744*,-0.547,-1.344**,0.603,1.298,0.567,1.021,-0.429,0.864,0.445,0.19,0.771,-0.616,-0.421,-0.055,-0.163,-0.061
7,-13.572*,-2.337**,-1.711**,-0.09,0.58,-1.709**,0.777,-0.534,0.113,-0.559,0.195,0.125,-0.897,0.272,-1.262,0.632,0.992
8,-4.376*,-0.381,-0.72,1.089**,2.243**,0.535,1.148,0.304,0.164,-0.533,-1.325,1.952**,1.37**,0.574,1.954**,0.079,0.946
9,1.009**,-1.025,1.568**,0.659,1.508**,0.772,0.383,-0.268,-1.034,-1.057,-0.347,-0.169,0.231,-0.13,-0.175,0.125,-0.105
10,-7.626*,-1.637*,-1.397**,-0.694,0.34,-0.691,-0.489,-0.398,-0.204,-0.123,0.021,-0.517,-0.229,-0.033,0.477,-0.369,-0.572
11,2.864*,1.419**,-2.807*,-3.574*,-0.919,-0.44,0.772,-3.308**,-0.888,0.475,0.15,-0.272,0.298,0.221,0.09,0.199,0.088
12,-2.159**,5.807*,3.04**,0.906,-0.512,-0.013,-0.444,-0.693,0.672,0.429,-1.65,1.457**,-0.348,1.264,-0.366,0.354,-0.608
13,1.9**,-1.217**,-2.964*,4.93**,-3.199**,-0.839,0.814,-0.616,1.38,-0.978,-0.85,-0.849,0.378,0.118,-0.017,0.029,-0.022
14,-1,-0.242,-0.944,-0.467,-0.563,0.442,-1.287**,0.693,0.311,0.859**,-0.058,0.226,0.714,-0.619,-0.077,0.554,-0.122
15,-1.641**,12.464*,1.873,0.993**,0.222,-1.123,-1.934,-0.537,-0.377,-0.749,-1.936,-1.533,-1.489,-1.907*,0.587,-0.13,0.613
16,1.642,3.998**,-1.998**,-1.234**,2.86*,-4.634*,2.863**,2.678**,0.172,0.283,0.23,-0.594,0.838,0.185,-0.236,-0.057,-0.162
17,-0.347,0.442,0.348,-9.311,-15.234,-3.242,5.182,4.536,-3.185,-6.97,0.503,5.064,-1.15,-1.813,0.2,-0.092,-0.461
18,1.202,-0.985,2.517,17.097,-3.041,-9.041,-1.046,-1.462,-9.387,5.831,3.39,2.467,-0.741,-0.348,0.503,0.089,0.027
