cbsa_fips,cbsa,cluster3,cluster7,cluster14
10180,"Abilene, TX",1,1,1
10420,"Akron, OH",2,2,2
10500,"Albany, GA",1,1,1
10580,"Albany-Schenectady-Troy, NY",2,2,2
10740,"Albuquerque, NM",1,3,3
10780,"Alexandria, LA",1,1,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2,2,4
11020,"Altoona, PA",2,2,5
11100,"Amarillo, TX",1,4,6
11180,"Ames, IA",3,5,7
11460,"Ann Arbor, MI",3,5,8
11500,"Anniston-Oxford-Jacksonville, AL",2,2,5
11540,"Appleton, WI",1,4,9
11700,"Asheville, NC",1,4,9
12020,"Athens-Clarke County, GA",3,5,8
12060,"Atlanta-Sandy Springs-Roswell, GA",1,3,3
12100,"Atlantic City-Hammonton, NJ",2,2,4
12220,"Auburn-Opelika, AL",3,5,8
12260,"Augusta-Richmond County, GA-SC",1,1,1
12420,"Austin-Round Rock, TX",1,3,3
12540,"Bakersfield, CA",1,1,10
12580,"Baltimore-Columbia-Towson, MD",2,2,2
12620,"Bangor, ME",3,5,8
12700,"Barnstable Town, MA",1,6,11
12940,"Baton Rouge, LA",1,3,12
12980,"Battle Creek, MI",1,4,9
13020,"Bay City, MI",2,2,5
13140,"Beaumont-Port Arthur, TX",1,1,1
13380,"Bellingham, WA",1,4,6
13460,"Bend-Redmond, OR",1,4,6
13740,"Billings, MT",1,4,9
13780,"Binghamton, NY",2,2,2
13820,"Birmingham-Hoover, AL",2,2,5
13900,"Bismarck, ND",1,4,9
13980,"Blacksburg-Christiansburg-Radford, VA",3,5,8
14010,"Bloomington, IL",1,4,9
14020,"Bloomington, IN",3,5,8
14260,"Boise City, ID",1,3,3
14460,"Boston-Cambridge-Newton, MA-NH",2,7,13
14500,"Boulder, CO",3,5,8
14540,"Bowling Green, KY",1,1,1
14740,"Bremerton-Silverdale, WA",2,2,4
14860,"Bridgeport-Stamford-Norwalk, CT",2,7,13
15180,"Brownsville-Harlingen, TX",1,1,10
15260,"Brunswick, GA",1,1,1
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2,2,2
15500,"Burlington, NC",1,1,1
15540,"Burlington-South Burlington, VT",3,5,8
15940,"Canton-Massillon, OH",2,2,5
15980,"Cape Coral-Fort Myers, FL",1,3,3
16180,"Carson City, NV",1,4,6
16220,"Casper, WY",1,4,6
16300,"Cedar Rapids, IA",1,4,9
16580,"Champaign-Urbana, IL",3,5,8
16620,"Charleston, WV",2,2,5
16700,"Charleston-North Charleston, SC",1,3,12
16740,"Charlotte-Concord-Gastonia, NC-SC",1,3,3
16820,"Charlottesville, VA",3,5,8
16860,"Chattanooga, TN-GA",1,1,1
16940,"Cheyenne, WY",1,4,6
16980,"Chicago-Naperville-Elgin, IL-IN-WI",2,7,13
17020,"Chico, CA",1,4,6
17140,"Cincinnati, OH-KY-IN",2,2,2
17300,"Clarksville, TN-KY",1,1,1
17420,"Cleveland, TN",1,1,1
17460,"Cleveland-Elyria, OH",2,2,2
17660,"Coeur d'Alene, ID",1,4,6
17780,"College Station-Bryan, TX",3,5,8
17820,"Colorado Springs, CO",1,3,3
17860,"Columbia, MO",3,5,8
17900,"Columbia, SC",1,3,12
17980,"Columbus, GA-AL",1,1,1
18020,"Columbus, IN",1,4,9
18140,"Columbus, OH",1,3,12
18580,"Corpus Christi, TX",1,1,1
18700,"Corvallis, OR",3,5,7
18880,"Crestview-Fort Walton Beach-Destin, FL",1,4,6
19060,"Cumberland, MD-WV",2,2,5
19100,"Dallas-Fort Worth-Arlington, TX",1,3,3
19140,"Dalton, GA",1,1,1
19180,"Danville, IL",2,2,5
19340,"Davenport-Moline-Rock Island, IA-IL",1,4,9
19380,"Dayton, OH",2,2,2
19460,"Decatur, AL",1,1,1
19500,"Decatur, IL",2,2,5
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1,6,11
19740,"Denver-Aurora-Lakewood, CO",1,3,3
19780,"Des Moines-West Des Moines, IA",1,4,9
19820,"Detroit-Warren-Dearborn, MI",2,2,2
20020,"Dothan, AL",1,1,1
20100,"Dover, DE",2,2,4
20220,"Dubuque, IA",1,4,9
20260,"Duluth, MN-WI",1,4,9
20500,"Durham-Chapel Hill, NC",3,5,8
20740,"Eau Claire, WI",1,4,9
20940,"El Centro, CA",1,1,10
21060,"Elizabethtown-Fort Knox, KY",1,1,1
21140,"Elkhart-Goshen, IN",1,4,9
21300,"Elmira, NY",2,2,5
21340,"El Paso, TX",1,1,10
21500,"Erie, PA",2,2,5
21660,"Eugene, OR",3,5,8
21780,"Evansville, IN-KY",2,2,5
22020,"Fargo, ND-MN",3,5,8
22140,"Farmington, NM",1,1,10
22180,"Fayetteville, NC",1,1,1
22220,"Fayetteville-Springdale-Rogers, AR-MO",1,3,12
22380,"Flagstaff, AZ",3,5,8
22420,"Flint, MI",2,2,2
22500,"Florence, SC",1,1,1
22520,"Florence-Muscle Shoals, AL",1,1,1
22540,"Fond du Lac, WI",1,4,9
22660,"Fort Collins, CO",3,5,8
22900,"Fort Smith, AR-OK",1,1,1
23060,"Fort Wayne, IN",1,4,9
23420,"Fresno, CA",1,1,10
23460,"Gadsden, AL",2,2,5
23540,"Gainesville, FL",3,5,8
23580,"Gainesville, GA",1,1,1
24020,"Glens Falls, NY",1,4,9
24140,"Goldsboro, NC",1,1,1
24220,"Grand Forks, ND-MN",3,5,7
24300,"Grand Junction, CO",1,4,6
24340,"Grand Rapids-Wyoming, MI",1,4,9
24500,"Great Falls, MT",1,4,6
24540,"Greeley, CO",1,4,6
24580,"Green Bay, WI",1,4,9
24660,"Greensboro-High Point, NC",1,3,12
24780,"Greenville, NC",1,1,1
24860,"Greenville-Anderson-Mauldin, SC",1,3,12
25060,"Gulfport-Biloxi-Pascagoula, MS",1,1,1
25180,"Hagerstown-Martinsburg, MD-WV",1,4,9
25260,"Hanford-Corcoran, CA",1,1,10
25420,"Harrisburg-Carlisle, PA",2,2,2
25500,"Harrisonburg, VA",1,4,9
25540,"Hartford-West Hartford-East Hartford, CT",2,2,2
25620,"Hattiesburg, MS",3,5,8
25860,"Hickory-Lenoir-Morganton, NC",1,1,1
25980,"Hinesville, GA",1,1,1
26300,"Hot Springs, AR",1,6,11
26380,"Houma-Thibodaux, LA",1,1,1
26420,"Houston-The Woodlands-Sugar Land, TX",1,3,3
26580,"Huntington-Ashland, WV-KY-OH",2,2,5
26620,"Huntsville, AL",1,3,12
26820,"Idaho Falls, ID",1,4,6
26900,"Indianapolis-Carmel-Anderson, IN",1,3,12
26980,"Iowa City, IA",3,5,8
27060,"Ithaca, NY",3,5,7
27100,"Jackson, MI",2,2,5
27140,"Jackson, MS",1,3,12
27180,"Jackson, TN",1,1,1
27260,"Jacksonville, FL",1,3,12
27340,"Jacksonville, NC",1,1,1
27500,"Janesville-Beloit, WI",1,4,9
27620,"Jefferson City, MO",1,4,9
27740,"Johnson City, TN",1,1,1
27780,"Johnstown, PA",2,2,5
27860,"Jonesboro, AR",1,1,1
27900,"Joplin, MO",1,4,9
28020,"Kalamazoo-Portage, MI",2,2,2
28100,"Kankakee, IL",1,4,9
28140,"Kansas City, MO-KS",1,3,12
28420,"Kennewick-Richland, WA",1,4,6
28660,"Killeen-Temple, TX",1,1,1
28700,"Kingsport-Bristol-Bristol, TN-VA",1,1,1
28740,"Kingston, NY",1,4,9
28940,"Knoxville, TN",1,3,12
