cbsa,access
"Ithaca, NY",99.42304382270494
"New York-Newark-Jersey City, NY-NJ-PA",99.14685937932806
"Ames, IA",98.89388479551155
"Iowa City, IA",98.66586543571663
"Champaign-Urbana, IL",98.3860494259253
"Boston-Cambridge-Newton, MA-NH",97.66746653613143
"Urban Honolulu, HI",97.6027187314421
"State College, PA",97.03826882112716
"Ann Arbor, MI",96.69687444304849
"San Francisco-Oakland-Hayward, CA",93.88024001994174
"Madison, WI",93.55326728772184
"Boulder, CO",93.22917943340713
"Bremerton-Silverdale, WA",92.81683951300008
"Trenton, NJ",92.45592583971096
"Bloomington, IN",92.22448906133121
"Santa Maria-Santa Barbara, CA",89.54227727017866
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",89.2874529364017
"Atlantic City-Hammonton, NJ",89.02133631487354
"Eugene, OR",88.78556844229662
"Seattle-Tacoma-Bellevue, WA",88.13895001790118
"Bellingham, WA",87.45938682735772
"Pittsburgh, PA",87.10779036205562
"Lafayette-West Lafayette, IN",86.59688333079461
"Portland-Vancouver-Hillsboro, OR-WA",86.41158717685244
"Corvallis, OR",86.00242676927513
"Charlottesville, VA",85.22207694996558
"Washington-Arlington-Alexandria, DC-VA-MD-WV",84.18246220633091
"Santa Cruz-Watsonville, CA",84.04112271451174
"Chicago-Naperville-Elgin, IL-IN-WI",83.44753032221382
"Burlington-South Burlington, VT",82.60015628128306
"Albany-Schenectady-Troy, NY",81.53494153999642
"New Haven-Milford, CT",81.32106517882784
"Missoula, MT",79.71429493036345
"Syracuse, NY",79.66853094974732
"Bridgeport-Stamford-Norwalk, CT",79.6577206099135
"Blacksburg-Christiansburg-Radford, VA",79.47334842343487
"Norwich-New London, CT",78.43987310867865
"Springfield, MA",78.40964575191134
"Lawrence, KS",77.88020120802211
"Durham-Chapel Hill, NC",77.84776212083753
"Athens-Clarke County, GA",77.15808276056077
"Lansing-East Lansing, MI",77.15773855978706
"Muncie, IN",77.02501317522952
"Flagstaff, AZ",76.97410261154607
"Baltimore-Columbia-Towson, MD",76.79531792039725
"Provo-Orem, UT",76.67307024662219
"Los Angeles-Long Beach-Anaheim, CA",76.45319363658588
"Gainesville, FL",76.31049550879536
"College Station-Bryan, TX",76.2374750263211
"Bloomington, IL",75.77090469844583
"Rochester, MN",75.65823858831506
"Buffalo-Cheektowaga-Niagara Falls, NY",75.3743884562797
"Kingston, NY",75.18941906557907
"Duluth, MN-WI",74.6653726914213
"Binghamton, NY",74.6280512273091
"Logan, UT-ID",74.60349431009622
"Ocean City, NJ",74.48975095115281
"Providence-Warwick, RI-MA",73.35359647763087
"Milwaukee-Waukesha-West Allis, WI",72.85407065758066
"Rochester, NY",70.45156284145142
"Morgantown, WV",69.98430416508631
"San Diego-Carlsbad, CA",69.92568504334632
"Spokane-Spokane Valley, WA",69.5936770276052
"Pittsfield, MA",69.2275782284661
"Harrisonburg, VA",69.08034617238566
"Hartford-West Hartford-East Hartford, CT",68.9734625644016
