cbsa_fips,cbsa,total_young,total_old,total,pct_u18,pct_o64
10180,"Abilene, TX",41712,20812,160245,0.2603014134606384,0.12987612718025524
10420,"Akron, OH",172095,93260,694960,0.24763295729250603,0.13419477379993094
10500,"Albany, GA",44676,17389,157833,0.28305867594229345,0.11017341113708794
10540,"Albany, OR",26830,14954,103069,0.26031105376010244,0.14508727163356586
10580,"Albany-Schenectady-Troy, NY",196928,115355,825875,0.23844770697744816,0.13967610110488876
10740,"Albuquerque, NM",192681,82068,729649,0.2640735476921095,0.11247599873363769
10780,"Alexandria, LA",39690,18867,145035,0.2736580825318027,0.13008584134863999
10900,"Allentown-Bethlehem-Easton, PA-NJ",176670,115536,740395,0.23861587395917044,0.1560464346733838
11020,"Altoona, PA",29282,22456,129144,0.2267391439013814,0.17388341696091186
11100,"Amarillo, TX",62151,27398,228707,0.2717494436112581,0.1197951964740913
11180,"Ames, IA",15248,7870,79981,0.19064527825358524,0.09839836961278303
11260,"Anchorage, AK",94981,17742,319605,0.297182459598567,0.05551227296193739
11460,"Ann Arbor, MI",71288,26271,322895,0.2207776521779526,0.08136081388686725
11500,"Anniston-Oxford-Jacksonville, AL",26456,15872,112249,0.23569029568192143,0.14139992338461813
11540,"Appleton, WI",56146,21955,201602,0.27849922123788456,0.10890268945744586
11700,"Asheville, NC",79076,64518,369171,0.2141988401039085,0.1747645400099141
12020,"Athens-Clarke County, GA",36061,14839,166079,0.2171316060429073,0.08934904473172406
12060,"Atlanta-Sandy Springs-Roswell, GA",1135162,328590,4263438,0.2662550739567457,0.07707160277691384
12100,"Atlantic City-Hammonton, NJ",63855,34437,252552,0.2528390192910767,0.13635607716430675
12220,"Auburn-Opelika, AL",26802,9337,115092,0.23287456990928995,0.08112640322524589
12260,"Augusta-Richmond County, GA-SC",138224,55893,508032,0.27207734945830186,0.11001866024187452
12420,"Austin-Round Rock, TX",317022,90644,1249763,0.253665695015775,0.07252895148920235
12540,"Bakersfield, CA",211379,62054,661645,0.3194749450233887,0.09378745399723416
