cbsa_fips,cbsa,charitable_assets,csa_fips,assets,population_2005,csapop,charitable_assets_csa,population_csa,char_assets_percap_csa,name
10180,"Abilene, TX",574198290,NA,NA,160761,NA,574198290,160761,3571.7511709929645,"Abilene, TX"
10420,"Akron, OH",1198590250,184,20735939310,702498,3219365,20735939310,3219365,6441.002902746349,"Akron, OH"
10580,"Albany-Schenectady-Troy, NY",2080479725,104,2206157927,854604,982278,2206157927,982278,2245.9608450968058,"Albany-Schenectady-Troy, NY"
10500,"Albany, GA",58628870,NA,NA,156886,NA,58628870,156886,373.7036446846755,"Albany, GA"
10740,"Albuquerque, NM",309252964,106,897296335,809551,947161,897296335,947161,947.3535491854078,"Albuquerque, NM"
10780,"Alexandria, LA",51451860,NA,NA,147930,NA,51451860,147930,347.81220847698233,"Alexandria, LA"
10900,"Allentown-Bethlehem-Easton, PA-NJ",1293378852,408,1787566975945,787738,22304720,1787566975945,22304720,80142.99107744907,"Allentown-Bethlehem-Easton, PA-NJ"
11020,"Altoona, PA",5352443,NA,NA,126730,NA,5352443,126730,42.2350114416476,"Altoona, PA"
11100,"Amarillo, TX",544361440,108,544361440,240380,240380,544361440,240380,2264.587070471753,"Amarillo, TX"
11180,"Ames, IA",11950422,218,1945436847,82884,604462,1945436847,604462,3218.460129834464,"Ames, IA"
11260,"Anchorage, AK",1239010030,NA,NA,350903,NA,1239010030,350903,3530.918886415904,"Anchorage, AK"
11460,"Ann Arbor, MI",304781410,220,32314374621,342234,5368164,32314374621,5368164,6019.63252631626,"Ann Arbor, MI"
11500,"Anniston-Oxford-Jacksonville, AL",7421772,NA,NA,114477,NA,7421772,114477,64.8319924526324,"Anniston-Oxford-Jacksonville, AL"
11540,"Appleton, WI",71494786,118,108730916,215925,377376,108730916,377376,288.1235584668871,"Appleton, WI"
11700,"Asheville, NC",142152644,120,142152644,396408,396408,142152644,396408,358.6018546548001,"Asheville, NC"
12020,"Athens-Clarke County, GA",40843868,122,103559216352,178974,5110823,103559216352,5110823,20262.728009167997,"Athens-Clarke County, GA"
12060,"Atlanta-Sandy Springs-Roswell, GA",103515410825,122,103559216352,4770870,5110823,103559216352,5110823,20262.728009167997,"Atlanta-Sandy Springs-Roswell, GA"
12100,"Atlantic City-Hammonton, NJ",18995202,428,179675993949,270332,6891280,179675993949,6891280,26072.949285038485,"Atlantic City-Hammonton, NJ"
12220,"Auburn-Opelika, AL",9495586,194,1006270311,126133,412491,1006270311,412491,2439.496403557896,"Auburn-Opelika, AL"
12260,"Augusta-Richmond County, GA-SC",815193883,NA,NA,531294,NA,815193883,531294,1534.3555225543673,"Augusta-Richmond County, GA-SC"
