cbsa_fips,cbsa,no_hs_diploma,bachelors_plus,total_bach,total_mast,total_prof,total_doct,total_nohs,total_degr,total_ov25
10180,"Abilene, TX",0.21314354565319502,0.1955296424122368,12789,4424,1268,668,20874,19149,97934
10420,"Akron, OH",0.1425825126226687,0.2427646819262652,73807,24688,7888,4492,65120,110875,456718
10500,"Albany, GA",0.2676826926071655,0.15665002128255973,9714,3673,1237,465,25784,15089,96323
10540,"Albany, OR",0.18122919902374085,0.13370312846682939,6157,2099,555,228,12252,9039,67605
10580,"Albany-Schenectady-Troy, NY",0.1392450788902362,0.2910933540512478,88855,49358,13711,8437,76709,160361,550892
10740,"Albuquerque, NM",0.16276851994719607,0.2807951447821838,76270,37070,10101,7587,75953,131028,466632
10780,"Alexandria, LA",0.25583220686347186,0.15669559150569048,9222,3434,1284,434,23468,14374,91732
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.18676736200702618,0.21678740845126332,70169,26493,8034,4528,94099,109224,503830
11020,"Altoona, PA",0.16241540864133264,0.1388316773419641,8115,2626,1170,357,14352,12268,88366
11100,"Amarillo, TX",0.19857392234704507,0.20811864740828337,19796,6387,2358,1026,28211,29567,142068
11180,"Ames, IA",0.06465312707601784,0.445003321628547,10507,4718,802,2729,2725,18756,42148
11260,"Anchorage, AK",0.10097008975119089,0.2696829063848057,34303,12803,4060,1598,19755,52764,195652
11460,"Ann Arbor, MI",0.08467484575562016,0.48135390600464,48034,30013,7565,9414,16716,95026,197414
11500,"Anniston-Oxford-Jacksonville, AL",0.26100114841586164,0.15219887860568804,6612,3332,828,493,19318,11265,74015
11540,"Appleton, WI",0.12030930888795348,0.22162200084186895,21044,5110,1638,639,15434,28431,128286
11700,"Asheville, NC",0.19072115696983363,0.23108439168504372,38845,14293,4912,2413,49902,60463,261649
12020,"Athens-Clarke County, GA",0.20620087149692412,0.3242053998632946,16597,8010,1904,3845,19307,30356,93632
12060,"Atlanta-Sandy Springs-Roswell, GA",0.16524392500116317,0.31322041523467453,576141,191241,61289,26292,451048,854963,2729589
12100,"Atlantic City-Hammonton, NJ",0.21839141836649936,0.18694599693852124,21655,5613,3200,1041,36809,31509,168546
12220,"Auburn-Opelika, AL",0.1858935177738459,0.2790895930513109,9402,4793,927,2229,11557,17351,62170
12260,"Augusta-Richmond County, GA-SC",0.21832136266147936,0.20251633497930072,41991,14616,5527,2830,70034,64964,320784
12420,"Austin-Round Rock, TX",0.152055531037679,0.36688550498797756,186353,64609,17373,13487,116801,281822,768147
12540,"Bakersfield, CA",0.31532813611803984,0.1351927583034246,34739,11562,3909,1659,120981,51869,383667
12580,"Baltimore-Columbia-Towson, MD",0.1811102963786456,0.2920275800080422,292770,135305,42781,22986,306272,493842,1691080
12620,"Bangor, ME",0.14302916077692268,0.20319355007591225,12302,4497,1320,1287,13660,19406,95505
12700,"Barnstable Town, MA",0.08188838082548527,0.33590527813947857,33989,15311,3683,2480,13521,55463,165115
12940,"Baton Rouge, LA",0.20624115528861198,0.22756887782505336,63361,22297,7326,4466,88317,97450,428222
12980,"Battle Creek, MI",0.16765590157205143,0.16018948933290436,9424,3734,845,436,15112,14439,90137
13020,"Bay City, MI",0.17569390122191353,0.1418147978313058,7224,2338,794,159,13027,10515,74146
13140,"Beaumont-Port Arthur, TX",0.21667740990331086,0.14358824103916398,26262,6809,2758,926,55464,36755,255975
13220,"Beckley, WV",0.2930665817429085,0.11942403494006051,6601,2636,905,358,25767,10500,87922
13380,"Bellingham, WA",0.1250352671057624,0.2722912430560285,18822,5984,1823,1359,12852,27988,102787
13460,"Bend-Redmond, OR",0.11637450148113002,0.24967620317769712,13325,4013,1606,526,9075,19470,77981
13740,"Billings, MT",0.11710207555817456,0.26076518474868504,17280,4050,1853,713,10731,23896,91638
13780,"Binghamton, NY",0.15995658535415316,0.22039528915113574,20715,11900,2885,1254,26675,36754,166764
13820,"Birmingham-Hoover, AL",0.21242095747768613,0.2273190018295844,102816,35241,13986,5377,147103,157420,692507
13900,"Bismarck, ND",0.14541619492222033,0.24821254090605951,12099,2481,1207,217,9376,16004,64477
13980,"Blacksburg-Christiansburg-Radford, VA",0.2155046117656769,0.24390772341786518,12393,6566,1264,3418,20888,23641,96926
14010,"Bloomington, IL",0.10110171039016373,0.33551443585529656,23156,6774,1738,1405,9966,33073,98574
14020,"Bloomington, IN",0.13964668911897637,0.3414295193619872,13891,8655,1637,3088,11154,27271,79873
14100,"Bloomsburg-Berwick, PA",0.18992826980878094,0.17233685530416182,5550,2243,1069,484,10300,9346,54231
14260,"Boise City, ID",0.14142438860573073,0.25498927808075894,50778,15194,4866,2054,40428,72892,285863
14460,"Boston-Cambridge-Newton, MA-NH",0.13303822910461235,0.3695328228918977,638879,310834,86250,58887,394165,1094850,2962795
