cbsa_fips,enplanements
10180,78269
10420,711540
10500,38527
10580,1533301
10740,3169861
10780,138494
10900,419122
11020,6859
11100,446395
11260,2461553
11540,299179
11700,315624
12020,7680
12060,42402653
12100,467148
12260,156170
12420,3645956
12540,159745
12580,9829432
12620,433816
12700,187997
12940,515991
13140,46253
13380,101228
13460,180637
13740,404427
13780,122443
13820,1595443
13900,174567
14010,227881
14260,1581338
14460,13236122
15180,505969
15260,37269
15380,2436952
15540,690641
15980,3701665
16220,88731
16300,501351
16580,132077
16620,317093
16700,1072182
16740,14009608
16820,198133
16860,249396
16940,15127
16980,45121638
17020,17811
17140,11277068
17460,5529629
17780,87484
17820,1025481
17860,22005
17900,725573
17980,50889
18140,3316400
18580,417022
18880,388778
19100,31028403
19340,430992
19380,1220130
19500,11686
19660,297565
19740,20799886
19780,922099
19820,17580363
20220,40777
20260,157013
20740,25694
20940,5977
21300,86925
21340,1638242
21500,187997
21660,359187
21780,244352
21820,420597
22020,285298
22140,29226
22180,153524
22220,561045
22380,452703
22420,553468
22500,54142
22520,6157
22660,34669
22900,100546
23060,307682
23420,574012
23540,171036
24220,88065
24300,156815
24340,1041967
24500,156859
24580,419308
24660,1310034
24780,48784
25060,393803
25180,5063
25420,647468
25540,3617453
25860,11530
26300,3366
26420,22993838
26580,50289
26620,619499
26820,135058
26900,4221085
27060,79953
27140,722219
27180,2703
27260,2890298
27340,92327
27780,12674
27860,3079
27900,10056
28020,235948
28140,5063120
28420,240767
28660,192887
28700,244815
28940,904004
29100,122068
29180,176448
29340,46399
29540,6101
29620,314593
29700,92316
29820,21670846
30020,50968
30300,66444
30460,536000
30700,203586
30780,1265098
30980,23437
31080,38409549
31140,1862017
31180,552023
31340,65895
31420,16954
31540,804519
31700,2149035
32580,352216
32780,286905
32820,5630305
32900,8616
33100,29319167
33260,446161
33340,3602536
33460,17996327
33540,271499
33660,323209
33700,17735
33740,112086
33860,203557
34060,11038
34740,37975
34820,776051
34940,32898
34980,4563251
35300,65142
35380,3912884
35620,51437461
35840,656007
36420,1773522
36540,2052234
36740,17381928
36980,3611
37100,22783
37340,226207
37460,188318
37620,13773
37860,815157
37900,255578
37980,15376569
38060,20320342
38300,5214747
38860,734295
38900,6798976
39140,5020
39300,2863962
39380,4033
39580,4723989
39660,244174
39820,62509
39900,2510458
40060,1452066
40140,4200398
40220,326202
40340,142267
40380,1450181
40420,82282
40900,5108364
40980,213669
41100,49667
41180,6876677
41500,193728
41540,64564
41620,10625538
41660,65705
41700,3604665
41740,8677575
41860,23141667
41940,5309992
42020,174878
42140,10522
42200,469207
42340,1032676
42540,221866
42660,14382546
43340,319960
43580,41738
43620,356459
43780,349847
43900,893397
44060,1583737
44100,82218
44180,434362
44300,143800
45060,1222657
45220,573723
45300,9596290
45500,34549
45780,234335
45820,7530
45940,9255
46060,2050377
46140,1563622
46340,85997
46520,9784404
46660,42200
47020,10932
47260,2467364
47300,4008
47380,71684
47900,21656409
47940,40140
48140,163557
48300,39022
48620,718457
48660,48490
48700,30818
48900,339520
49420,58094
49740,65824
