cbsa_fips,name,intermodal_freight,n_rail_truck,n_truck_port_rail,n_port_truck,n_truck_port_rail_air,n_rail_port,n_truck_port_air,n_air_truck,n_truck_truck,n_truck_air_rail
10180,"Abilene, TX",1,0,1,0,0,0,0,0,0,0
10420,"Akron, OH",11,10,1,0,0,0,0,0,0,0
10500,"Albany, GA",4,4,0,0,0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY",12,7,2,0,0,0,0,2,1,0
10740,"Albuquerque, NM",8,4,1,0,0,0,0,3,0,0
10780,"Alexandria, LA",1,1,0,0,0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",7,4,1,0,0,0,0,2,0,0
11020,"Altoona, PA",5,5,0,0,0,0,0,0,0,0
11100,"Amarillo, TX",5,2,1,0,0,0,0,1,1,0
11180,"Ames, IA",0,0,0,0,0,0,0,0,0,0
11260,"Anchorage, AK",6,0,2,0,0,0,0,3,1,0
11460,"Ann Arbor, MI",1,1,0,0,0,0,0,0,0,0
11500,"Anniston-Oxford-Jacksonville, AL",1,1,0,0,0,0,0,0,0,0
11540,"Appleton, WI",4,3,0,0,0,0,0,1,0,0
11700,"Asheville, NC",2,1,0,0,0,0,0,1,0,0
12020,"Athens-Clarke County, GA",0,0,0,0,0,0,0,0,0,0
12060,"Atlanta-Sandy Springs-Roswell, GA",52,39,3,0,0,0,0,9,1,0
12100,"Atlantic City-Hammonton, NJ",1,1,0,0,0,0,0,0,0,0
12220,"Auburn-Opelika, AL",0,0,0,0,0,0,0,0,0,0
12260,"Augusta-Richmond County, GA-SC",7,6,0,0,0,0,0,0,1,0
12420,"Austin-Round Rock, TX",8,6,1,0,0,0,0,1,0,0
12540,"Bakersfield, CA",6,6,0,0,0,0,0,0,0,0
12580,"Baltimore-Columbia-Towson, MD",32,17,10,1,0,0,0,4,0,0
12620,"Bangor, ME",2,2,0,0,0,0,0,0,0,0
12700,"Barnstable Town, MA",1,1,0,0,0,0,0,0,0,0
12940,"Baton Rouge, LA",7,4,0,2,0,0,0,0,1,0
12980,"Battle Creek, MI",5,5,0,0,0,0,0,0,0,0
13020,"Bay City, MI",3,2,1,0,0,0,0,0,0,0
13140,"Beaumont-Port Arthur, TX",10,3,6,0,0,0,0,0,1,0
13380,"Bellingham, WA",6,2,1,2,0,0,0,1,0,0
13460,"Bend-Redmond, OR",0,0,0,0,0,0,0,0,0,0
13740,"Billings, MT",5,4,0,0,0,0,0,0,1,0
13780,"Binghamton, NY",1,0,1,0,0,0,0,0,0,0
13820,"Birmingham-Hoover, AL",31,23,1,0,0,0,0,6,1,0
13900,"Bismarck, ND",2,1,0,0,0,0,0,0,1,0
13980,"Blacksburg-Christiansburg-Radford, VA",0,0,0,0,0,0,0,0,0,0
14010,"Bloomington, IL",4,3,0,0,0,0,0,0,1,0
14020,"Bloomington, IN",0,0,0,0,0,0,0,0,0,0
14260,"Boise City, ID",5,3,0,0,0,0,0,2,0,0
14460,"Boston-Cambridge-Newton, MA-NH",38,27,2,0,0,0,0,7,2,0
14500,"Boulder, CO",1,1,0,0,0,0,0,0,0,0
14540,"Bowling Green, KY",4,2,0,0,0,0,0,0,2,0
14740,"Bremerton-Silverdale, WA",0,0,0,0,0,0,0,0,0,0
14860,"Bridgeport-Stamford-Norwalk, CT",5,3,1,0,0,0,0,1,0,0
15180,"Brownsville-Harlingen, TX",7,3,2,0,0,0,0,2,0,0
15260,"Brunswick, GA",2,1,1,0,0,0,0,0,0,0
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",22,17,2,0,0,0,0,3,0,0
15500,"Burlington, NC",0,0,0,0,0,0,0,0,0,0
15540,"Burlington-South Burlington, VT",3,1,0,0,0,0,0,1,1,0
15940,"Canton-Massillon, OH",5,4,1,0,0,0,0,0,0,0
15980,"Cape Coral-Fort Myers, FL",4,1,0,0,0,0,0,2,1,0
16180,"Carson City, NV",0,0,0,0,0,0,0,0,0,0
16220,"Casper, WY",1,0,1,0,0,0,0,0,0,0
16300,"Cedar Rapids, IA",7,5,0,0,0,0,0,1,1,0
16580,"Champaign-Urbana, IL",3,1,0,0,0,0,0,1,1,0
16620,"Charleston, WV",2,1,1,0,0,0,0,0,0,0
16700,"Charleston-North Charleston, SC",19,11,2,1,0,0,0,4,1,0
16740,"Charlotte-Concord-Gastonia, NC-SC",27,21,0,0,0,0,0,6,0,0
16820,"Charlottesville, VA",0,0,0,0,0,0,0,0,0,0
16860,"Chattanooga, TN-GA",16,12,3,0,0,0,0,0,1,0
16940,"Cheyenne, WY",2,0,1,0,0,0,0,0,1,0
16980,"Chicago-Naperville-Elgin, IL-IN-WI",140,118,4,1,0,0,0,13,3,1
17020,"Chico, CA",0,0,0,0,0,0,0,0,0,0
17140,"Cincinnati, OH-KY-IN",31,26,3,0,0,0,0,2,0,0
17300,"Clarksville, TN-KY",3,3,0,0,0,0,0,0,0,0
17420,"Cleveland, TN",2,2,0,0,0,0,0,0,0,0
17460,"Cleveland-Elyria, OH",39,31,4,1,0,0,0,3,0,0
17660,"Coeur d'Alene, ID",0,0,0,0,0,0,0,0,0,0
17780,"College Station-Bryan, TX",2,1,1,0,0,0,0,0,0,0
17820,"Colorado Springs, CO",4,1,0,0,0,0,0,2,1,0
17860,"Columbia, MO",2,1,0,0,0,0,0,0,1,0
17900,"Columbia, SC",6,2,1,0,0,0,0,2,1,0
17980,"Columbus, GA-AL",3,3,0,0,0,0,0,0,0,0
18020,"Columbus, IN",0,0,0,0,0,0,0,0,0,0
18140,"Columbus, OH",28,20,2,0,0,0,0,6,0,0
18580,"Corpus Christi, TX",14,5,8,0,0,0,0,0,1,0
18700,"Corvallis, OR",0,0,0,0,0,0,0,0,0,0
18880,"Crestview-Fort Walton Beach-Destin, FL",0,0,0,0,0,0,0,0,0,0
19060,"Cumberland, MD-WV",0,0,0,0,0,0,0,0,0,0
19100,"Dallas-Fort Worth-Arlington, TX",41,32,3,0,0,0,0,4,2,0
19140,"Dalton, GA",2,2,0,0,0,0,0,0,0,0
19180,"Danville, IL",4,4,0,0,0,0,0,0,0,0
19340,"Davenport-Moline-Rock Island, IA-IL",6,4,0,0,0,0,0,1,1,0
19380,"Dayton, OH",9,4,1,0,0,0,0,4,0,0
19460,"Decatur, AL",5,4,1,0,0,0,0,0,0,0
19500,"Decatur, IL",5,4,0,0,0,0,0,1,0,0
19660,"Deltona-Daytona Beach-Ormond Beach, FL",3,1,0,0,0,0,0,1,1,0
19740,"Denver-Aurora-Lakewood, CO",25,19,0,0,0,0,0,5,1,0
19780,"Des Moines-West Des Moines, IA",13,10,0,0,0,0,0,3,0,0
19820,"Detroit-Warren-Dearborn, MI",48,40,3,0,0,0,0,4,1,0
20020,"Dothan, AL",3,3,0,0,0,0,0,0,0,0
20100,"Dover, DE",0,0,0,0,0,0,0,0,0,0
20220,"Dubuque, IA",4,4,0,0,0,0,0,0,0,0
20260,"Duluth, MN-WI",10,3,6,0,0,0,0,0,1,0
20500,"Durham-Chapel Hill, NC",1,1,0,0,0,0,0,0,0,0
20740,"Eau Claire, WI",3,1,1,0,0,0,0,0,1,0
20940,"El Centro, CA",4,4,0,0,0,0,0,0,0,0
21060,"Elizabethtown-Fort Knox, KY",1,1,0,0,0,0,0,0,0,0
21140,"Elkhart-Goshen, IN",3,3,0,0,0,0,0,0,0,0
21300,"Elmira, NY",2,0,0,0,0,0,0,1,1,0
21340,"El Paso, TX",10,8,1,0,0,0,0,1,0,0
21500,"Erie, PA",4,1,2,0,0,0,0,1,0,0
21660,"Eugene, OR",7,5,1,0,0,0,0,0,1,0
21780,"Evansville, IN-KY",13,8,3,0,0,0,0,1,1,0
