cbsa_fips,name,gini
10180,"Abilene, TX",0.4612
10420,"Akron, OH",0.4656
10500,"Albany, GA",0.4825
10580,"Albany-Schenectady-Troy, NY",0.443
10740,"Albuquerque, NM",0.4641
10780,"Alexandria, LA",0.4753
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.4428
11020,"Altoona, PA",0.4439
11100,"Amarillo, TX",0.4593
11180,"Ames, IA",0.4677
11260,"Anchorage, AK",0.4184
11460,"Ann Arbor, MI",0.4785
11500,"Anniston-Oxford-Jacksonville, AL",0.4629
11540,"Appleton, WI",0.4055
11700,"Asheville, NC",0.4554
12020,"Athens-Clarke County, GA",0.5089
12060,"Atlanta-Sandy Springs-Roswell, GA",0.4723
12100,"Atlantic City-Hammonton, NJ",0.4631
12220,"Auburn-Opelika, AL",0.5008
12260,"Augusta-Richmond County, GA-SC",0.4664
12420,"Austin-Round Rock, TX",0.4625
12540,"Bakersfield, CA",0.462
12580,"Baltimore-Columbia-Towson, MD",0.4557
12620,"Bangor, ME",0.4524
12700,"Barnstable Town, MA",0.4585
12940,"Baton Rouge, LA",0.474
12980,"Battle Creek, MI",0.4444
13020,"Bay City, MI",0.4421
13140,"Beaumont-Port Arthur, TX",0.4798
13380,"Bellingham, WA",0.4476
13460,"Bend-Redmond, OR",0.4484
13740,"Billings, MT",0.4582
13780,"Binghamton, NY",0.4557
13820,"Birmingham-Hoover, AL",0.4802
13900,"Bismarck, ND",0.4432
13980,"Blacksburg-Christiansburg-Radford, VA",0.4738
14010,"Bloomington, IL",0.4559
14020,"Bloomington, IN",0.4981
14260,"Boise City, ID",0.4579
14460,"Boston-Cambridge-Newton, MA-NH",0.4807
14500,"Boulder, CO",0.4792
14540,"Bowling Green, KY",0.4674
14740,"Bremerton-Silverdale, WA",0.4258
14860,"Bridgeport-Stamford-Norwalk, CT",0.5443
15180,"Brownsville-Harlingen, TX",0.4899
15260,"Brunswick, GA",0.4954
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.4619
15500,"Burlington, NC",0.4594
15540,"Burlington-South Burlington, VT",0.4488
15940,"Canton-Massillon, OH",0.4418
15980,"Cape Coral-Fort Myers, FL",0.4786
16180,"Carson City, NV",0.4509
16220,"Casper, WY",0.4325
16300,"Cedar Rapids, IA",0.4272
16580,"Champaign-Urbana, IL",0.4971
16620,"Charleston, WV",0.4719
16700,"Charleston-North Charleston, SC",0.4712
16740,"Charlotte-Concord-Gastonia, NC-SC",0.4761
16820,"Charlottesville, VA",0.4727
16860,"Chattanooga, TN-GA",0.471
16940,"Cheyenne, WY",0.4118
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.483
17020,"Chico, CA",0.4868
17140,"Cincinnati, OH-KY-IN",0.4667
17300,"Clarksville, TN-KY",0.4293
17420,"Cleveland, TN",0.4668
17460,"Cleveland-Elyria, OH",0.4826
17660,"Coeur d'Alene, ID",0.4392
17780,"College Station-Bryan, TX",0.5073
17820,"Colorado Springs, CO",0.4331
17860,"Columbia, MO",0.4759
17900,"Columbia, SC",0.4586
17980,"Columbus, GA-AL",0.4876
18020,"Columbus, IN",0.4324
18140,"Columbus, OH",0.4584
18580,"Corpus Christi, TX",0.4656
18700,"Corvallis, OR",0.4869
18880,"Crestview-Fort Walton Beach-Destin, FL",0.4472
19060,"Cumberland, MD-WV",0.435
19100,"Dallas-Fort Worth-Arlington, TX",0.4706
19140,"Dalton, GA",0.4568
19180,"Danville, IL",0.4384
19340,"Davenport-Moline-Rock Island, IA-IL",0.4413
19380,"Dayton, OH",0.458
19460,"Decatur, AL",0.4519
19500,"Decatur, IL",0.471
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.4557
19740,"Denver-Aurora-Lakewood, CO",0.4561
19780,"Des Moines-West Des Moines, IA",0.4456
19820,"Detroit-Warren-Dearborn, MI",0.4752
20020,"Dothan, AL",0.4718
20100,"Dover, DE",0.43
20220,"Dubuque, IA",0.4366
20260,"Duluth, MN-WI",0.4398
20500,"Durham-Chapel Hill, NC",0.4929
20740,"Eau Claire, WI",0.4227
20940,"El Centro, CA",0.4719
21060,"Elizabethtown-Fort Knox, KY",0.4234
21140,"Elkhart-Goshen, IN",0.4164
21300,"Elmira, NY",0.45
21340,"El Paso, TX",0.4624
21500,"Erie, PA",0.4582
21660,"Eugene, OR",0.4691
21780,"Evansville, IN-KY",0.4627
21820,"Fairbanks, AK",0.3977
22020,"Fargo, ND-MN",0.4522
22140,"Farmington, NM",0.4535
22180,"Fayetteville, NC",0.4415
22220,"Fayetteville-Springdale-Rogers, AR-MO",0.4718
22380,"Flagstaff, AZ",0.4803
22420,"Flint, MI",0.4643
22500,"Florence, SC",0.478
22520,"Florence-Muscle Shoals, AL",0.4526
22540,"Fond du Lac, WI",0.4118
22660,"Fort Collins, CO",0.4503
22900,"Fort Smith, AR-OK",0.4652
23060,"Fort Wayne, IN",0.4409
23420,"Fresno, CA",0.4801
23460,"Gadsden, AL",0.4441
23540,"Gainesville, FL",0.5122
23580,"Gainesville, GA",0.4523
24020,"Glens Falls, NY",0.4292
24140,"Goldsboro, NC",0.4596
24220,"Grand Forks, ND-MN",0.467
24300,"Grand Junction, CO",0.4473
24340,"Grand Rapids-Wyoming, MI",0.4431
24500,"Great Falls, MT",0.472
24540,"Greeley, CO",0.421
24580,"Green Bay, WI",0.4275
24660,"Greensboro-High Point, NC",0.4719
24780,"Greenville, NC",0.5015
