cbsa_fips,name,bldgs,strct,sites,objct,dists,hist_reg
10180,"Abilene, TX",1,0,0,0,0,1
10420,"Akron, OH",9,12,1,1,7,30
10500,"Albany, GA",2,0,0,0,1,3
10580,"Albany-Schenectady-Troy, NY",59,11,6,1,11,88
10740,"Albuquerque, NM",0,3,3,1,2,9
10780,"Alexandria, LA",3,1,6,0,0,10
10900,"Allentown-Bethlehem-Easton, PA-NJ",10,19,1,2,3,35
11020,"Altoona, PA",2,3,1,0,1,7
11100,"Amarillo, TX",1,0,0,0,1,2
11180,"Ames, IA",0,6,0,0,1,7
11260,"Anchorage, AK",2,2,0,1,1,6
11460,"Ann Arbor, MI",1,2,0,0,3,6
11500,"Anniston-Oxford-Jacksonville, AL",3,2,1,1,0,7
11540,"Appleton, WI",0,1,1,0,5,7
11700,"Asheville, NC",10,0,0,0,7,17
12020,"Athens-Clarke County, GA",4,1,0,0,8,13
12060,"Atlanta-Sandy Springs-Roswell, GA",40,9,2,2,21,74
12100,"Atlantic City-Hammonton, NJ",1,2,0,2,0,5
12220,"Auburn-Opelika, AL",1,0,2,0,1,4
12260,"Augusta-Richmond County, GA-SC",15,0,1,0,1,17
12420,"Austin-Round Rock, TX",3,10,2,0,3,18
12540,"Bakersfield, CA",1,1,1,0,0,3
12580,"Baltimore-Columbia-Towson, MD",108,29,4,1,10,152
12620,"Bangor, ME",1,2,1,1,3,8
12700,"Barnstable Town, MA",9,11,4,3,2,29
12940,"Baton Rouge, LA",27,3,3,0,1,34
12980,"Battle Creek, MI",2,3,1,0,1,7
13020,"Bay City, MI",0,0,0,0,0,0
13140,"Beaumont-Port Arthur, TX",1,4,0,0,0,5
13380,"Bellingham, WA",0,3,1,3,1,8
13460,"Bend-Redmond, OR",1,1,0,0,1,3
13740,"Billings, MT",1,2,2,0,3,8
13780,"Binghamton, NY",14,6,1,6,0,27
13820,"Birmingham-Hoover, AL",4,5,1,1,6,17
13900,"Bismarck, ND",0,0,1,0,1,2
13980,"Blacksburg-Christiansburg-Radford, VA",11,2,0,0,2,15
14010,"Bloomington, IL",0,3,0,0,0,3
14020,"Bloomington, IN",3,3,0,0,1,7
14260,"Boise City, ID",3,2,4,0,1,10
14460,"Boston-Cambridge-Newton, MA-NH",64,56,40,9,86,255
14500,"Boulder, CO",2,2,1,0,3,8
14540,"Bowling Green, KY",8,8,2,3,9,30
14740,"Bremerton-Silverdale, WA",0,3,0,0,2,5
14860,"Bridgeport-Stamford-Norwalk, CT",11,16,1,1,10,39
15180,"Brownsville-Harlingen, TX",0,1,0,0,0,1
15260,"Brunswick, GA",2,0,2,0,2,6
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",13,8,1,0,2,24
15500,"Burlington, NC",5,1,0,0,1,7
15540,"Burlington-South Burlington, VT",5,18,3,0,3,29
15940,"Canton-Massillon, OH",4,0,2,0,4,10
15980,"Cape Coral-Fort Myers, FL",0,0,1,0,1,2
16180,"Carson City, NV",2,5,0,0,0,7
16220,"Casper, WY",3,2,3,0,0,8
16300,"Cedar Rapids, IA",6,15,1,1,1,24
16580,"Champaign-Urbana, IL",1,2,1,1,1,6
16620,"Charleston, WV",0,1,0,0,1,2
16700,"Charleston-North Charleston, SC",22,21,6,0,9,58
16740,"Charlotte-Concord-Gastonia, NC-SC",43,2,4,1,23,73
16820,"Charlottesville, VA",64,2,0,5,0,71
16860,"Chattanooga, TN-GA",3,9,2,0,11,25
