cbsa_fips,cbsa,total_units_2005,hud_units_2005,pct_ph
10180,"Abilene, TX",65217,918,0.01407608445650674
10420,"Akron, OH",290976,10674,0.03668343780930386
10500,"Albany, GA",63755,1931,0.03028782056309309
10540,"Albany, OR",42521,176,0.004139131252792738
10580,"Albany-Schenectady-Troy, NY",363740,10505,0.02888051905207016
10740,"Albuquerque, NM",305840,3732,0.012202458801987967
10780,"Alexandria, LA",60569,1727,0.028512935660156186
10900,"Allentown-Bethlehem-Easton, PA-NJ",307269,7995,0.026019546390947345
11020,"Altoona, PA",55061,1271,0.02308348922104575
11100,"Amarillo, TX",92409,546,0.005908515404343733
11180,"Ames, IA",30630,359,0.011720535422788116
11260,"Anchorage, AK",127697,1747,0.013680822572182588
11460,"Ann Arbor, MI",131069,3892,0.02969428316382974
11500,"Anniston-Oxford-Jacksonville, AL",51322,1777,0.03462452749308289
11540,"Appleton, WI",78372,1096,0.013984586331853214
11700,"Asheville, NC",175331,3276,0.01868465930154964
12020,"Athens-Clarke County, GA",67542,2152,0.03186165645080098
12060,"Atlanta-Sandy Springs-Roswell, GA",1650700,31024,0.018794450839037982
12100,"Atlantic City-Hammonton, NJ",114090,5576,0.048873696204750634
12220,"Auburn-Opelika, AL",50329,1403,0.02787657215521866
12260,"Augusta-Richmond County, GA-SC",209115,5884,0.02813762762116539
12420,"Austin-Round Rock, TX",496004,6065,0.012227723969967984
12540,"Bakersfield, CA",231564,2068,0.008930576428114905
12580,"Baltimore-Columbia-Towson, MD",1048046,37170,0.03546600053814432
12620,"Bangor, ME",66847,1773,0.026523254596316964
12700,"Barnstable Town, MA",147083,1471,0.010001155809984839
12940,"Baton Rouge, LA",282511,3366,0.011914580317226586
12980,"Battle Creek, MI",58691,1672,0.02848818387827776
13020,"Bay City, MI",46423,1435,0.030911401675893416
13140,"Beaumont-Port Arthur, TX",164028,5525,0.033683273587436294
13220,"Beckley, WV",57294,1404,0.024505183788878417
13380,"Bellingham, WA",73893,878,0.01188204566061738
13460,"Bend-Redmond, OR",54583,308,0.005642782551343825
13740,"Billings, MT",60507,1289,0.021303320276992745
13780,"Binghamton, NY",110227,1768,0.01603962731454181
13820,"Birmingham-Hoover, AL",454338,13609,0.029953470764056717
13900,"Bismarck, ND",41709,536,0.012850943441463474
13980,"Blacksburg-Christiansburg-Radford, VA",69484,887,0.012765528754821254
14010,"Bloomington, IL",67254,1509,0.02243732714782764
14020,"Bloomington, IN",60699,929,0.015305029736898465
14100,"Bloomsburg-Berwick, PA",35360,447,0.012641402714932127
14260,"Boise City, ID",181170,1648,0.009096428768559916
14460,"Boston-Cambridge-Newton, MA-NH",1751585,79055,0.0451334077421307
14500,"Boulder, CO",119900,973,0.008115095913261051
14540,"Bowling Green, KY",58326,1743,0.029883756815142475
14740,"Bremerton-Silverdale, WA",92644,1583,0.017086913345710462
14860,"Bridgeport-Stamford-Norwalk, CT",339466,10127,0.029832148138547013
15180,"Brownsville-Harlingen, TX",119654,3216,0.026877496782389224
15260,"Brunswick, GA",44861,1014,0.022603151958271103
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",511583,14642,0.028620966685757736
15500,"Burlington, NC",55463,1450,0.026143555162901393
15540,"Burlington-South Burlington, VT",82718,2088,0.02524238980632994
15680,"California-Lexington Park, MD",34081,173,0.005076142131979695
15940,"Canton-Massillon, OH",170040,4617,0.027152434721242062
15980,"Cape Coral-Fort Myers, FL",245405,2726,0.011108168130233695
16020,"Cape Girardeau, MO-IL",39547,861,0.021771562950413433
16060,"Carbondale-Marion, IL",54547,2741,0.05025024290978422
16180,"Carson City, NV",21283,222,0.010430860311046375
16220,"Casper, WY",29882,506,0.016933270865403922
16300,"Cedar Rapids, IA",99054,1247,0.012589092818058837
16540,"Chambersburg-Waynesboro, PA",53803,666,0.012378491905655818
16580,"Champaign-Urbana, IL",88138,1280,0.014522680342190656
16620,"Charleston, WV",110199,3009,0.02730514795960036
16700,"Charleston-North Charleston, SC",232985,4944,0.021220250230701548
16740,"Charlotte-Concord-Gastonia, NC-SC",707177,12057,0.01704947983319593
16820,"Charlottesville, VA",80159,767,0.009568482640751507
16860,"Chattanooga, TN-GA",205343,5310,0.025859172214295106
16940,"Cheyenne, WY",34213,521,0.015228129658317014
16980,"Chicago-Naperville-Elgin, IL-IN-WI",3462197,88200,0.02547515349357648
17020,"Chico, CA",85523,1100,0.012862037112823452
17140,"Cincinnati, OH-KY-IN",827548,21484,0.025961031867637888
17300,"Clarksville, TN-KY",86047,1846,0.02145339175101979
17420,"Cleveland, TN",44189,921,0.02084229106791283
17460,"Cleveland-Elyria, OH",911356,29266,0.03211258827505387
17660,"Coeur d'Alene, ID",46607,456,0.00978393803505911
17780,"College Station-Bryan, TX",75094,1135,0.015114389964577729
17820,"Colorado Springs, CO",212790,1814,0.00852483669345364
17860,"Columbia, MO",56678,1106,0.01951374430996154
17900,"Columbia, SC",269244,5799,0.021538084414137362
17980,"Columbus, GA-AL",115747,4274,0.03692536307636483
18020,"Columbus, IN",29853,925,0.03098516062037316
18140,"Columbus, OH",706212,17955,0.025424376816026915
18580,"Corpus Christi, TX",160753,4898,0.0304691047756496
