cbsa_fips,lq_gmp,lq_emp
10180,0.61,0.45
10420,1.49,1.4
10500,1.21,1.02
10580,0.63,0.53
10740,0.71,0.6
10780,0.82,0.7
10900,1.15,1.18
11020,1.25,1.24
11100,1.12,1.14
11180,1.33,1.02
11260,0.07,0.13
11460,1.08,0.96
11500,1.3,1.39
11540,1.77,1.91
11700,1.34,1.19
12020,1.47,1.05
12060,0.62,0.73
12100,0.18,0.26
12220,1.42,1.26
12260,1.24,1.05
12420,1.1,0.87
12540,0.67,0.47
12580,0.52,0.54
12620,0.6,0.61
12700,0.23,0.23
12940,1.99,0.71
12980,2.96,2.14
13020,1.51,1.1
13140,3.94,1.4
13380,2.12,1.07
13460,0.66,0.79
13740,1.56,0.44
13780,1.64,1.6
13820,0.77,0.84
13900,0.69,0.46
13980,2.54,1.94
14010,0.53,0.62
14020,1.48,1.15
14260,1.13,1.12
14460,0.84,0.84
14500,1.24,1.1
14540,1.82,1.63
14740,0.17,0.21
14860,1.24,0.95
15180,0.69,0.63
15260,0.73,0.53
15380,1.37,1.12
15500,1.75,1.81
15540,1.06,1.27
15940,2.02,1.81
15980,0.22,0.29
16180,0.82,0.98
16220,0.3,0.49
16300,1.19,1.58
16580,0.88,0.93
16620,0.58,0.42
16700,0.97,0.74
16740,1,0.99
16820,0.43,0.45
16860,1.39,1.43
16940,1.95,0.35
16980,0.98,1.08
17020,0.43,0.52
17140,1.36,1.17
17300,1.53,1.19
17420,2.54,2.08
17460,1.29,1.36
17660,0.61,0.84
17780,0.72,0.57
17820,0.71,0.54
17860,0.54,0.51
17900,0.83,0.84
17980,0.8,0.81
18020,3.85,3.52
18140,0.76,0.83
18580,2.26,0.61
18700,2.59,1.19
18880,0.48,0.48
19060,0.86,1.14
19100,1.05,1.01
19140,3.53,3.83
19180,1.99,1.9
19340,1.52,1.36
19380,1.35,1.29
19460,3.02,2.24
19500,2.54,2.19
19660,0.53,0.62
19740,0.48,0.59
19780,0.48,0.61
19820,1.37,1.29
20020,0.84,1.17
20100,0.7,0.7
20220,2.12,1.69
20260,0.62,0.66
20500,3.13,1.44
20740,1.25,1.31
20940,0.41,0.43
21060,1.52,1.11
21140,4.37,4.88
21300,1.62,1.59
21340,1,0.69
21500,1.94,1.84
21660,1.36,1.25
21780,2.65,1.85
21820,0.51,0.14
22020,0.83,0.79
22140,0.34,0.3
22180,0.58,0.53
22220,1.09,1.53
22380,0.55,0.56
22420,1.68,1.1
22500,1.74,1.54
22520,1.35,1.26
22540,2.1,2.16
22660,1.32,0.89
22900,1.9,2.07
23060,1.84,1.75
23420,0.67,0.78
23460,1.59,1.47
23540,0.35,0.44
23580,2.33,2.26
24020,1.22,1.18
24140,2.27,1.27
24220,0.77,0.79
24300,0.43,0.52
24340,1.75,1.8
24500,0.23,0.25
24540,1.24,1.2
24580,1.57,1.82
24660,2,1.72
24780,1.62,0.91
24860,1.46,1.35
25060,0.68,0.51
25180,1.06,0.98
25260,1.39,0.84
25420,0.62,0.74
25500,2.43,1.7
25540,1.03,1.17
25620,0.8,0.8
25860,2.89,3.09
25980,0.53,0.35
26300,0.74,0.71
26380,0.96,1.06
26420,1.4,0.91
26580,1.42,0.83
26620,1.53,1.56
26820,0.56,0.65
26900,1.75,1.08
26980,1.03,0.77
27060,0.73,0.66
27100,1.73,1.61
27140,0.76,0.79
27180,2.02,1.79
27260,0.5,0.52
27340,0.32,0.11
27500,2.15,1.92
27620,0.74,0.77
27740,1.33,1.26
27780,0.72,0.8
27860,1.41,1.57
27900,2.1,1.91
28020,1.78,1.56
28100,1.51,1.18
28140,0.79,0.8
28420,0.59,0.63
28660,0.72,0.49
28700,1.81,1.92
28740,0.61,0.68
28940,1.24,1.11
29020,4.62,3.03
29100,1.15,1.3
29180,0.59,0.69
29200,2.5,1.82
29340,4.38,0.99
29460,0.82,0.82
29540,1.7,1.79
29620,1.06,0.95
29700,0.16,0.15
29740,0.63,0.45
29820,0.26,0.29
29940,0.84,0.85
30020,0.62,0.72
30140,1.92,1.95
30300,0.8,1.19
30340,1.23,1.28
30460,1.45,1.36
30620,2.46,1.59
30700,0.98,0.89
30780,0.63,0.72
30860,1.97,1.99
30980,1.72,1.44
31020,1.97,1.82
31080,0.81,1.12
31140,1.32,1.24
31180,0.37,0.4
31340,1.77,1.77
31420,0.71,0.66
31460,0.69,0.72
31540,0.82,0.93
31700,1.15,1.51
31900,2.46,2.21
32580,0.37,0.37
32780,0.74,0.89
32820,0.94,0.83
32900,1.22,1.31
33100,0.31,0.42
33140,2.34,1.97
33260,0.33,0.43
33340,1.37,1.58
33460,0.98,1.13
33540,0.31,0.45
33660,1.12,0.89
33700,1.29,1.31
33740,1.44,1.04
33780,1.8,1.54
33860,1.06,1.12
34060,0.56,0.66
34100,2.5,2.75
34580,1.64,1.17
34620,1.45,1.04
34740,2.19,1.99
34820,0.29,0.36
34900,1.7,1.71
34940,0.18,0.25
34980,0.99,1.07
35300,1.38,1.09
35380,1.6,0.71
35620,0.43,0.52
35660,1.84,2.21
35840,0.56,0.66
35980,1.46,1.11
36100,0.78,0.88
36140,0.12,0.19
36220,0.71,0.75
36260,1.32,1.12
36420,0.54,0.64
36500,0.26,0.33
36540,0.63,0.72
36740,0.36,0.42
36780,2.58,2.63
36980,2.29,1.8
37100,1.67,1.19
37340,1.47,1.15
37460,0.38,0.45
37620,1.77,1.23
37860,0.43,0.39
37900,1.86,1.7
37980,0.83,0.8
38060,0.77,0.73
38220,1.52,1.7
38300,0.88,0.89
38340,1.14,0.89
38540,0.68,0.96
38860,0.79,0.93
38900,1.85,1.21
38940,0.4,0.47
39140,0.48,0.54
39300,0.86,1.16
39340,1.1,1.05
39380,1.02,0.76
39460,0.18,0.19
39540,3.11,2.38
39580,0.99,0.69
39660,0.44,0.54
39740,1.84,1.82
39820,0.39,0.43
39900,0.72,0.67
40060,0.86,0.67
40140,0.7,0.91
40220,1.14,1.08
40340,1.33,1.15
40380,1.96,1.45
40420,2.45,2.16
40580,1.97,2.11
40660,1.81,1.79
40900,0.39,0.45
40980,1.69,1.35
41060,1.37,1.63
41100,0.5,0.62
41140,2.13,1.77
41180,1.14,1.02
41420,0.79,0.91
41500,0.3,0.35
41540,0.79,0.76
41620,0.76,0.92
41660,0.78,0.77
41700,0.52,0.57
41740,0.65,0.73
41860,1.06,0.67
41940,1.96,1.83
42020,0.57,0.57
42100,0.65,0.63
42140,0.18,0.16
42200,0.69,0.71
42220,1.06,1.14
42340,1.35,0.9
42540,1.12,1.28
42660,1.16,1.07
42680,0.35,0.44
43100,3.34,3.58
43300,2.12,1.39
43340,1.35,0.74
43580,1.72,1.7
43620,0.58,0.98
43780,1.65,1.4
43900,2.41,2.15
44060,0.79,0.86
44100,0.29,0.31
44140,0.94,1.08
44180,0.87,0.89
44220,1.57,1.47
44300,0.51,0.62
44700,0.81,0.96
44940,1.8,1.81
45060,1.1,1.04
45220,0.22,0.26
45300,0.51,0.62
45460,2.15,1.67
45500,0.87,0.87
45780,1.98,1.49
45820,0.52,0.65
45940,0.25,0.39
46060,0.67,0.72
46140,1.18,1.19
46220,1.99,1.57
46340,1.36,0.92
46520,0.15,0.24
46540,0.91,0.99
46660,0.99,0.94
46700,1.2,0.78
47020,2.53,1.09
47220,1.19,1.43
47260,0.77,0.67
47300,0.8,0.8
47380,1.82,1.46
47580,0.92,0.87
47900,0.19,0.21
47940,2.57,1.85
48140,2.01,2.34
48260,1.72,1.73
48300,0.43,0.48
48540,0.82,0.64
48620,2.79,2.16
48660,1.5,1.18
48700,1.9,1.94
48900,1.01,0.62
49020,1.7,1.51
49180,2.36,1.25
49340,1.38,1.26
49420,0.83,0.92
49620,1.83,2.06
49660,2.09,1.54
49700,0.49,0.49
49740,0.45,0.38
