cbsa_fips,cbsa,total,foreign_born,not_foreign_born,native,nativity
10180,"Abilene, TX",58475,2270,56205,40814,0.9611799914493373
10420,"Akron, OH",274237,14567,259670,183802,0.9468817118040235
10500,"Albany, GA",57403,2266,55137,41219,0.9605247112520252
10540,"Albany, OR",39541,1201,38340,28232,0.9696264636706203
10580,"Albany-Schenectady-Troy, NY",330246,19780,310466,209951,0.9401052548706116
10740,"Albuquerque, NM",281052,15676,265376,186601,0.9442238446977783
10780,"Alexandria, LA",54193,1805,52388,38407,0.9666931153470005
10900,"Allentown-Bethlehem-Easton, PA-NJ",285808,12424,273384,197081,0.9565302580753513
11020,"Altoona, PA",51518,1802,49716,34895,0.965021934081292
11100,"Amarillo, TX",86007,3591,82416,59315,0.9582475844989361
11180,"Ames, IA",29383,2421,26962,17056,0.9176054180989007
11260,"Anchorage, AK",115378,7032,108346,79188,0.9390525056769922
11460,"Ann Arbor, MI",125327,13193,112134,73690,0.8947313827028494
11500,"Anniston-Oxford-Jacksonville, AL",45307,1633,43674,31300,0.9639570044364005
11540,"Appleton, WI",75440,4320,71120,53383,0.9427359490986215
11700,"Asheville, NC",154290,6726,147564,103656,0.9564067664787089
12020,"Athens-Clarke County, GA",63406,5116,58290,37877,0.9193136296249567
12060,"Atlanta-Sandy Springs-Roswell, GA",1559712,121758,1437954,1083037,0.9219355881085739
12100,"Atlantic City-Hammonton, NJ",95024,4041,90983,63151,0.9574739013301903
12220,"Auburn-Opelika, AL",45702,2955,42747,27270,0.935341998162006
12260,"Augusta-Richmond County, GA-SC",188052,7959,180093,134544,0.957676600089337
12420,"Austin-Round Rock, TX",471855,46927,424928,295809,0.9005478377891514
12540,"Bakersfield, CA",208652,6383,202269,156401,0.9694083929221863
12580,"Baltimore-Columbia-Towson, MD",974071,56480,917591,653781,0.9420165470484184
12620,"Bangor, ME",58096,2828,55268,37813,0.9513219498760672
12700,"Barnstable Town, MA",94822,3119,91703,61041,0.9671067895636034
12940,"Baton Rouge, LA",256637,13112,243525,179355,0.9489083803192837
12980,"Battle Creek, MI",54100,2370,51730,36249,0.956192236598891
13020,"Bay City, MI",43930,1824,42106,30039,0.9584793990439335
13140,"Beaumont-Port Arthur, TX",147910,4961,142949,105340,0.9664593333784058
13220,"Beckley, WV",50738,1391,49347,35224,0.9725846505577673
13380,"Bellingham, WA",64446,3537,60909,41094,0.9451168420072619
13460,"Bend-Redmond, OR",45595,2064,43531,31953,0.954731878495449
13740,"Billings, MT",56514,2658,53856,37188,0.952967406306402
13780,"Binghamton, NY",100474,4720,95754,64557,0.9530226725321974
13820,"Birmingham-Hoover, AL",412376,20751,391625,287200,0.9496794187828583
13900,"Bismarck, ND",39445,1945,37500,26605,0.9506908353403474
13980,"Blacksburg-Christiansburg-Radford, VA",64234,3950,60284,39047,0.9385060871189712
14010,"Bloomington, IL",63516,4337,59179,40153,0.9317179923168966
14020,"Bloomington, IN",55180,4976,50204,30929,0.9098223994200797
14100,"Bloomsburg-Berwick, PA",32000,1366,30634,21381,0.9573125
14260,"Boise City, ID",170291,9059,161232,120145,0.9468028257512141
14460,"Boston-Cambridge-Newton, MA-NH",1679659,126728,1552931,1075725,0.9245513523875977
14500,"Boulder, CO",114680,11180,103500,68787,0.9025113358911755
14540,"Bowling Green, KY",51982,2420,49562,35707,0.9534454234157977
14740,"Bremerton-Silverdale, WA",86416,3473,82943,61344,0.9598106832068135
14860,"Bridgeport-Stamford-Norwalk, CT",324232,15953,308279,228399,0.9507975770435985
15180,"Brownsville-Harlingen, TX",97267,1893,95374,79944,0.9805381064492582
15260,"Brunswick, GA",36846,1374,35472,25568,0.9627096564077512
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",468719,23452,445267,301941,0.9499657577354449
15500,"Burlington, NC",51584,2282,49302,35526,0.955761476426799
15540,"Burlington-South Burlington, VT",75978,5425,70553,49316,0.9285977519808366
15680,"California-Lexington Park, MD",30642,1577,29065,22306,0.9485346909470661
15940,"Canton-Massillon, OH",159442,5986,153456,110895,0.9624565672783834
15980,"Cape Coral-Fort Myers, FL",188599,6202,182397,127611,0.9671154141856532
16020,"Cape Girardeau, MO-IL",35364,1591,33773,23879,0.9550107453907929
16060,"Carbondale-Marion, IL",49573,3390,46183,29622,0.9316160006455126
16180,"Carson City, NV",20171,709,19462,13256,0.9648505279857221
16220,"Casper, WY",26819,1163,25656,17747,0.9566352212983332
16300,"Cedar Rapids, IA",94059,5324,88735,62689,0.943397229398569
16540,"Chambersburg-Waynesboro, PA",50633,1936,48697,36410,0.9617640669128829
16580,"Champaign-Urbana, IL",82711,6940,75771,47938,0.9160933854021835
16620,"Charleston, WV",100537,4265,96272,66328,0.9575778071754677
16700,"Charleston-North Charleston, SC",207957,12598,195359,141405,0.9394201685925456
16740,"Charlotte-Concord-Gastonia, NC-SC",658711,43500,615211,458628,0.933961934748319
16820,"Charlottesville, VA",72899,5028,67871,46599,0.9310278604644783
16860,"Chattanooga, TN-GA",189607,7981,181626,132261,0.9579076721850986
16940,"Cheyenne, WY",31927,1522,30405,21600,0.9523287499608482
16980,"Chicago-Naperville-Elgin, IL-IN-WI",3280055,216764,3063291,2232273,0.9339145227747705
17020,"Chico, CA",79566,3828,75738,49386,0.9518889978131363
17140,"Cincinnati, OH-KY-IN",774151,44727,729424,521546,0.942224449752051
17300,"Clarksville, TN-KY",78402,3732,74670,58081,0.9523991734904722
17420,"Cleveland, TN",40729,1529,39200,29410,0.9624591814186452
17460,"Cleveland-Elyria, OH",853165,47282,805883,560570,0.9445804738825432
17660,"Coeur d'Alene, ID",41308,1461,39847,29668,0.9646315483683549
17780,"College Station-Bryan, TX",67744,4729,63015,39317,0.930193079829948
17820,"Colorado Springs, CO",200402,11719,188683,139754,0.9415225396952126
17860,"Columbia, MO",53094,4700,48394,31391,0.9114777564319886
17900,"Columbia, SC",245347,14940,230407,167078,0.9391066530261222
17980,"Columbus, GA-AL",103982,4541,99441,72623,0.9563289800157719
18020,"Columbus, IN",27936,1194,26742,20067,0.9572594501718213
18140,"Columbus, OH",659945,48644,611301,428767,0.9262908272659085
18580,"Corpus Christi, TX",141590,5260,136330,103327,0.9628504837912282
18700,"Corvallis, OR",30145,2197,27948,18244,0.9271189251948914
18880,"Crestview-Fort Walton Beach-Destin, FL",82817,3861,78956,57618,0.9533791371336803
19060,"Cumberland, MD-WV",40106,1282,38824,26604,0.9680347080237371
19100,"Dallas-Fort Worth-Arlington, TX",1897576,134496,1763080,1314053,0.9291222064360004
19140,"Dalton, GA",42671,1430,41241,32410,0.9664877785849875
19180,"Danville, IL",33406,1088,32318,22313,0.9674310004190864
19300,"Daphne-Fairhope-Foley, AL",55336,1825,53511,40260,0.9670196617030504
19340,"Davenport-Moline-Rock Island, IA-IL",149726,6929,142797,100280,0.9537221324285695
19380,"Dayton, OH",322978,16854,306124,213945,0.9478168791682405
19460,"Decatur, AL",57140,1978,55162,41642,0.9653832691634582
19500,"Decatur, IL",46561,1945,44616,30960,0.9582268422069973
19660,"Deltona-Daytona Beach-Ormond Beach, FL",206017,6984,199033,135747,0.9660998849609498
19740,"Denver-Aurora-Lakewood, CO",844017,68205,775812,541211,0.9191900163148372
19780,"Des Moines-West Des Moines, IA",189371,11526,177845,126155,0.9391353480733586
19820,"Detroit-Warren-Dearborn, MI",1696943,96737,1600206,1150002,0.9429933710207119
20020,"Dothan, AL",52836,1756,51080,37298,0.9667650844121433
20100,"Dover, DE",47224,2011,45213,33615,0.9574157208199221
20220,"Dubuque, IA",33690,1512,32178,23111,0.955120213713268
20260,"Duluth, MN-WI",112491,4967,107524,71060,0.9558453565174103
20500,"Durham-Chapel Hill, NC",168704,15223,153481,104141,0.909765032245827
20700,"East Stroudsburg, PA",49454,1630,47824,36459,0.9670400776479152
20740,"Eau Claire, WI",57178,2927,54251,37276,0.9488089824757774
20940,"El Centro, CA",39384,788,38596,31465,0.9799918748730448
21060,"Elizabethtown-Fort Knox, KY",49242,1845,47397,36606,0.9625319848909467
21140,"Elkhart-Goshen, IN",66154,2761,63393,47659,0.9582640505487197
21300,"Elmira, NY",35049,1398,33651,23280,0.9601129846785929
21340,"El Paso, TX",211114,6449,204665,167068,0.9694525232812604
21500,"Erie, PA",106507,4984,101523,71039,0.9532049536650173
21660,"Eugene, OR",130453,7357,123096,82180,0.9436042099453443
21780,"Evansville, IN-KY",118361,5052,113309,79801,0.9573170216540922
21820,"Fairbanks, AK",29777,1920,27857,20502,0.9355207038989825
22020,"Fargo, ND-MN",69985,5385,64600,42172,0.9230549403443595
22140,"Farmington, NM",37711,1033,36678,28930,0.972607462013736
22180,"Fayetteville, NC",118731,6576,112155,86402,0.944614296182126
22220,"Fayetteville-Springdale-Rogers, AR-MO",131939,6494,125445,92903,0.950780284828595
22380,"Flagstaff, AZ",40448,2551,37897,26946,0.9369313686708861
22420,"Flint, MI",169825,7944,161881,115956,0.953222434859414
22500,"Florence, SC",72940,2802,70138,52242,0.9615848642720044
22520,"Florence-Muscle Shoals, AL",58549,1940,56609,41201,0.966865360638098
22540,"Fond du Lac, WI",36931,1712,35219,25467,0.9536432807126805
22660,"Fort Collins, CO",97164,6972,90192,63197,0.928245029023095
22900,"Fort Smith, AR-OK",97624,3037,94587,70073,0.9688908465131525
23060,"Fort Wayne, IN",150858,8169,142689,102465,0.9458497394901165
23420,"Fresno, CA",252940,9401,243539,186736,0.9628330829445718
23460,"Gadsden, AL",41615,1206,40409,29467,0.9710200648804518
23540,"Gainesville, FL",92530,7959,84571,51534,0.9139846536258511
23580,"Gainesville, GA",47381,1841,45540,36021,0.9611447626685803
23900,"Gettysburg, PA",33652,1146,32506,24777,0.9659455604421728
24020,"Glens Falls, NY",48184,1898,46286,32866,0.9606093308982234
24140,"Goldsboro, NC",42612,1758,40854,30244,0.9587440157702056
24220,"Grand Forks, ND-MN",37505,2253,35252,23668,0.9399280095987201
24260,"Grand Island, NE",29614,1134,28480,20868,0.961707300601067
24300,"Grand Junction, CO",45823,1615,44208,31563,0.9647556903738297
24340,"Grand Rapids-Wyoming, MI",337666,18555,319111,237653,0.9450492498504439
24420,"Grants Pass, OR",31000,704,30296,21364,0.9772903225806452
24500,"Great Falls, MT",32547,1330,31217,21450,0.9591360186806772
24540,"Greeley, CO",63247,2564,60683,45245,0.9594605277720683
24580,"Green Bay, WI",108897,6794,102103,73133,0.9376107698100039
24660,"Greensboro-High Point, NC",256315,15003,241312,173361,0.9414665548251175
24780,"Greenville, NC",52539,4126,48413,32237,0.9214678619692038
24860,"Greenville-Anderson-Mauldin, SC",282801,13971,268830,196611,0.9505977701634718
25060,"Gulfport-Biloxi-Pascagoula, MS",136111,5788,130323,96151,0.9574758836537826
25180,"Hagerstown-Martinsburg, MD-WV",79295,3360,75935,54794,0.9576265842739139
25220,"Hammond, LA",36558,1434,35124,25768,0.9607746594452651
25260,"Hanford-Corcoran, CA",34418,1050,33368,26989,0.9694927073043175
25420,"Harrisburg-Carlisle, PA",202380,11120,191260,134529,0.9450538590769839
25500,"Harrisonburg, VA",38488,1718,36770,25341,0.9553627104552068
25540,"Hartford-West Hartford-East Hartford, CT",445870,24269,421601,297070,0.9455693363536457
25620,"Hattiesburg, MS",45999,2422,43577,31359,0.9473466814495968
25860,"Hickory-Lenoir-Morganton, NC",133966,5506,128460,95585,0.9589000194079095
25940,"Hilton Head Island-Bluffton-Beaufort, SC",52574,2197,50377,38152,0.9582112831437593
25980,"Hinesville, GA",22957,1258,21699,17823,0.9452018992028575
26140,"Homosassa Springs, FL",52634,864,51770,36339,0.9835847551012653
26300,"Hot Springs, AR",37813,1202,36611,25250,0.9682119905852484
26380,"Houma-Thibodaux, LA",68054,2196,65858,51705,0.9677315073324125
26420,"Houston-The Woodlands-Sugar Land, TX",1648148,100239,1547909,1175986,0.9391808259937822
26580,"Huntington-Ashland, WV-KY-OH",146389,4851,141538,102895,0.9668622642411656
26620,"Huntsville, AL",134643,7046,127597,93573,0.9476690210408265
26820,"Idaho Falls, ID",35743,1027,34716,27146,0.9712671012505946
26900,"Indianapolis-Carmel-Anderson, IN",647926,40283,607643,434802,0.9378277766288126
26980,"Iowa City, IA",52136,5189,46947,29206,0.9004718428724874
27060,"Ithaca, NY",36420,3746,32674,19120,0.8971444261394838
27100,"Jackson, MI",58168,2304,55864,40840,0.9603905927657819
27140,"Jackson, MS",189734,9413,180321,134306,0.9503884385508132
27180,"Jackson, TN",46844,1877,44967,32915,0.9599308342583895
27260,"Jacksonville, FL",432627,23200,409427,297301,0.9463741282906523
27340,"Jacksonville, NC",48122,2137,45985,36594,0.9555920369061968
27500,"Janesville-Beloit, WI",58617,2642,55975,40403,0.954927751334937
27620,"Jefferson City, MO",51637,2422,49215,35589,0.953095648469121
27740,"Johnson City, TN",75197,3531,71666,51039,0.9530433394949267
27780,"Johnstown, PA",60531,1830,58701,40615,0.9697675571194925
27860,"Jonesboro, AR",42327,1722,40605,29332,0.9593167481749239
27900,"Joplin, MO",61552,2185,59367,42676,0.9645015596568755
27980,"Kahului-Wailuku-Lahaina, HI",43622,2093,41529,29921,0.9520196231259456
28020,"Kalamazoo-Portage, MI",121461,7382,114079,78263,0.9392232897802587
28100,"Kankakee, IL",38182,1477,36705,26759,0.9613168508721387
28140,"Kansas City, MO-KS",708309,41906,666403,476001,0.9408365557969756
28420,"Kennewick-Richland, WA",67706,2467,65239,49678,0.9635630520190234
28660,"Killeen-Temple, TX",112011,5860,106151,82630,0.9476837096356607
28700,"Kingsport-Bristol-Bristol, TN-VA",124021,3950,120071,87501,0.9681505551479185
28740,"Kingston, NY",67499,3167,64332,43563,0.9530807863820204
28940,"Knoxville, TN",305590,14857,290733,207089,0.9513825714192218
29020,"Kokomo, IN",34800,1541,33259,23572,0.9557183908045978
29100,"La Crosse-Onalaska, WI-MN",49232,2867,46365,31007,0.9417655183620409
29180,"Lafayette, LA",155891,6778,149113,111116,0.9565209024254127
29200,"Lafayette-West Lafayette, IN",66502,4628,61874,40638,0.9304081080268263
29340,"Lake Charles, LA",72205,2662,69543,51737,0.9631327470396787
29420,"Lake Havasu City-Kingman, AZ",62809,1430,61379,43372,0.9772325622124218
29460,"Lakeland-Winter Haven, FL",187233,6023,181210,132305,0.9678315254255393
29540,"Lancaster, PA",172560,7214,165346,124129,0.9581942512749189
29620,"Lansing-East Lansing, MI",172413,11302,161111,109994,0.9344480984612529
29700,"Laredo, TX",50740,1112,49628,43436,0.9780843515963736
29740,"Las Cruces, NM",59556,2258,57298,42912,0.962086103835046
29820,"Las Vegas-Henderson-Paradise, NV",512253,31554,480699,339693,0.9384015320554492
29940,"Lawrence, KS",38486,3617,34869,21159,0.906017772696565
30020,"Lawton, OK",42422,1674,40748,30698,0.9605393427938334
30140,"Lebanon, PA",46551,1673,44878,32761,0.9640609224291637
30300,"Lewiston, ID-WA",23650,864,22786,15801,0.9634672304439746
30340,"Lewiston-Auburn, ME",42028,2173,39855,27183,0.9482963738460074
30460,"Lexington-Fayette, KY",163854,12156,151698,104239,0.9258120033688527
30620,"Lima, OH",40646,1382,39264,28213,0.9659991143039905
30700,"Lincoln, NE",105200,7902,97298,64917,0.9248859315589354
30780,"Little Rock-North Little Rock-Conway, AR",241094,12882,228212,165360,0.9465685583216504
30860,"Logan, UT-ID",31019,1256,29763,23891,0.959508688223347
30980,"Longview, TX",73341,2208,71133,52432,0.9698940565304537
31020,"Longview, WA",35850,1235,34615,25056,0.9655509065550907
31080,"Los Angeles-Long Beach-Anaheim, CA",4069061,260746,3808315,2804894,0.9359198596432936
31140,"Louisville/Jefferson County, KY-IN",447650,23085,424565,302060,0.9484306936222495
31180,"Lubbock, TX",97382,5186,92196,63734,0.9467458051796019
31340,"Lynchburg, VA",89736,3563,86173,62702,0.9602946420611572
31420,"Macon, GA",84338,3654,80684,58816,0.9566743342265646
31460,"Madera, CA",36155,642,35513,28610,0.9822431199004287
31540,"Madison, WI",215899,18505,197394,130441,0.91428862569998
31700,"Manchester-Nashua, NH",144455,8483,135972,98855,0.9412758298432038
31740,"Manhattan, KS",28908,2095,26813,17193,0.9275287117752871
31860,"Mankato-North Mankato, MN",31704,1939,29765,19930,0.9388405248549079
31900,"Mansfield, OH",49534,1860,47674,34297,0.9624500343198611
32580,"McAllen-Edinburg-Mission, TX",156824,3189,153635,132859,0.9796651022802633
32780,"Medford, OR",71532,2381,69151,48423,0.9667141978415255
32820,"Memphis, TN-MS-AR",451472,24753,426719,314559,0.9451726795903179
32900,"Merced, CA",63815,1554,62261,49760,0.9756483585363943
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1905394,95645,1809749,1263668,0.9498030328635443
33140,"Michigan City-La Porte, IN",41050,1542,39508,28597,0.9624360535931791
33220,"Midland, MI",31769,1325,30444,22691,0.958292675249457
33260,"Midland, TX",44369,1597,42772,32192,0.9640064008654692
33340,"Milwaukee-Waukesha-West Allis, WI",587657,37546,550111,381319,0.936108988746837
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1160655,85583,1075072,761320,0.9262631875966588
33540,"Missoula, MT",38439,2985,35454,23145,0.9223444938734098
33660,"Mobile, AL",150179,6263,143916,106745,0.9582964329233781
33700,"Modesto, CA",145146,4498,140648,109517,0.969010513551872
33740,"Monroe, LA",64073,2688,61385,44731,0.9580478516691898
33780,"Monroe, MI",53772,1886,51886,39933,0.9649259837833817
33860,"Montgomery, AL",129717,6216,123501,90290,0.9520802978792294
34060,"Morgantown, WV",44990,2918,42072,26857,0.9351411424761058
34100,"Morristown, TN",40366,1373,38993,29216,0.965986226031809
34580,"Mount Vernon-Anacortes, WA",38852,1294,37558,27343,0.9666941212807577
34620,"Muncie, IN",47131,2272,44859,29686,0.9517939360505824
34740,"Muskegon, MI",63330,2406,60924,44298,0.9620085267645666
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",112238,5613,106625,76543,0.9499901993977085
34900,"Napa, CA",45402,1679,43723,30694,0.9630192502532928
34940,"Naples-Immokalee-Marco Island, FL",102973,3324,99649,71264,0.9677196935118915
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",536666,34910,501756,363531,0.9349502297518382
35100,"New Bern, NC",43821,1396,42425,31716,0.9681431277241506
35300,"New Haven-Milford, CT",319040,18425,300615,210687,0.9422486208625878
35380,"New Orleans-Metairie, LA",505579,27792,477787,341145,0.945029362374624
35620,"New York-Newark-Jersey City, NY-NJ-PA",6891287,424235,6467052,4647744,0.9384389302027328
35660,"Niles-Benton Harbor, MI",63569,2538,61031,43336,0.9600748792650505
35840,"North Port-Sarasota-Bradenton, FL",262397,8367,254030,168254,0.9681132025137482
35980,"Norwich-New London, CT",99835,5062,94773,67193,0.9492963389592828
36100,"Ocala, FL",106755,2725,104030,74637,0.9744742635005386
36140,"Ocean City, NJ",42148,1432,40716,27372,0.9660244851475752
36220,"Odessa, TX",43846,1481,42365,31716,0.9662226885006614
36260,"Ogden-Clearfield, UT",152089,4529,147560,121413,0.9702213835320108
36420,"Oklahoma City, OK",429743,22612,407131,287885,0.9473825053578534
36500,"Olympia-Tumwater, WA",81625,4009,77616,54951,0.950885145482389
36540,"Omaha-Council Bluffs, NE-IA",294502,18131,276371,197581,0.9384350530726446
36740,"Orlando-Kissimmee-Sanford, FL",625248,39896,585352,425052,0.9361917191258509
36780,"Oshkosh-Neenah, WI",61157,3855,57302,39547,0.9369655149860195
36980,"Owensboro, KY",43232,1539,41693,30145,0.9644013693560326
37100,"Oxnard-Thousand Oaks-Ventura, CA",243234,8223,235011,182959,0.9661930486691828
37340,"Palm Bay-Melbourne-Titusville, FL",198195,7392,190803,132480,0.9627033981684704
37460,"Panama City, FL",64528,2880,61648,44017,0.9553682122489462
37620,"Parkersburg-Vienna, WV",38559,1412,37147,26598,0.9633807930703597
37860,"Pensacola-Ferry Pass-Brent, FL",154842,6626,148216,107484,0.9572079926634892
37900,"Peoria, IL",143607,6635,136972,98282,0.9537975168341376
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2134404,120343,2014061,1440062,0.9436175157093034
38060,"Phoenix-Mesa-Scottsdale, AZ",1194250,72926,1121324,808321,0.9389357337240947
38220,"Pine Bluff, AR",38093,1194,36899,27152,0.9686556585199381
38300,"Pittsburgh, PA",995505,46804,948701,651964,0.9529846660740027
38340,"Pittsfield, MA",56006,2479,53527,35110,0.9557368853337143
38540,"Pocatello, ID",27192,1168,26024,19213,0.9570461900558987
38860,"Portland-South Portland, ME",196669,11228,185441,128154,0.9429091519253161
38900,"Portland-Vancouver-Hillsboro, OR-WA",745531,51804,693727,485098,0.9305139558247746
38940,"Port St. Lucie, FL",132221,3336,128885,90452,0.9747695146761861
39140,"Prescott, AZ",70171,1809,68362,46754,0.9742201194225535
39300,"Providence-Warwick, RI-MA",613835,31741,582094,406008,0.9482906644293662
39340,"Provo-Orem, UT",102393,3165,99228,82721,0.969089683865108
39380,"Pueblo, CO",54579,2011,52568,37332,0.9631543267557119
39460,"Punta Gorda, FL",63864,1034,62830,44123,0.9838093448578229
39540,"Racine, WI",70819,3004,67815,49861,0.9575820048292125
39580,"Raleigh, NC",306478,26344,280134,205332,0.9140427697909801
39660,"Rapid City, SD",46416,2134,44282,32039,0.9540244743192002
39740,"Reading, PA",141570,5843,135727,98463,0.9587271314544041
39820,"Redding, CA",63426,1813,61613,44002,0.9714155078359032
39900,"Reno, NV",133546,7543,126003,84721,0.9435175894448354
40060,"Richmond, VA",408954,24647,384307,276472,0.939731607955907
40140,"Riverside-San Bernardino-Ontario, CA",1034812,31203,1003609,776713,0.9698466967913012
40220,"Roanoke, VA",119366,5608,113758,80041,0.953018447464102
40340,"Rochester, MN",70732,4154,66578,48760,0.9412712774981621
40380,"Rochester, NY",406332,22305,384027,268368,0.9451064646643631
40420,"Rockford, IL",122577,5887,116690,84926,0.9519730455142482
40580,"Rocky Mount, NC",54036,1863,52173,38743,0.965522984676882
40660,"Rome, GA",34028,1163,32865,24214,0.9658222640178676
40900,"Sacramento--Roseville--Arden-Arcade, CA",665298,36757,628541,445835,0.9447510739548293
40980,"Saginaw, MI",80430,3309,77121,55790,0.9588586348377471
41060,"St. Cloud, MN",60669,3421,57248,40647,0.9436120588768564
41100,"St. George, UT",29939,604,29335,23429,0.979825645479141
41140,"St. Joseph, MO-KS",46531,1748,44783,31220,0.9624336463862802
41180,"St. Louis, MO-IL",1039873,55442,984431,702230,0.9466838738961393
41420,"Salem, OR",124699,4684,120015,86588,0.9624375496194837
41500,"Salinas, CA",121236,4699,116537,87931,0.9612408855455475
41540,"Salisbury, MD-DE",122850,4224,118626,84372,0.9656166056166056
41620,"Salt Lake City, UT",307818,17075,290743,224228,0.9445289099402894
41660,"San Angelo, TX",40197,1597,38600,27326,0.9602706669651964
41700,"San Antonio-New Braunfels, TX",601265,29108,572157,432161,0.9515887337530041
41740,"San Diego-Carlsbad, CA",994677,65433,929244,663170,0.9342168362191948
41860,"San Francisco-Oakland-Hayward, CA",1551948,130002,1421946,958443,0.9162330181165864
41940,"San Jose-Sunnyvale-Santa Clara, CA",581748,41693,540055,408454,0.9283315112385432
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",92739,4020,88719,58654,0.9566525410021673
42100,"Santa Cruz-Watsonville, CA",91139,5495,85644,57132,0.9397074797836272
42140,"Santa Fe, NM",52482,2632,49850,32787,0.9498494721999924
42200,"Santa Maria-Santa Barbara, CA",136622,6647,129975,89555,0.9513475135776083
42220,"Santa Rosa, CA",172403,7364,165039,112397,0.9572861261114946
42340,"Savannah, GA",111105,5972,105133,76431,0.9462490436974034
42540,"Scranton--Wilkes-Barre--Hazleton, PA",227667,8988,218679,147766,0.9605212876701498
42660,"Seattle-Tacoma-Bellevue, WA",1196568,95329,1101239,757978,0.9203313142253512
42680,"Sebastian-Vero Beach, FL",49137,1219,47918,32708,0.9751918106518509
42700,"Sebring, FL",37471,720,36751,25794,0.9807851405086601
43100,"Sheboygan, WI",43545,2251,41294,29936,0.948306349753129
43300,"Sherman-Denison, TX",42849,1306,41543,30191,0.9695208756330369
43340,"Shreveport-Bossier City, LA",160794,6590,154204,110135,0.9590158836772517
43420,"Sierra Vista-Douglas, AZ",43893,1349,42544,30786,0.9692661700043287
43580,"Sioux City, IA-NE-SD",62958,2678,60280,43553,0.9574637059627052
43620,"Sioux Falls, SD",72492,4480,68012,48279,0.9382000772499034
43780,"South Bend-Mishawaka, IN-MI",120419,6081,114338,81100,0.9495013245418081
43900,"Spartanburg, SC",109822,4399,105423,77794,0.9599442734606909
44060,"Spokane-Spokane Valley, WA",183267,8738,174529,120295,0.9523209306640039
44100,"Springfield, IL",83595,4779,78816,53448,0.9428315090615468
