cbsa_fips,name,npl_sites,sqmi,sfund_per_sqmi
10180,"Abilene, TX",0,2759.346175806358,0
10420,"Akron, OH",2,922.957866983797,0.0021669461538216792
10500,"Albany, GA",3,1959.709173009632,0.0015308393925577931
10580,"Albany-Schenectady-Troy, NY",5,2873.250835449426,0.001740189174683704
10740,"Albuquerque, NM",4,9295.588188264022,4.303116617246586e-4
10780,"Alexandria, LA",0,2027.9459048230829,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",12,1473.3290257813348,0.0081448201929207
11020,"Altoona, PA",1,526.4413113314055,0.0018995469741364575
11100,"Amarillo, TX",1,5183.82652370335,1.9290768999067416e-4
11180,"Ames, IA",0,572.759418322646,0
11260,"Anchorage, AK",3,26572.342518699403,1.1289934253590363e-4
11460,"Ann Arbor, MI",0,721.2699354736868,0
11500,"Anniston-Oxford-Jacksonville, AL",1,612.4073638720971,0.0016329000253642485
11540,"Appleton, WI",2,1039.4904347186261,0.0019240196284647571
11700,"Asheville, NC",5,2040.7253538758061,0.0024501092175406415
12020,"Athens-Clarke County, GA",1,1035.2562751065893,9.659443985471526e-4
12060,"Atlanta-Sandy Springs-Roswell, GA",0,8838.951989594267,0
12100,"Atlantic City-Hammonton, NJ",7,609.4158197789221,0.01148641005502514
12220,"Auburn-Opelika, AL",0,616.1731865223402,0
12260,"Augusta-Richmond County, GA-SC",3,3583.3973573020708,8.37194344045253e-4
12420,"Austin-Round Rock, TX",0,4284.639468716439,0
12540,"Bakersfield, CA",2,8161.683562328392,2.450474812857647e-4
12580,"Baltimore-Columbia-Towson, MD",10,2707.2241951231554,0.0036938204150266493
12620,"Bangor, ME",2,3549.925624628428,5.633920852100502e-4
12700,"Barnstable Town, MA",1,449.30008486297163,0.002225683977569205
12940,"Baton Rouge, LA",6,4207.548064918886,0.0014260086652428223
12980,"Battle Creek, MI",3,717.2535546187822,0.004182621306902396
13020,"Bay City, MI",1,450.9242904250154,0.0022176671810193622
13140,"Beaumont-Port Arthur, TX",2,3205.4787158682716,6.239317672269298e-4
13380,"Bellingham, WA",3,2160.2718073485844,0.0013887141376353277
13460,"Bend-Redmond, OR",0,3047.550850325102,0
13740,"Billings, MT",1,5872.037136221895,1.7029865050264417e-4
13780,"Binghamton, NY",8,1236.163038648015,0.006471638246642254
13820,"Birmingham-Hoover, AL",1,5371.890575051736,1.861542013987076e-4
13900,"Bismarck, ND",0,5458.759914734819,0
13980,"Blacksburg-Christiansburg-Radford, VA",0,1471.346824418094,0
