cbsa_fips,cbsa,city_fips,city,peak_yr,peak_pop,decades_since_peak,pop_2010,decline_since_peak,age,dec_since_peak_nonzero
10180,"Abilene, TX",4801000,Abilene city,2010,117063,0,117063,0,50,-1e-4
10420,"Akron, OH",3901000,Akron city,1960,290351,5,199110,0.31424379457966395,100,0.31424379457966395
10500,"Albany, GA",1301052,Albany city,1990,78122,2,77434,0.008806738178746065,50,0.008806738178746065
10540,"Albany, OR",4101000,Albany city,2010,50158,0,50158,0,0,-1e-4
10580,"Albany-Schenectady-Troy, NY",3601000,Albany city,1950,134995,6,97856,0.2751138931071521,160,0.2751138931071521
10740,"Albuquerque, NM",3502000,Albuquerque city,2010,545852,0,545852,0,60,-1e-4
10780,"Alexandria, LA",2200975,Alexandria city,1980,51648,3,47723,0.07599519826517968,30,0.07599519826517968
10900,"Allentown-Bethlehem-Easton, PA-NJ",4202000,Allentown city,2010,118032,0,118032,0,100,-1e-4
11020,"Altoona, PA",4202184,Altoona city,1930,82054,8,46320,0.4354936992712116,100,0.4354936992712116
11100,"Amarillo, TX",4803000,Amarillo city,2010,190695,0,190695,0,70,-1e-4
11180,"Ames, IA",1901855,Ames city,2010,58965,0,58965,0,10,-1e-4
11260,"Anchorage, AK",203000,Anchorage municipality,2010,291826,0,291826,0,30,-1e-4
11460,"Ann Arbor, MI",2603000,Ann Arbor city,2000,114024,1,113934,7.893075142075352e-4,50,7.893075142075352e-4
11500,"Anniston-Oxford-Jacksonville, AL",101852,Anniston city,1960,33320,5,23106,0.30654261704681873,0,0.30654261704681873
11540,"Appleton, WI",5502375,Appleton city,2010,72623,0,72623,0,40,-1e-4
11700,"Asheville, NC",3702140,Asheville city,2010,83393,0,83393,0,80,-1e-4
12020,"Athens-Clarke County, GA",1303440,Athens-Clarke County (balance),2010,115452,0,115452,0,10,-1e-4
12060,"Atlanta-Sandy Springs-Roswell, GA",1304000,Atlanta city,1970,495039,4,420003,0.1515759364413713,120,0.1515759364413713
12100,"Atlantic City-Hammonton, NJ",3402080,Atlantic City city,1930,66198,8,39558,0.4024290764071422,90,0.4024290764071422
12220,"Auburn-Opelika, AL",103076,Auburn city,2010,53380,0,53380,0,0,-1e-4
12260,"Augusta-Richmond County, GA-SC",1304204,Augusta-Richmond County (balance),2010,195844,0,195844,0,90,-1e-4
12420,"Austin-Round Rock, TX",4805000,Austin city,2010,790390,0,790390,0,80,-1e-4
12540,"Bakersfield, CA",603526,Bakersfield city,2010,347483,0,347483,0,50,-1e-4
12580,"Baltimore-Columbia-Towson, MD",2404000,Baltimore city,1950,949708,6,620961,0.3461558710677387,190,0.3461558710677387
12620,"Bangor, ME",2302795,Bangor city,1960,38912,5,33039,0.1509303042763158,0,0.1509303042763158
12700,"Barnstable Town, MA",2503690,Barnstable Town city,2000,47821,1,45193,0.05495493611593233,0,0.05495493611593233
12940,"Baton Rouge, LA",2205000,Baton Rouge city,2010,229493,0,229493,0,60,-1e-4
12980,"Battle Creek, MI",2605920,Battle Creek city,1990,53540,2,52347,0.02228240567799776,20,0.02228240567799776
13020,"Bay City, MI",2606020,Bay City city,1960,53604,5,34932,0.34833221401387954,60,0.34833221401387954
13140,"Beaumont-Port Arthur, TX",4807000,Beaumont city,1960,119175,5,118296,0.007375707992448081,80,0.007375707992448081
13220,"Beckley, WV",5405332,Beckley city,1980,20492,3,17614,0.1404450517275034,0,0.1404450517275034
13380,"Bellingham, WA",5305280,Bellingham city,2010,80885,0,80885,0,20,-1e-4
13460,"Bend-Redmond, OR",4105800,Bend city,2010,76639,0,76639,0,10,-1e-4
