cbsa_fips,population_2010
10180,165583
10420,703035
10500,157589
10540,116887
10580,871080
10740,889574
10780,154092
10900,821914
11020,127043
11100,252677
11180,89654
11260,383045
11460,345658
11500,118477
11540,225944
11700,425338
12020,193435
12060,5302703
12100,274649
12220,140806
12260,566492
12420,1727528
12540,841072
12580,2715726
12620,153860
12700,215893
12940,804298
12980,135952
13020,107681
13140,403707
13220,124949
13380,201547
13460,157743
13740,159330
13780,251489
13820,1128714
13900,115259
13980,178501
14010,186400
14020,160130
14100,85662
14260,617869
14460,4566449
14500,295774
14540,159335
14740,251676
14860,919330
15180,407654
15260,112516
15380,1135622
15500,151440
15540,211534
15680,105762
15940,404212
15980,620454
16020,96449
16060,126808
16180,54986
16220,75469
16300,258432
16540,149915
16580,232331
16620,226891
16700,667440
16740,2223238
16820,218978
16860,529154
16940,92235
16980,9470880
17020,219945
17140,2117678
17300,261609
17420,115901
17460,2075481
17660,138852
17780,229453
17820,650373
17860,163194
17900,769647
17980,296495
18020,76820
18140,1906361
18580,427864
18700,85574
18880,235926
19060,103145
19100,6452028
19140,142274
19180,81639
19300,183111
19340,379753
19380,799664
19460,153948
19500,110784
19660,590522
19740,2554816
19780,572125
19820,4291593
20020,145870
20100,162955
20220,93927
20260,279690
20500,508593
20700,169843
20740,161654
20940,174730
21060,149847
21140,197444
21300,88898
21340,807127
21500,280797
21660,351923
21780,311802
21820,98260
22020,209450
22140,130202
22180,374691
22220,465374
22380,134618
22420,424951
22500,205661
22520,147261
22540,101581
22660,300450
22900,280698
23060,416976
23420,932063
23460,104455
23540,264612
23580,180040
23900,101473
24020,129013
24140,122900
24220,98631
24260,82054
24300,146361
24340,989517
24420,82875
24500,81501
24540,254198
24580,306758
24660,725233
24780,168853
24860,825629
25060,371397
25180,252340
25220,121482
25260,152381
25420,550102
25500,125398
25540,1214064
25620,143283
25860,365597
25940,187777
25980,77324
26140,141171
26300,96069
26380,208246
26420,5947409
26580,364985
26620,419266
26820,133808
26900,1892647
26980,153030
27060,101725
27100,160125
27140,568869
27180,130032
27260,1348889
27340,186889
27500,160272
27620,149964
27740,199008
27780,143450
27860,121258
27900,175835
27980,155096
28020,326893
28100,113419
28140,2013373
28420,255548
28660,408276
28700,309483
28740,182409
28940,838702
29020,82755
29100,133902
29180,467620
29200,202159
29340,199943
29420,200315
29460,603128
29540,520322
29620,464272
29700,251391
29740,210097
29820,1952644
29940,111195
30020,131570
30140,133643
30300,61040
30340,107707
30460,473415
30620,106359
30700,302958
30780,702307
30860,126167
30980,214727
31020,102357
31080,12838992
31140,1237635
31180,292244
31340,177936
31420,232227
31460,151006
31540,606603
31700,401049
31740,93281
31860,96845
31900,124159
32580,779213
32780,203343
32820,1326188
32900,256732
33100,5583547
33140,111455
33220,83658
33260,141794
33340,1556684
33460,3355273
33540,109466
33660,413319
33700,515165
33740,176799
33780,151931
33860,375130
34060,130313
34100,114221
34580,116954
34620,117652
34740,171911
34820,378322
34900,136808
34940,322595
34980,1675475
35100,127429
35300,863382
35380,1195320
35620,19594977
35660,156742
35840,703364
35980,273998
36100,331340
36140,97221
36220,137083
36260,599737
36420,1257797
36500,252996
36540,867673
36740,2139199
36780,167069
36980,114772
37100,825130
37340,543972
37460,185028
37620,92696
37860,450947
37900,378976
37980,5970948
38060,4204738
38220,100107
38300,2357086
38340,131319
38540,83019
38860,513904
38900,2232205
38940,425186
39140,210983
39300,1603115
39340,530257
39380,159466
39460,159867
39540,195405
39580,1137381
39660,135002
39740,412025
39820,177277
39900,425956
40060,1209896
40140,4242562
40220,308593
40340,207217
40380,1079966
40420,349191
40580,152415
40660,96423
40900,2153656
40980,199862
41060,189218
41100,138392
41140,127281
41180,2789979
41420,391496
41500,416396
41540,374826
41620,1091480
41660,112285
41700,2153038
41740,3103306
41860,4343782
41940,1841596
42020,269805
42100,263167
42140,144528
42200,424235
42220,484776
42340,348635
42540,563757
42660,3449275
42680,138272
42700,98634
43100,115521
43300,121030
43340,441133
43420,131822
43580,168873
43620,229098
43780,319054
43900,313677
44060,528502
44100,210463
44140,623576
44180,437297
44220,138274
44300,154218
44420,118311
44700,687156
44940,107612
45060,663108
45220,369341
45300,2788367
45460,172239
45500,149327
45540,94278
45780,610019
45820,234274
45940,367744
46060,981653
46140,939822
46220,230490
46340,210408
46520,956296
46540,299224
46660,140055
46700,413944
47020,94095
47220,156704
47260,1679795
47300,442994
47380,253812
47460,63014
47580,180453
47900,5665061
47940,167925
48060,116594
48140,134049
48260,124324
48300,111271
48540,147907
48620,631746
48660,151649
48700,116234
48900,255702
49020,128675
49180,641292
49340,918946
49420,244269
49620,435403
49660,564828
49700,167103
49740,197138
