cbsa_fips,cbsa,population_2005
10180,"Abilene, TX",160761
10420,"Akron, OH",702498
10500,"Albany, GA",156886
10540,"Albany, OR",108132
10580,"Albany-Schenectady-Troy, NY",854604
10740,"Albuquerque, NM",809551
10780,"Alexandria, LA",147930
10900,"Allentown-Bethlehem-Easton, PA-NJ",787738
11020,"Altoona, PA",126730
11100,"Amarillo, TX",240380
11180,"Ames, IA",82884
11260,"Anchorage, AK",350903
11460,"Ann Arbor, MI",342234
11500,"Anniston-Oxford-Jacksonville, AL",114477
11540,"Appleton, WI",215925
11700,"Asheville, NC",396408
12020,"Athens-Clarke County, GA",178974
12060,"Atlanta-Sandy Springs-Roswell, GA",4770870
12100,"Atlantic City-Hammonton, NJ",270332
12220,"Auburn-Opelika, AL",126133
12260,"Augusta-Richmond County, GA-SC",531294
12420,"Austin-Round Rock, TX",1453358
12540,"Bakersfield, CA",760726
12580,"Baltimore-Columbia-Towson, MD",2644231
12620,"Bangor, ME",149726
12700,"Barnstable Town, MA",221995
12940,"Baton Rouge, LA",733689
12980,"Battle Creek, MI",138946
13020,"Bay City, MI",109165
13140,"Beaumont-Port Arthur, TX",395516
13220,"Beckley, WV",124570
13380,"Bellingham, WA",185450
13460,"Bend-Redmond, OR",140567
13740,"Billings, MT",148558
13780,"Binghamton, NY",252088
13820,"Birmingham-Hoover, AL",1086318
13900,"Bismarck, ND",105942
13980,"Blacksburg-Christiansburg-Radford, VA",170990
14010,"Bloomington, IL",177015
14020,"Bloomington, IN",150096
14100,"Bloomsburg-Berwick, PA",83718
14260,"Boise City, ID",546980
14460,"Boston-Cambridge-Newton, MA-NH",4418046
14500,"Boulder, CO",280241
14540,"Bowling Green, KY",145918
14740,"Bremerton-Silverdale, WA",239806
14860,"Bridgeport-Stamford-Norwalk, CT",897653
15180,"Brownsville-Harlingen, TX",373429
15260,"Brunswick, GA",101532
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1148563
15500,"Burlington, NC",139311
15540,"Burlington-South Burlington, VT",206637
