cbsa_fips,name,population_2000,population_2005,pctchg_00_05
10180,"Abilene, TX",160245,160761,0.0032200692689319478
10420,"Akron, OH",694960,702498,0.010846667434096926
10500,"Albany, GA",157833,156886,-0.006000012671621271
10580,"Albany-Schenectady-Troy, NY",825875,854604,0.03478613591645225
10740,"Albuquerque, NM",729649,809551,0.10950744810175851
10780,"Alexandria, LA",145035,147930,0.019960699141586515
10900,"Allentown-Bethlehem-Easton, PA-NJ",740395,787738,0.06394289534640293
11020,"Altoona, PA",129144,126730,-0.018692312457411882
11100,"Amarillo, TX",228707,240380,0.0510391024323698
11180,"Ames, IA",79981,82884,0.036296120328578034
11260,"Anchorage, AK",319605,350903,0.09792712879961202
11460,"Ann Arbor, MI",322895,342234,0.05989253472491057
11500,"Anniston-Oxford-Jacksonville, AL",112249,114477,0.019848729164625073
11540,"Appleton, WI",201602,215925,0.0710459221634706
11700,"Asheville, NC",369171,396408,0.07377881794615504
12020,"Athens-Clarke County, GA",166079,178974,0.07764377193985994
12060,"Atlanta-Sandy Springs-Roswell, GA",4263438,4770870,0.11901943924128837
12100,"Atlantic City-Hammonton, NJ",252552,270332,0.07040134308973993
12220,"Auburn-Opelika, AL",115092,126133,0.09593195009210023
12260,"Augusta-Richmond County, GA-SC",508032,531294,0.04578845427059713
12420,"Austin-Round Rock, TX",1249763,1453358,0.16290688714580284
12540,"Bakersfield, CA",661645,760726,0.14974948801849935
12580,"Baltimore-Columbia-Towson, MD",2552994,2644231,0.03573725594341389
12620,"Bangor, ME",144919,149726,0.033170253727944576
12700,"Barnstable Town, MA",222230,221995,-0.0010574629887953923
12940,"Baton Rouge, LA",705973,733689,0.03925929178594649
12980,"Battle Creek, MI",137985,138946,0.0069645251295430664
13020,"Bay City, MI",110157,109165,-0.009005328758045335
13140,"Beaumont-Port Arthur, TX",400162,395516,-0.011610297829379102
13380,"Bellingham, WA",166814,185450,0.11171724195810903
13460,"Bend-Redmond, OR",115367,140567,0.2184333474910503
13740,"Billings, MT",139946,148558,0.061538021808411815
13780,"Binghamton, NY",252320,252088,-9.194673430564363e-4
13820,"Birmingham-Hoover, AL",1052238,1086318,0.032388109914296956
13900,"Bismarck, ND",100828,105942,0.050720038084659025
13980,"Blacksburg-Christiansburg-Radford, VA",165146,170990,0.03538686980005571
14010,"Bloomington, IL",167231,177015,0.05850589902589831
14020,"Bloomington, IN",142349,150096,0.054422581121047565
14260,"Boise City, ID",464840,546980,0.17670596334222527
14460,"Boston-Cambridge-Newton, MA-NH",4391344,4418046,0.006080598559347662
14500,"Boulder, CO",291288,280241,-0.03792466562302601
14540,"Bowling Green, KY",134976,145918,0.0810662636320531
14740,"Bremerton-Silverdale, WA",231969,239806,0.033784686746936014
14860,"Bridgeport-Stamford-Norwalk, CT",882567,897653,0.01709331982727657
15180,"Brownsville-Harlingen, TX",335227,373429,0.1139586011866586
15260,"Brunswick, GA",93044,101532,0.09122565667856068
