cbsa_fips,cbsa,total_in_poverty,total,poverty_rate
10180,"Abilene, TX",21846,149756,0.14587729373113598
10420,"Akron, OH",66386,677479,0.09798975318792169
10500,"Albany, GA",33002,153305,0.21527021297413654
10540,"Albany, OR",11618,101855,0.11406411074566786
10580,"Albany-Schenectady-Troy, NY",73946,796052,0.09289091667378513
10740,"Albuquerque, NM",99746,717654,0.13898898354917552
10780,"Alexandria, LA",29045,140538,0.20667008211302282
10900,"Allentown-Bethlehem-Easton, PA-NJ",59500,718554,0.08280518931075466
11020,"Altoona, PA",15840,125336,0.1263802897810685
11100,"Amarillo, TX",29830,219486,0.13590844062947066
11180,"Ames, IA",9921,70554,0.1406156986138277
11260,"Anchorage, AK",25101,312594,0.08029904604694908
11460,"Ann Arbor, MI",33450,301773,0.11084490660198229
11500,"Anniston-Oxford-Jacksonville, AL",17695,109830,0.1611126286078485
11540,"Appleton, WI",8826,198200,0.04453077699293643
11700,"Asheville, NC",40438,359954,0.11234213260583296
12020,"Athens-Clarke County, GA",32650,157246,0.2076364422624423
12060,"Atlanta-Sandy Springs-Roswell, GA",398707,4187576,0.09521188391565909
12100,"Atlantic City-Hammonton, NJ",25906,246787,0.10497311446713158
12220,"Auburn-Opelika, AL",24119,110577,0.2181195004386084
12260,"Augusta-Richmond County, GA-SC",76215,493673,0.15438356969086825
12420,"Austin-Round Rock, TX",134589,1215812,0.11069885804713228
12540,"Bakersfield, CA",130949,630771,0.20760149087386706
12580,"Baltimore-Columbia-Towson, MD",243792,2486691,0.09803871892406414
12620,"Bangor, ME",18956,138605,0.13676274304678762
12700,"Barnstable Town, MA",15021,218058,0.06888534243183006
12940,"Baton Rouge, LA",116199,678111,0.1713569017461743
12980,"Battle Creek, MI",15094,134116,0.11254436457991589
13020,"Bay City, MI",10605,108881,0.09739991366721466
13140,"Beaumont-Port Arthur, TX",60734,382580,0.1587484970463694
13220,"Beckley, WV",23884,121121,0.19719123851355255
13380,"Bellingham, WA",23003,161817,0.14215440899287465
13460,"Bend-Redmond, OR",10613,114226,0.09291229667501269
13740,"Billings, MT",15374,136727,0.11244304343692176
13780,"Binghamton, NY",28854,242499,0.11898605767446464
13820,"Birmingham-Hoover, AL",139841,1031000,0.13563627546071774
13900,"Bismarck, ND",9494,97802,0.09707367947485737
13980,"Blacksburg-Christiansburg-Radford, VA",29083,152004,0.19133049130286045
14010,"Bloomington, IL",14834,155340,0.09549375563280546
14020,"Bloomington, IN",22101,127626,0.17317004372149875
14100,"Bloomsburg-Berwick, PA",9413,77778,0.1210239399316002
14260,"Boise City, ID",42501,454456,0.09352060485503547
14460,"Boston-Cambridge-Newton, MA-NH",362866,4255279,0.0852743145631579
14500,"Boulder, CO",26818,282582,0.09490342626211153
14540,"Bowling Green, KY",20637,128847,0.1601667093529535
14740,"Bremerton-Silverdale, WA",19601,224006,0.08750212047891574
14860,"Bridgeport-Stamford-Norwalk, CT",59689,865257,0.06898412841502582
15180,"Brownsville-Harlingen, TX",109288,330649,0.33052572365257415
15260,"Brunswick, GA",14376,91946,0.15635264176799427
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",135192,1138205,0.11877649456820169
15500,"Burlington, NC",14183,127368,0.11135450034545569
15540,"Burlington-South Burlington, VT",16803,191078,0.08793791017280901
15680,"California-Lexington Park, MD",6031,83531,0.07220073984508746
15940,"Canton-Massillon, OH",37110,396977,0.09348148633296136
15980,"Cape Coral-Fort Myers, FL",42316,435087,0.09725870917770468
16020,"Cape Girardeau, MO-IL",11253,86269,0.1304408304257613
16060,"Carbondale-Marion, IL",22146,112913,0.1961333061737798
16180,"Carson City, NV",4923,49156,0.10015054113434779
16220,"Casper, WY",7695,65011,0.1183645844549384
16300,"Cedar Rapids, IA",15268,230334,0.06628634938827963
16540,"Chambersburg-Waynesboro, PA",9574,126063,0.0759461539071734
16580,"Champaign-Urbana, IL",28215,194472,0.14508515364679747
16620,"Charleston, WV",36774,232981,0.15784119735085694
16700,"Charleston-North Charleston, SC",74504,531170,0.14026394562945949
16740,"Charlotte-Concord-Gastonia, NC-SC",159865,1682606,0.09501035893132438
16820,"Charlottesville, VA",21704,177848,0.122036795465791
16860,"Chattanooga, TN-GA",55863,466041,0.1198671361532569
16940,"Cheyenne, WY",7104,78087,0.09097545045910331
16980,"Chicago-Naperville-Elgin, IL-IN-WI",934512,8928080,0.10467110509762458
17020,"Chico, CA",39148,197816,0.19790107979132124
17140,"Cincinnati, OH-KY-IN",185842,1949894,0.09530877063060864
17300,"Clarksville, TN-KY",24454,208911,0.11705463091938673
17420,"Cleveland, TN",12529,101460,0.12348708850778632
17460,"Cleveland-Elyria, OH",226498,2105449,0.10757705363559032
17660,"Coeur d'Alene, ID",11229,107271,0.10467880415023632
17780,"College Station-Bryan, TX",43473,171169,0.2539770636038068
17820,"Colorado Springs, CO",41414,521555,0.07940485663065257
17860,"Columbia, MO",18366,126458,0.14523399073210078
17900,"Columbia, SC",76293,617437,0.12356402353600449
17980,"Columbus, GA-AL",42042,266588,0.15770402268669256
18020,"Columbus, IN",5164,70268,0.07349006660215177
18140,"Columbus, OH",163083,1627174,0.10022468402272898
18580,"Corpus Christi, TX",72330,396082,0.18261370120328618
18700,"Corvallis, OR",10665,73237,0.14562311399975422
18880,"Crestview-Fort Walton Beach-Destin, FL",20139,203485,0.0989704400815785
19060,"Cumberland, MD-WV",14041,95187,0.14750963892128127
19100,"Dallas-Fort Worth-Arlington, TX",550491,5117055,0.10757965274948188
19140,"Dalton, GA",14077,118987,0.11830704194575878
19180,"Danville, IL",10704,80600,0.13280397022332507
19300,"Daphne-Fairhope-Foley, AL",14018,138148,0.10147088629585661
19340,"Davenport-Moline-Rock Island, IA-IL",37194,367014,0.10134218313197861
19380,"Dayton, OH",79818,780341,0.10228605186706838
19460,"Decatur, AL",18747,144200,0.13000693481276004
19500,"Decatur, IL",14316,111072,0.12888936905790838
19660,"Deltona-Daytona Beach-Ormond Beach, FL",54194,478747,0.11319966495873604
19740,"Denver-Aurora-Lakewood, CO",170649,2129796,0.08012457531143828
19780,"Des Moines-West Des Moines, IA",35082,469820,0.07467115065344174
19820,"Detroit-Warren-Dearborn, MI",464642,4394866,0.10572381501506531
20020,"Dothan, AL",21226,129291,0.1641722935084422
20100,"Dover, DE",13083,122717,0.106611145969996
20220,"Dubuque, IA",6639,85587,0.07757019173472607
20260,"Duluth, MN-WI",30205,264677,0.11412022956282564
20500,"Durham-Chapel Hill, NC",52821,405738,0.13018499622909366
20700,"East Stroudsburg, PA",12180,135183,0.09010008654934422
20740,"Eau Claire, WI",14023,142076,0.09870069540246065
20940,"El Centro, CA",29681,131459,0.22578142234460935
21060,"Elizabethtown-Fort Knox, KY",14046,129481,0.10847923633583306
21140,"Elkhart-Goshen, IN",14058,179316,0.07839791206585023
21300,"Elmira, NY",11063,85395,0.12955091047485215
21340,"El Paso, TX",159902,669975,0.23866860703757603
21500,"Erie, PA",32108,267738,0.11992320850981183
21660,"Eugene, OR",45423,316016,0.14373639309402056
21780,"Evansville, IN-KY",28530,287403,0.09926827486143151
21820,"Fairbanks, AK",6206,79754,0.07781427890764099
22020,"Fargo, ND-MN",18259,166540,0.10963732436651856
22140,"Farmington, NM",24196,112410,0.2152477537585624
22180,"Fayetteville, NC",42122,316947,0.13289919134744926
22220,"Fayetteville-Springdale-Rogers, AR-MO",44368,337874,0.13131522401842108
22380,"Flagstaff, AZ",20609,113076,0.1822579504050373
22420,"Flint, MI",56480,431247,0.13096902703091268
22500,"Florence, SC",33489,188568,0.1775964108438335
22520,"Florence-Muscle Shoals, AL",20034,140633,0.14245589584236987
22540,"Fond du Lac, WI",5471,93630,0.058432126455195986
22660,"Fort Collins, CO",22600,244843,0.09230404790008291
22900,"Fort Smith, AR-OK",39380,250609,0.15713721374731154
23060,"Fort Wayne, IN",32880,383706,0.08569060687088552
23420,"Fresno, CA",179085,782294,0.2289228857692888
23460,"Gadsden, AL",15938,101529,0.15697977917639294
23540,"Gainesville, FL",48783,219278,0.2224710185244302
23580,"Gainesville, GA",16980,136771,0.12414912518004548
23900,"Gettysburg, PA",6235,87595,0.07117986186426166
24020,"Glens Falls, NY",11429,119224,0.09586157149567201
24140,"Goldsboro, NC",15097,109083,0.1383992006087108
24220,"Grand Forks, ND-MN",10906,91780,0.11882763129222053
24260,"Grand Island, NE",8454,76186,0.11096526920956606
24300,"Grand Junction, CO",11651,113845,0.10234090210373754
24340,"Grand Rapids-Wyoming, MI",71970,907408,0.07931382575423625
24420,"Grants Pass, OR",11193,74613,0.15001407261469182
24500,"Great Falls, MT",10605,78438,0.1352023254035034
24540,"Greeley, CO",22019,175893,0.1251840607642146
24580,"Green Bay, WI",18785,274339,0.06847367672842723
24660,"Greensboro-High Point, NC",66648,628070,0.10611556036747496
24780,"Greenville, NC",26001,127835,0.20339500136895217
24860,"Greenville-Anderson-Mauldin, SC",82317,703094,0.11707822851567501
25060,"Gulfport-Biloxi-Pascagoula, MS",49238,354241,0.13899576841754624
25180,"Hagerstown-Martinsburg, MD-WV",20253,197391,0.10260346216392845
25220,"Hammond, LA",22119,97474,0.22692205100847407
25260,"Hanford-Corcoran, CA",21307,109207,0.19510654078950984
25420,"Harrisburg-Carlisle, PA",40094,487679,0.08221391530084338
25500,"Harrisonburg, VA",15434,99558,0.15502521143454068
25540,"Hartford-West Hartford-East Hartford, CT",91303,1105295,0.08260509637698533
25620,"Hattiesburg, MS",22885,117979,0.19397519897608897
25860,"Hickory-Lenoir-Morganton, NC",32802,334747,0.09799042261767843
25940,"Hilton Head Island-Bluffton-Beaufort, SC",16190,133723,0.12107116950711545
25980,"Hinesville, GA",10450,66778,0.15648866393123484
26140,"Homosassa Springs, FL",13541,115976,0.11675691522383941
26300,"Hot Springs, AR",12565,86164,0.14582656329789703
26380,"Houma-Thibodaux, LA",34167,190786,0.17908546748713217
26420,"Houston-The Woodlands-Sugar Land, TX",631199,4620817,0.1365990040289412
26580,"Huntington-Ashland, WV-KY-OH",61415,355288,0.17285976447276577
26620,"Huntsville, AL",36179,332338,0.1088620621174828
26820,"Idaho Falls, ID",10766,103491,0.10402836961668165
26900,"Indianapolis-Carmel-Anderson, IN",138444,1617188,0.08560785758984113
26980,"Iowa City, IA",16930,122980,0.13766466092047489
27060,"Ithaca, NY",14905,84541,0.17630498811227688
27100,"Jackson, MI",13417,148414,0.09040252267306319
27140,"Jackson, MS",89822,504915,0.17789528930612084
27180,"Jackson, TN",16809,117094,0.1435513348250124
27260,"Jacksonville, FL",118116,1099748,0.10740278682025337
27340,"Jacksonville, NC",16917,131038,0.12909995573803018
27500,"Janesville-Beloit, WI",10880,148541,0.07324577052800237
27620,"Jefferson City, MO",11254,128794,0.08737984688727736
27740,"Johnson City, TN",25966,175758,0.14773722959979063
27780,"Johnstown, PA",18111,145016,0.12488966734705136
27860,"Jonesboro, AR",17586,104688,0.16798486932599724
27900,"Joplin, MO",20819,153932,0.13524803159836812
27980,"Kahului-Wailuku-Lahaina, HI",13311,126887,0.10490436372520431
