cbsa_fips,cbsa,city_fips,city,pct_prewar_city,pct_prewar_msa
10180,"Abilene, TX",4801000,Abilene city,0.08386700587770857,0.1018446110676664
10420,"Akron, OH",3901000,Akron city,0.3470313062252609,0.20742947871989442
10500,"Albany, GA",1301052,Albany city,0.041500870430241234,0.04962748019763156
10540,"Albany, OR",4101000,Albany city,0.09448501926505262,0.10879330213306367
10580,"Albany-Schenectady-Troy, NY",3601000,Albany city,0.49867514573396926,0.3167289822400616
10740,"Albuquerque, NM",3502000,Albuquerque city,0.0361675573940437,0.03801660999215276
10780,"Alexandria, LA",2200975,Alexandria city,0.09017794309842163,0.06929287259158975
10900,"Allentown-Bethlehem-Easton, PA-NJ",4202000,Allentown city,0.4096605744125326,0.30983600688647406
11020,"Altoona, PA",4202184,Altoona city,0.5568213264458999,0.39932075334628864
11100,"Amarillo, TX",4803000,Amarillo city,0.08271581042968534,0.08212403553766408
11180,"Ames, IA",1901855,Ames city,0.12234753327275642,0.18671237349004244
11260,"Anchorage, AK",0203000,Anchorage municipality,0.006127450980392157,0.006476268040752719
11460,"Ann Arbor, MI",2603000,Ann Arbor city,0.16840343965772864,0.13612677292113315
11500,"Anniston-Oxford-Jacksonville, AL",0101852,Anniston city,0.147010806188292,0.0876037566735513
11540,"Appleton, WI",5502375,Appleton city,0.2217163504968383,0.2028020211299954
11700,"Asheville, NC",3702140,Asheville city,0.22586022145493512,0.11555857207225191
12020,"Athens-Clarke County, GA",1303440,Athens-Clarke County (balance),0.06995005282873884,0.07285836960705931
12060,"Atlanta-Sandy Springs-Roswell, GA",1304000,Atlanta city,0.16780928138268858,0.04439025867813655
12100,"Atlantic City-Hammonton, NJ",3402080,Atlantic City city,0.26405855878134427,0.1474449995617495
12220,"Auburn-Opelika, AL",0103076,Auburn city,0.027088935365003487,0.03640048480995053
12260,"Augusta-Richmond County, GA-SC",1304204,Augusta-Richmond County (balance),0.07620960742008283,0.060689094517370826
12420,"Austin-Round Rock, TX",4805000,Austin city,0.03790521707379678,0.03871742969814759
12540,"Bakersfield, CA",0603526,Bakersfield city,0.042885167084330246,0.05341072014648218
12580,"Baltimore-Columbia-Towson, MD",2404000,Baltimore city,0.3684807822229322,0.160123696860634
12620,"Bangor, ME",2302795,Bangor city,0.44978405429492013,0.28292967522850687
12700,"Barnstable Town, MA",2503600,Barnstable Town city,0.12203213686145975,0.11925919378854116
12940,"Baton Rouge, LA",2205000,Baton Rouge city,0.062114546501110104,0.04637341554842112
12980,"Battle Creek, MI",2605920,Battle Creek city,0.27882982336956524,0.2555246971426624
13020,"Bay City, MI",2606020,Bay City city,0.501875884125715,0.2618745018633005
13140,"Beaumont-Port Arthur, TX",4807000,Beaumont city,0.09057956174482899,0.06937230228985296
13220,"Beckley, WV",5405332,Beckley city,0.17685439560439561,0.17054141794952352
13380,"Bellingham, WA",5305280,Bellingham city,0.22263381478334748,0.14565655745469802
13460,"Bend-Redmond, OR",4105800,Bend city,0.07182860698728775,0.046168220874631294
13740,"Billings, MT",3006550,Billings city,0.09813287016934433,0.11752359231163337
13780,"Binghamton, NY",3606607,Binghamton city,0.5582578949564057,0.3265896740363069
13820,"Birmingham-Hoover, AL",0107000,Birmingham city,0.1471188373771485,0.08357874533937289
13900,"Bismarck, ND",3807200,Bismarck city,0.07275887757635957,0.10292742573545278
13980,"Blacksburg-Christiansburg-Radford, VA",5107784,Blacksburg town,0.042757609094242754,0.10763629036900581
14010,"Bloomington, IL",1706613,Bloomington city,0.2062607354436148,0.2133256014512148
14020,"Bloomington, IN",1805860,Bloomington city,0.0984519905497373,0.09723389182688347
14100,"Bloomsburg-Berwick, PA",4207128,Bloomsburg town,0.497388144446968,0.34505090497737556
14260,"Boise City, ID",1608830,Boise City city,0.07966645285439385,0.0769939835513606
