cbsa_fips,cbsa,r_1,r_2
10420,"Akron, OH",0,2
10580,"Albany-Schenectady-Troy, NY",2,0
10740,"Albuquerque, NM",1,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",0,1
11180,"Ames, IA",1,0
11460,"Ann Arbor, MI",1,0
11900,NA,0,1
12020,"Athens-Clarke County, GA",1,0
12060,"Atlanta-Sandy Springs-Roswell, GA",2,2
12220,"Auburn-Opelika, AL",0,1
12420,"Austin-Round Rock, TX",1,0
12580,"Baltimore-Columbia-Towson, MD",1,1
12620,"Bangor, ME",0,1
12940,"Baton Rouge, LA",1,0
13780,"Binghamton, NY",0,1
13820,"Birmingham-Hoover, AL",1,0
13980,"Blacksburg-Christiansburg-Radford, VA",1,0
14020,"Bloomington, IN",1,0
14460,"Boston-Cambridge-Newton, MA-NH",5,3
14500,"Boulder, CO",1,0
14580,NA,1,0
15100,NA,0,1
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1,0
15540,"Burlington-South Burlington, VT",0,1
16060,"Carbondale-Marion, IL",0,1
16580,"Champaign-Urbana, IL",1,0
16820,"Charlottesville, VA",1,0
16980,"Chicago-Naperville-Elgin, IL-IN-WI",3,3
17140,"Cincinnati, OH-KY-IN",1,1
17460,"Cleveland-Elyria, OH",1,0
17780,"College Station-Bryan, TX",1,0
17860,"Columbia, MO",1,0
17900,"Columbia, SC",1,0
18140,"Columbus, OH",1,0
18700,"Corvallis, OR",1,0
19100,"Dallas-Fort Worth-Arlington, TX",0,3
19430,NA,0,2
19740,"Denver-Aurora-Lakewood, CO",1,2
19820,"Detroit-Warren-Dearborn, MI",1,0
20500,"Durham-Chapel Hill, NC",2,0
21340,"El Paso, TX",0,1
21660,"Eugene, OR",0,1
21820,"Fairbanks, AK",0,1
22020,"Fargo, ND-MN",0,1
22220,"Fayetteville-Springdale-Rogers, AR-MO",0,1
22380,"Flagstaff, AZ",0,1
22660,"Fort Collins, CO",1,0
23540,"Gainesville, FL",1,0
24220,"Grand Forks, ND-MN",0,1
24660,"Greensboro-High Point, NC",0,2
