cbsa_fips,cbsa,city_fips,city,vacancy
10180,"Abilene, TX",4801000,Abilene city,0.08873690210004823
10420,"Akron, OH",3901000,Akron city,0.07397626265221188
10500,"Albany, GA",1301052,Albany city,0.10735450065498098
10540,"Albany, OR",4101000,Albany city,0.07286750316564983
10580,"Albany-Schenectady-Troy, NY",3601000,Albany city,0.10110846140257905
10740,"Albuquerque, NM",3502000,Albuquerque city,0.07673393293527826
10780,"Alexandria, LA",2200975,Alexandria city,0.10047460365545795
10900,"Allentown-Bethlehem-Easton, PA-NJ",4202000,Allentown city,0.0854656222802437
11020,"Altoona, PA",4202184,Altoona city,0.07481204741478714
11100,"Amarillo, TX",4803000,Amarillo city,0.06503425035907634
11180,"Ames, IA",1901855,Ames city,0.035826624726768674
11260,"Anchorage, AK",0203000,Anchorage municipality,0.055256655507731546
11460,"Ann Arbor, MI",2603000,Ann Arbor city,0.0322970053793045
11500,"Anniston-Oxford-Jacksonville, AL",0101852,Anniston city,0.18299835770704623
11540,"Appleton, WI",5502375,Appleton city,0.031439284684164986
11700,"Asheville, NC",3702140,Asheville city,0.08570917865761016
12020,"Athens-Clarke County, GA",1303440,Athens-Clarke County (balance),0.057502461989287344
12060,"Atlanta-Sandy Springs-Roswell, GA",1304000,Atlanta city,0.10045740270161829
12100,"Atlantic City-Hammonton, NJ",3402080,Atlantic City city,0.21618279835798013
12220,"Auburn-Opelika, AL",0103076,Auburn city,0.08092600908047698
12260,"Augusta-Richmond County, GA-SC",1304204,Augusta-Richmond County (balance),0.10156434437941875
12420,"Austin-Round Rock, TX",4805000,Austin city,0.04043100396616121
12540,"Bakersfield, CA",0603526,Bakersfield city,0.054621467902381544
12580,"Baltimore-Columbia-Towson, MD",2404000,Baltimore city,0.14137854145242398
12620,"Bangor, ME",2302795,Bangor city,0.05991636388565161
12700,"Barnstable Town, MA",2503600,Barnstable Town city,0.21552482212806778
12940,"Baton Rouge, LA",2205000,Baton Rouge city,0.08640694952150162
12980,"Battle Creek, MI",2605920,Battle Creek city,0.09253985122210415
13020,"Bay City, MI",2606020,Bay City city,0.06464112184021158
13140,"Beaumont-Port Arthur, TX",4807000,Beaumont city,0.0912424459694766
13220,"Beckley, WV",5405332,Beckley city,0.12369717099988546
13380,"Bellingham, WA",5305280,Bellingham city,0.05004410667028567
13460,"Bend-Redmond, OR",4105800,Bend city,0.06420224818945217
13740,"Billings, MT",3006550,Billings city,0.04499529178225129
13780,"Binghamton, NY",3606607,Binghamton city,0.12022860956989696
13820,"Birmingham-Hoover, AL",0107000,Birmingham city,0.11744261884978602
13900,"Bismarck, ND",3807200,Bismarck city,0.04261469215840112
13980,"Blacksburg-Christiansburg-Radford, VA",5107784,Blacksburg town,0.04150888435770463
14010,"Bloomington, IL",1706613,Bloomington city,0.06292427280081601
14020,"Bloomington, IN",1805860,Bloomington city,0.06802816901408451
14100,"Bloomsburg-Berwick, PA",4207128,Bloomsburg town,0.07251648101841328
14260,"Boise City, ID",1608830,Boise City city,0.04382787411689146
14460,"Boston-Cambridge-Newton, MA-NH",2507000,Boston city,0.049246829539365315
14500,"Boulder, CO",0807850,Boulder city,0.027746402789372883
14540,"Bowling Green, KY",2108902,Bowling Green city,0.0945514325974636
14740,"Bremerton-Silverdale, WA",5307695,Bremerton city,0.09229751668570742
14860,"Bridgeport-Stamford-Norwalk, CT",0908000,Bridgeport city,0.07467765372376625
15180,"Brownsville-Harlingen, TX",4810768,Brownsville city,0.09803180303853697
15260,"Brunswick, GA",1311560,Brunswick city,0.12471231300345224
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",3611000,Buffalo city,0.15699232005715305
