cbsa_fips,cbsa,total_vacant_2000,total_units_2000,vacancy
10180,"Abilene, TX",6742,65217,0.10337795360105494
10420,"Akron, OH",16739,290976,0.0575270812713076
10500,"Albany, GA",6352,63755,0.09963140145870912
10540,"Albany, OR",2980,42521,0.07008301780296794
10580,"Albany-Schenectady-Troy, NY",33494,363740,0.09208225655688129
10740,"Albuquerque, NM",24788,305840,0.08104891446507978
10780,"Alexandria, LA",6376,60569,0.10526837160923905
10900,"Allentown-Bethlehem-Easton, PA-NJ",21461,307269,0.06984433834848293
11020,"Altoona, PA",3543,55061,0.0643468153502479
11100,"Amarillo, TX",6402,92409,0.06927896633444794
11180,"Ames, IA",1247,30630,0.04071172053542279
11260,"Anchorage, AK",12319,127697,0.09647055138335278
11460,"Ann Arbor, MI",5742,131069,0.043808986106554565
11500,"Anniston-Oxford-Jacksonville, AL",6015,51322,0.11720120026499357
11540,"Appleton, WI",2932,78372,0.037411320369519725
11700,"Asheville, NC",21041,175331,0.12000730047738278
12020,"Athens-Clarke County, GA",4136,67542,0.06123597169168814
12060,"Atlanta-Sandy Springs-Roswell, GA",90988,1650700,0.05512085781789544
12100,"Atlantic City-Hammonton, NJ",19066,114090,0.1671136821807345
12220,"Auburn-Opelika, AL",4627,50329,0.091935067257446
12260,"Augusta-Richmond County, GA-SC",21063,209115,0.10072448174449465
12420,"Austin-Round Rock, TX",24149,496004,0.0486871073620374
12540,"Bakersfield, CA",22912,231564,0.0989445682403137
12580,"Baltimore-Columbia-Towson, MD",73975,1048046,0.07058373392007602
12620,"Bangor, ME",8751,66847,0.130910886053226
12700,"Barnstable Town, MA",52261,147083,0.3553163859861439
12940,"Baton Rouge, LA",25874,282511,0.09158581435767103
12980,"Battle Creek, MI",4591,58691,0.07822323695285478
13020,"Bay City, MI",2493,46423,0.0537018288348448
13140,"Beaumont-Port Arthur, TX",16118,164028,0.09826371107371912
13220,"Beckley, WV",6556,57294,0.11442733968652913
13380,"Bellingham, WA",9447,73893,0.12784702204538995
13460,"Bend-Redmond, OR",8988,54583,0.1646666544528516
13740,"Billings, MT",3993,60507,0.06599236451980763
13780,"Binghamton, NY",9753,110227,0.08848104366443793
13820,"Birmingham-Hoover, AL",41962,454338,0.09235855244333514
13900,"Bismarck, ND",2264,41709,0.05428085065573377
13980,"Blacksburg-Christiansburg-Radford, VA",5250,69484,0.07555696275401531
14010,"Bloomington, IL",3738,67254,0.0555803372290124
14020,"Bloomington, IN",5519,60699,0.09092406794181124
14100,"Bloomsburg-Berwick, PA",3360,35360,0.09502262443438914
14260,"Boise City, ID",10879,181170,0.06004857316332726
14460,"Boston-Cambridge-Newton, MA-NH",71926,1751585,0.04106337973892218
14500,"Boulder, CO",5220,119900,0.04353628023352794
14540,"Bowling Green, KY",6344,58326,0.10876795940061036
14740,"Bremerton-Silverdale, WA",6228,92644,0.06722507663745089
14860,"Bridgeport-Stamford-Norwalk, CT",15234,339466,0.0448763646432927
15180,"Brownsville-Harlingen, TX",22387,119654,0.1870977986527822
15260,"Brunswick, GA",8015,44861,0.1786629812086222
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",42864,511583,0.08378699057630921
15500,"Burlington, NC",3879,55463,0.06993851757027207
15540,"Burlington-South Burlington, VT",6740,82718,0.08148166058173553
15680,"California-Lexington Park, MD",3439,34081,0.10090666353686804
15940,"Canton-Massillon, OH",10598,170040,0.062326511409080215
15980,"Cape Coral-Fort Myers, FL",56806,245405,0.23147857623112814
16020,"Cape Girardeau, MO-IL",4183,39547,0.10577287784155562
16060,"Carbondale-Marion, IL",4974,54547,0.09118741635653657
16180,"Carson City, NV",1112,21283,0.05224827326974581
16220,"Casper, WY",3063,29882,0.10250317917140754
16300,"Cedar Rapids, IA",4995,99054,0.05042703979647465
