cbsa_fips,cbsa,emp_2005,emp_2015
998,United States (Metropolitan Portion),149308196,166854897
10180,"Abilene, TX (Metropolitan Statistical Area)",92937,102565
10420,"Akron, OH (Metropolitan Statistical Area)",412097,425964
10500,"Albany, GA (Metropolitan Statistical Area)",80177,81396
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",57088,58931
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",530740,556334
10740,"Albuquerque, NM (Metropolitan Statistical Area)",476212,489286
10780,"Alexandria, LA (Metropolitan Statistical Area)",79635,81880
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",418886,459141
11020,"Altoona, PA (Metropolitan Statistical Area)",75271,75560
11100,"Amarillo, TX (Metropolitan Statistical Area)",144955,162740
11180,"Ames, IA (Metropolitan Statistical Area)",71916,77356
11260,"Anchorage, AK (Metropolitan Statistical Area)",220731,245176
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",247846,258276
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",63108,58053
11540,"Appleton, WI (Metropolitan Statistical Area)",143877,151895
11700,"Asheville, NC (Metropolitan Statistical Area)",229213,259992
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",103703,117351
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3014860,3540455
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",183113,164848
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",63934,78203
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",282917,307239
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",934981,1324618
12540,"Bakersfield, CA (Metropolitan Statistical Area)",341791,404894
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1623895,1788464
12620,"Bangor, ME (Metropolitan Statistical Area)",92341,90466
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",139159,150122
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",447001,523290
12980,"Battle Creek, MI (Metropolitan Statistical Area)",75646,71316
13020,"Bay City, MI (Metropolitan Statistical Area)",50662,47382
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",195198,212976
13220,"Beckley, WV (Metropolitan Statistical Area)",56027,55257
13380,"Bellingham, WA (Metropolitan Statistical Area)",107985,119693
13460,"Bend, OR (Metropolitan Statistical Area)",92848,109460
13740,"Billings, MT (Metropolitan Statistical Area)",106966,119065
13780,"Binghamton, NY (Metropolitan Statistical Area)",135172,128332
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",613937,639453
13900,"Bismarck, ND (Metropolitan Statistical Area)",73520,95097
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",84239,87456
14010,"Bloomington, IL (Metropolitan Statistical Area)",109996,112398
14020,"Bloomington, IN (Metropolitan Statistical Area)",90907,94447
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",49459,52723
14260,"Boise City, ID (Metropolitan Statistical Area)",346498,395839
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3013744,3490789
14500,"Boulder, CO (Metropolitan Statistical Area) *",218044,258598
14540,"Bowling Green, KY (Metropolitan Statistical Area)",84829,96190
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",124980,127305
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",591253,657163
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",156329,188695
15260,"Brunswick, GA (Metropolitan Statistical Area)",56363,57149
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",636763,663455
15500,"Burlington, NC (Metropolitan Statistical Area)",76703,79311
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",147964,162259
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",53234,60296
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",220170,219220
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",300554,353158
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",59727,60244
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",75320,76461
16180,"Carson City, NV (Metropolitan Statistical Area)",43878,37650
16220,"Casper, WY (Metropolitan Statistical Area)",48826,57161
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",164717,181094
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",72375,78821
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",129866,133560
16620,"Charleston, WV (Metropolitan Statistical Area)",161220,154402
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",364423,448908
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1209673,1491118
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",126006,145761
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",302725,310769
16940,"Cheyenne, WY (Metropolitan Statistical Area)",57722,67095
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",5528261,5964154
17020,"Chico, CA (Metropolitan Statistical Area)",103948,110049
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",1266491,1322949
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",138270,151139
17420,"Cleveland, TN (Metropolitan Statistical Area)",55733,61965
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",1299430,1313275
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",73502,82666
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",115746,146044
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",365026,404672
17860,"Columbia, MO (Metropolitan Statistical Area)",122431,138281
17900,"Columbia, SC (Metropolitan Statistical Area)",433120,489418
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",168743,182245
18020,"Columbus, IN (Metropolitan Statistical Area)",51636,60078
18140,"Columbus, OH (Metropolitan Statistical Area)",1166767,1315582
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",217363,248914
18700,"Corvallis, OR (Metropolitan Statistical Area)",48107,50420
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",150544,163175
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",48486,48347
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",3621905,4633996
19140,"Dalton, GA (Metropolitan Statistical Area)",89189,81978
19180,"Danville, IL (Metropolitan Statistical Area)",40190,37741
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",82612,103915
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",231269,229890
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",482766,469853
19460,"Decatur, AL (Metropolitan Statistical Area)",74947,72980
