cbsa_fips,cbsa,gdp_2005,gdp_2015
998,United States (Metropolitan Portion),13376451615,15377266436
10180,"Abilene, TX (Metropolitan Statistical Area)",5205916,6512380
10420,"Akron, OH (Metropolitan Statistical Area)",31081544,32080122
10500,"Albany, GA (Metropolitan Statistical Area)",5790084,5068956
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3752855,3861453
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",45621416,50654280
10740,"Albuquerque, NM (Metropolitan Statistical Area)",37513020,37189493
10780,"Alexandria, LA (Metropolitan Statistical Area)",5360072,5470089
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",35903549,39178397
11020,"Altoona, PA (Metropolitan Statistical Area)",4952603,5231330
11100,"Amarillo, TX (Metropolitan Statistical Area)",9915443,12274232
11180,"Ames, IA (Metropolitan Statistical Area)",4568103,5635680
11260,"Anchorage, AK (Metropolitan Statistical Area)",19250484,23145887
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",20471233,20096509
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",4188694,3810823
11540,"Appleton, WI (Metropolitan Statistical Area)",10519544,11164626
11700,"Asheville, NC (Metropolitan Statistical Area)",14634292,16460285
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",7268098,8248732
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",291636342,320160440
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",14747473,12705660
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3794406,5457975
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",20802794,23242236
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",73119547,116349089
12540,"Bakersfield, CA (Metropolitan Statistical Area)",36720929,48137003
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",150642741,171574554
12620,"Bangor, ME (Metropolitan Statistical Area)",5991791,5633056
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",11407828,11980440
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",50582279,49618626
12980,"Battle Creek, MI (Metropolitan Statistical Area)",6113337,5528791
13020,"Bay City, MI (Metropolitan Statistical Area)",3524988,3508955
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",23035821,26492325
13220,"Beckley, WV (Metropolitan Statistical Area)",4037144,3789624
13380,"Bellingham, WA (Metropolitan Statistical Area)",10539485,11419854
13460,"Bend, OR (Metropolitan Statistical Area)",5673398,6672082
13740,"Billings, MT (Metropolitan Statistical Area)",7988908,9920855
13780,"Binghamton, NY (Metropolitan Statistical Area)",8279956,10493418
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",51738429,52589375
13900,"Bismarck, ND (Metropolitan Statistical Area)",4821708,7087257
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",6160870,6644890
14010,"Bloomington, IL (Metropolitan Statistical Area)",9508172,11869056
14020,"Bloomington, IN (Metropolitan Statistical Area)",5618761,6085872
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3566165,4020554
14260,"Boise City, ID (Metropolitan Statistical Area)",23892228,26920017
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",310197494,381287879
14500,"Boulder, CO (Metropolitan Statistical Area) *",17975234,22669578
14540,"Bowling Green, KY (Metropolitan Statistical Area)",5402704,6046031
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",9555384,10240128
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",83832207,78667116
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",8139291,9544503
15260,"Brunswick, GA (Metropolitan Statistical Area)",3939584,3745325
