cbsa_fips,cbsa,inc_2005,inc_2015
998,United States (Metropolitan Portion),37381,50747
10180,"Abilene, TX (Metropolitan Statistical Area)",28319,40822
10420,"Akron, OH (Metropolitan Statistical Area)",33773,44994
10500,"Albany, GA (Metropolitan Statistical Area)",26580,34848
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",28013,38055
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",37076,52591
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",31392,38863
10780,"Alexandria, LA (Metropolitan Statistical Area)",30603,40653
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",37208,48554
11020,"Altoona, PA (Metropolitan Statistical Area)",29828,41996
11100,"Amarillo, TX (Metropolitan Statistical Area)",29036,43296
11180,"Ames, IA (Metropolitan Statistical Area)",31415,40064
11260,"Anchorage, AK (Metropolitan Statistical Area)",41859,59602
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",40147,52348
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",27460,34182
11540,"Appleton, WI (Metropolitan Statistical Area)",34473,46241
11700,"Asheville, NC (Metropolitan Statistical Area)",30419,40618
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",27796,36750
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",38488,46757
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",33764,44345
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",25721,34188
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",29162,38354
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",36016,51555
12540,"Bakersfield, CA (Metropolitan Statistical Area)",26522,38015
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",42413,56362
12620,"Bangor, ME (Metropolitan Statistical Area)",29325,37914
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",45135,65472
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",31681,43806
12980,"Battle Creek, MI (Metropolitan Statistical Area)",28488,37171
13020,"Bay City, MI (Metropolitan Statistical Area)",28733,38421
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",28041,41975
13220,"Beckley, WV (Metropolitan Statistical Area)",25262,34987
13380,"Bellingham, WA (Metropolitan Statistical Area)",30752,43991
13460,"Bend, OR (Metropolitan Statistical Area)",33218,47523
13740,"Billings, MT (Metropolitan Statistical Area)",32294,47812
13780,"Binghamton, NY (Metropolitan Statistical Area)",28516,40158
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",35983,46071
13900,"Bismarck, ND (Metropolitan Statistical Area)",33138,55829
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",25802,35123
14010,"Bloomington, IL (Metropolitan Statistical Area)",34296,45818
14020,"Bloomington, IN (Metropolitan Statistical Area)",27459,36615
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",28905,40723
14260,"Boise City, ID (Metropolitan Statistical Area)",32238,41457
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",48735,69396
14500,"Boulder, CO (Metropolitan Statistical Area) *",46245,63953
14540,"Bowling Green, KY (Metropolitan Statistical Area)",26890,34533
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",37818,48816
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",74436,104396
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",18700,26604
15260,"Brunswick, GA (Metropolitan Statistical Area)",32375,37076
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",31791,45370
15500,"Burlington, NC (Metropolitan Statistical Area)",28741,36830
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",37431,52905
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",37793,52337
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",30426,41291
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",37483,46476
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",29089,39468
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",27059,37389
16180,"Carson City, NV (Metropolitan Statistical Area)",24548,45452
16220,"Casper, WY (Metropolitan Statistical Area)",39274,73239
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",34024,48143
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",32843,42012
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",30947,43919
16620,"Charleston, WV (Metropolitan Statistical Area)",29880,40152
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",32422,45213
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",36100,46603
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",40117,57019
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",31211,41996
16940,"Cheyenne, WY (Metropolitan Statistical Area)",36591,49731
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",40731,55275
17020,"Chico, CA (Metropolitan Statistical Area)",28703,40755
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",36409,48498
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",30802,38757
17420,"Cleveland, TN (Metropolitan Statistical Area)",26880,36308
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",35563,48522
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",29237,40453
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",24649,36197
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",34303,44704
17860,"Columbia, MO (Metropolitan Statistical Area)",31546,42521
17900,"Columbia, SC (Metropolitan Statistical Area)",31493,41374
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",30146,37276
18020,"Columbus, IN (Metropolitan Statistical Area)",33314,45961
18140,"Columbus, OH (Metropolitan Statistical Area)",34592,47251
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",30040,42397
18700,"Corvallis, OR (Metropolitan Statistical Area)",33135,42077
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",36617,46809
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",27570,36672
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",37170,50743
19140,"Dalton, GA (Metropolitan Statistical Area)",26581,33182
19180,"Danville, IL (Metropolitan Statistical Area)",26601,36124
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",32329,41449
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",34069,44986
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",32563,43082
19460,"Decatur, AL (Metropolitan Statistical Area)",28189,35491
19500,"Decatur, IL (Metropolitan Statistical Area)",32753,44493
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",30671,38497
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",41586,56601
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",37648,49700
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",36868,47836
20020,"Dothan, AL (Metropolitan Statistical Area)",29750,37246
20100,"Dover, DE (Metropolitan Statistical Area)",31144,37957
20220,"Dubuque, IA (Metropolitan Statistical Area)",30008,44645
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",29563,42268
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",35842,47810
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",29497,38247
20740,"Eau Claire, WI (Metropolitan Statistical Area)",30680,43088
20940,"El Centro, CA (Metropolitan Statistical Area)",24622,35494
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",28337,38811
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",30651,40195
21300,"Elmira, NY (Metropolitan Statistical Area)",28438,40170
21340,"El Paso, TX (Metropolitan Statistical Area)",22900,32811
21420,"Enid, OK (Metropolitan Statistical Area)",31339,44103
21500,"Erie, PA (Metropolitan Statistical Area)",29360,40665
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",30748,41181
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",32778,43407
21820,"Fairbanks, AK (Metropolitan Statistical Area) *",36772,53781
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",33076,50419
22140,"Farmington, NM (Metropolitan Statistical Area)",24872,34290
22180,"Fayetteville, NC (Metropolitan Statistical Area)",28791,34365
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",34429,58205
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",29480,42726
22420,"Flint, MI (Metropolitan Statistical Area)",28391,37179
22500,"Florence, SC (Metropolitan Statistical Area)",27799,36497
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",27023,35271
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",32214,43787
22660,"Fort Collins, CO (Metropolitan Statistical Area)",34106,46943
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",26253,35500
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",31660,42212
23420,"Fresno, CA (Metropolitan Statistical Area)",28185,39725
23460,"Gadsden, AL (Metropolitan Statistical Area)",25995,34077
23540,"Gainesville, FL (Metropolitan Statistical Area)",30582,38489
23580,"Gainesville, GA (Metropolitan Statistical Area)",30717,38864
23900,"Gettysburg, PA (Metropolitan Statistical Area)",32298,44844
24020,"Glens Falls, NY (Metropolitan Statistical Area)",29395,41433
24140,"Goldsboro, NC (Metropolitan Statistical Area)",27546,35704
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",29766,46258
24260,"Grand Island, NE (Metropolitan Statistical Area)",29789,41296
24300,"Grand Junction, CO (Metropolitan Statistical Area)",30532,40293
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",33051,45912
24420,"Grants Pass, OR (Metropolitan Statistical Area)",27196,36728
24500,"Great Falls, MT (Metropolitan Statistical Area)",30780,43223
24540,"Greeley, CO (Metropolitan Statistical Area) *",28569,43807
24580,"Green Bay, WI (Metropolitan Statistical Area)",34226,47001
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",31970,40407
24780,"Greenville, NC (Metropolitan Statistical Area)",28905,38003
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",29334,40328
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",28321,34867
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",30912,40190
25220,"Hammond, LA (Metropolitan Statistical Area)",26266,36045
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",23980,32605
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",36592,47895
25500,"Harrisonburg, VA (Metropolitan Statistical Area) *",27652,36833
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",43365,58981
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",26018,35774
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",28142,35772
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",38268,47801
25980,"Hinesville, GA (Metropolitan Statistical Area)",23020,31696
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",27046,35605
26300,"Hot Springs, AR (Metropolitan Statistical Area)",28327,36630
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",29014,43824
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",38431,54158
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",25991,36432
26620,"Huntsville, AL (Metropolitan Statistical Area)",34007,45110
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",30419,40152
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",35987,49306
26980,"Iowa City, IA (Metropolitan Statistical Area)",34365,48092
