cbsa_fips,cbsa,pop_2005,pop_2015
998,United States (Metropolitan Portion),250646689,275318931
10180,"Abilene, TX (Metropolitan Statistical Area)",160761,169704
10420,"Akron, OH (Metropolitan Statistical Area)",702498,704448
10500,"Albany, GA (Metropolitan Statistical Area)",152919,150408
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",108132,120244
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",854604,879131
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",809551,906548
10780,"Alexandria, LA (Metropolitan Statistical Area)",147930,154102
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",787738,830361
11020,"Altoona, PA (Metropolitan Statistical Area)",126730,124585
11100,"Amarillo, TX (Metropolitan Statistical Area)",240380,261804
11180,"Ames, IA (Metropolitan Statistical Area)",109384,123058
11260,"Anchorage, AK (Metropolitan Statistical Area)",350903,398681
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",342234,363109
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",114477,115536
11540,"Appleton, WI (Metropolitan Statistical Area)",215925,233229
11700,"Asheville, NC (Metropolitan Statistical Area)",396408,444673
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",178974,202533
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",4770870,5688284
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",270332,270471
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",126133,157009
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",531294,589476
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",1453358,2002591
12540,"Bakersfield, CA (Metropolitan Statistical Area)",760726,877197
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2644231,2790285
12620,"Bangor, ME (Metropolitan Statistical Area)",149726,151949
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",221995,213811
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",758706,851101
12980,"Battle Creek, MI (Metropolitan Statistical Area)",138946,134339
13020,"Bay City, MI (Metropolitan Statistical Area)",109165,105281
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",385490,394939
13220,"Beckley, WV (Metropolitan Statistical Area)",124570,122077
13380,"Bellingham, WA (Metropolitan Statistical Area)",185450,211940
13460,"Bend, OR (Metropolitan Statistical Area)",140567,174244
13740,"Billings, MT (Metropolitan Statistical Area)",156025,176373
13780,"Binghamton, NY (Metropolitan Statistical Area)",252088,245154
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1017818,1079801
13900,"Bismarck, ND (Metropolitan Statistical Area)",101858,125285
