Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,LAT,LON
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,42402653,121092.1186N,303940.3104W
2,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,36720005,151108.2790N,316463.7500W
3,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,29372272,122192.9870N,426268.9750W
4,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,28079147,118430.0336N,349335.7018W
5,WP,NV,LAS,Las Vegas,McCarran International,P,L,21402676,129888.1580N,414548.0450W
6,NM,CO,DEN,Denver,Denver International,P,L,20799886,143502.0000N,376823.4000W
7,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,20315544,120363.4000N,403241.7000W
8,EA,NY,JFK,New York,John F Kennedy International,P,L,20260359,146303.7400N,265603.2930W
9,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,19032196,107943.9670N,343229.1930W
10,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain/,P,L,17971771,161575.1000N,335598.4000W
11,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,17580363,151964.8000N,300072.2000W
12,SO,FL,MCO,Orlando,Orlando International,P,L,16592133,102345.8000N,292712.4000W
13,EA,NJ,EWR,Newark,Newark Liberty International,P,L,16444959,146492.9274N,267007.2724W
14,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,16070133,135427.7000N,440551.5000W
15,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,15376569,143539.5020N,270866.3870W
16,SO,FL,MIA,Miami,Miami International,P,L,15092763,092863.3000N,289044.4170W
17,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,14359530,170819.6000N,440322.4000W
18,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,14009608,126769.5000N,291416.6000W
19,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,13214923,152506.6000N,255623.0000W
20,EA,VA,IAD,Dulles International Airport,Washington Dulles International,P,L,13032502,140210.8000N,278855.8000W
21,EA,NY,LGA,New York,La Guardia,P,L,13014314,146798.1000N,265941.4000W
22,SO,KY,CVG,Covington,Cincinnati/Northern Kentucky International,P,L,11277068,140575.8120N,304804.1600W
23,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,10729468,093858.0000N,288538.9000W
24,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,10601918,146838.2160N,403119.9840W
25,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshal,P,L,9829432,141032.6220N,276008.3680W
26,WP,HI,HNL,Honolulu,Honolulu International,P,L,9784404,076744.1790N,568512.9458W
