cbsa05,mburg05,mlarc05,mmoto05
10020,246,850,60
10100,96,383,21
10140,783,2884,364
10180,1769,4075,351
10220,303,697,64
10300,493,1496,124
10420,6081,17827,2158
10460,265,1135,54
10500,2186,4187,413
10540,1097,4566,505
10580,4516,16686,1341
10620,411,1006,98
10660,87,485,32
10700,517,2028,148
10740,8566,24905,5059
10760,402,1284,78
10780,1898,4659,498
10820,147,494,34
10860,529,1669,95
10880,424,1371,121
10900,3484,15295,1303
10940,184,401,37
10980,135,416,19
11020,774,2228,151
11060,271,657,45
11100,2811,8893,1133
11140,459,1136,69
11180,635,1524,67
11220,163,640,22
11260,1882,9165,1423
11300,850,3105,231
11340,2092,5927,819
11380,71,228,14
11420,140,882,36
11460,2312,6919,936
11500,1484,3703,305
11540,694,3749,145
11580,399,705,61
11620,497,1431,97
11660,193,333,25
11700,3391,8217,1269
11740,191,812,22
11780,652,1922,179
11820,359,1194,84
11860,70,341,34
11900,206,853,21
11940,638,1694,167
11980,753,1381,187
12020,1327,5630,490
12060,45446,124502,29389
12100,1855,8472,463
12140,182,834,59
12180,364,1322,22
12220,1204,3830,244
12260,4786,16453,2644
12300,647,2527,97
12380,215,1144,73
12420,11235,44642,3454
12460,229,996,44
12540,8472,19612,5895
12580,18067,62167,11979
12620,780,3326,138
12660,228,1713,67
12700,1855,3172,314
12740,233,1035,35
12780,425,1210,83
12820,222,751,47
12860,205,1366,27
12900,127,912,97
12940,7646,24083,2784
12980,1136,4207,303
13020,657,2104,190
13060,432,982,42
13100,154,742,39
13140,4850,11415,1284
13180,183,950,46
13220,475,2272,236
13260,182,638,78
13300,175,484,24
13340,266,633,48
13380,1754,7174,596
13420,183,1249,119
13460,1111,4387,475
13500,364,900,97
13540,148,497,43
13620,227,544,47
13660,316,862,36
13700,386,530,49
13740,801,5498,428
13780,863,5189,127
13820,12902,33731,4394
13860,98,297,42
13900,277,1705,195
13940,198,713,75
13980,754,3247,189
14020,1039,3524,301
14010,610,1510,109
14100,339,1417,75
14140,873,1975,198
14180,777,1506,158
14220,385,801,79
14260,3496,11900,1419
14300,274,481,49
14340,91,336,22
14380,367,754,60
14420,221,798,51
14460,20635,65971,12530
14500,1749,7778,841
14540,756,2819,199
14580,351,1898,203
14620,134,470,33
14660,650,2215,222
14700,578,1922,192
14740,1819,4572,586
14780,306,476,43
14820,173,306,32
14860,3402,14010,2542
14940,224,998,55
15020,117,437,30
15060,72,307,34
15100,19,172,6
15140,249,560,43
