X,Y,OBJECTID,ID,NAME,TYPE,MODE_TYPE,CITY,STATE,FIPS,ZIP,ZIP2,PARCEL,LATITUDE,LONGITUDE,GEOSOURCE,CREATEDATE,CREATOR,MODDATE,ASSOC
-86.220610000130876,40.133279999750357,1001,1891,WALLACE GRAIN INC.-SHERIDAN-IN,RAIL,RAIL & TRUCK,SHERIDAN,IN,18,46069, ,0,40.13328,-86.22061,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CSXT
-87.402500000367468,39.098949999673742,1002,1892,JOHNSON ELEVATOR-SULLIVAN-IN,RAIL,RAIL & TRUCK,SULLIVAN,IN,18,47882, ,0,39.09895,-87.4025,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CSXT
-87.41512999975015,39.441119999715099,1003,1893,GRAHAM GRAIN CO.-TERRE HAUTE-IN,RAIL,RAIL & TRUCK,TERRE HAUTE,IN,18,47802, ,0,39.44112,-87.41513,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CSXT
-87.397619999604544,39.438850000078666,1004,1894,"GROWERS COOPERATIVE, INC.-TERRE HAUTE-IN",RAIL,RAIL & TRUCK,TERRE HAUTE,IN,18,47802, ,0,39.43885,-87.39762,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,"CSXT, CR, SOO"
-87.513080000440056,38.653700000270177,1005,1895,"BALTIC MILLS, INC.-VINCENNES-IN",RAIL,RAIL & TRUCK,VINCENNES,IN,18,47591, ,0,38.6537,-87.51308,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CSXT
-87.531900000289767,38.681089999805728,1006,1896,"CARGIL, INC.-VINCENNES-IN",RAIL,RAIL & TRUCK,VINCENNES,IN,18,47591, ,0,38.68109,-87.5319,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CSXT
-87.538279999829285,38.659229999983381,1007,1897,SOUTHSIDE ELEVATOR-VINCENNES-IN,RAIL,RAIL & TRUCK,VINCENNES,IN,18,47591, ,0,38.65923,-87.53828,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CSXT
-86.078149999757272,39.556480000294066,1008,1899,KELSAY AND SON GRAIN CORP.-WHITELAND-IN,RAIL,RAIL & TRUCK,WHITELAND,IN,18,46184, ,0,39.55648,-86.07815,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CR
-95.732510000341634,36.229810000302024,1009,190,CATOOSA FERTILIZER TERMINAL-CATOOSA-OK,RAIL,RAIL & TRUCK,CATOOSA,OK,40,74015, ,0,36.22981,-95.73251,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,"BNSF, SKO, OP"
-94.642780000360986,41.500580000143536,1010,1900,WEST CENTRAL COOPERATIVE-ADAIR-IA,RAIL,RAIL & TRUCK,ADAIR,IA,19,50002, ,0,41.50058,-94.64278,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,IAIS
-94.559320000375408,41.852600000332288,1011,1901,FARMERS COOPERATIVE-BAYARD-IA,RAIL,RAIL & TRUCK,BAYARD,IA,19,50029, ,0,41.8526,-94.55932,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,BNSF
-93.460700000153579,41.702110000177548,1012,1902,FARMERS ELEVATOR CO.-BONDURANT-IA,RAIL,RAIL & TRUCK,BONDURANT,IA,19,50035, ,0,41.70211,-93.4607,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,UP
-97.188640000082827,46.680089999823899,1013,1903,WOODS FARMERS COOPERATIVE ELEVATOR C-LEONARD-ND,RAIL,RAIL & TRUCK,LEONARD,ND,38,58052,9776,0,46.68009,-97.18864,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,"BNSF, RRVW"
-99.514090000395285,47.76093000025665,1014,1904,FESSENDEN COOPERATIVE-MANFRED-ND,RAIL,RAIL & TRUCK,MANFRED,ND,38,58341, ,0,47.76093,-99.51409,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CP
-95.926239999880067,41.253269999827992,1015,1907,UP-OMAHA-NE-8TH AND MASON,RAIL,RAIL & TRUCK,OMAHA,NE,31,68108, ,0,41.25327,-95.92624,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-115.157879999704434,36.16162000025404,1016,1908,UP-LAS VEGAS-NV,RAIL,RAIL & TRUCK,LAS VEGAS,NV,32,89106, ,0,36.16162,-115.15788,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-119.811710000257236,39.570469999807003,1017,1909,UP-RENO-NV,RAIL,RAIL & TRUCK,RENO,NV,32,89512, ,0,39.57047,-119.81171,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-83.535300000329272,41.621670000197184,1018,191,TRANSFLO- TOLEDO-OH,RAIL,RAIL & TRUCK,TOLEDO,OH,39,43605, ,0,41.62167,-83.5353,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CSXT
-119.757300000203898,39.532790000140189,1019,1910,UP-SPARKS-NV,RAIL,RAIL & TRUCK,SPARKS,NV,32,89432, ,0,39.53279,-119.7573,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-101.252820000152852,48.218169999922857,1020,1911,SUNPRAIRIE GRAIN-MINOT-ND,RAIL,RAIL & TRUCK,MINOT,ND,38,58702, ,0,48.21817,-101.25282,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,"BNSF, CPRS"
-97.470139999559052,48.032660000121517,1021,1913,HONEYFORD FARMERS ELEVATOR-NIAGAR-ND,RAIL,RAIL & TRUCK,NIAGARA,ND,38,58235,9711,0,48.03266,-97.47014,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,BNSF
-98.133799999919603,46.138999999734622,1022,1915,NORWAY SPUR FARMERS COOPERATIVE-OAKES-ND,RAIL,RAIL & TRUCK,OAKES,ND,38,58474,9403,0,46.139,-98.1338,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,SOO
-98.096000000386596,46.138850000250144,1023,1916,OAKES GRAIN CO.-OAKES-ND,RAIL,RAIL & TRUCK,OAKES,ND,38,58474, ,0,46.13885,-98.096,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,"CP, BNSF, RRVW"
-93.796550000307008,42.018110000214079,1024,1917,WEST CENTRAL COOPERATIVE-BOONE-IA,RAIL,RAIL & TRUCK,BOONE,IA,19,50036, ,0,42.01811,-93.79655,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,UP
-74.021919999636793,40.811420000211115,1025,1918,CSX INTERMODAL-LITTLE FERRY-NJ,RAIL,RAIL & TRUCK,NORTH BERGEN,NJ,34,07047, ,0,40.81142,-74.02192,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-74.026119999984147,40.795249999805954,1026,1919,CSX INTERMODAL-NORTH BERGEN-NJ,RAIL,RAIL & TRUCK,NORTH BERGEN,NJ,34,07047, ,0,40.79525,-74.02612,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-100.148049999646943,48.680380000189054,1027,1920,OVERLY COOPERATIVE ELEVATOR-OVERLY-ND,RAIL,RAIL & TRUCK,OVERLY,ND,38,58384, ,0,48.68038,-100.14805,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CPRS
-93.802099999643133,43.099280000320398,1028,1921,FARMERS COOPERATIVE CO.-BRITT-IA,PORT,TRUCK - PORT - RAIL,BRITT,IA,19,50423, ,0,43.09928,-93.8021,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,SOO
-98.201270000424259,47.071520000033843,1029,1922,WIMBLEDON GRAIN CO.-ROGERS-ND,RAIL,RAIL & TRUCK,ROGERS,ND,38,58479,4106,0,47.07152,-98.20127,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,SOO
-80.898169999931014,35.27286000013185,1030,1923,CSX INTERMODAL-CHARLOTTE-NC,RAIL,RAIL & TRUCK,CHARLOTTE,NC,37,28208, ,0,35.27286,-80.89817,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-84.537390000068484,39.120770000234614,1031,1924,CSX INTERMODAL-CINCINNATI-OH,RAIL,RAIL & TRUCK,CINCINNATI,OH,39,45214, ,0,39.12077,-84.53739,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-95.85840000037787,36.264049999875311,1032,1925,SOUTH KANSAS AND OKLAHOMA RAILROAD-OWASSO-OK,RAIL,TRUCK - PORT - RAIL,OWASSO,OK,40,74055, ,0,36.26405,-95.8584,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-122.643940000172492,45.484000000162204,1033,1927,UP-PORTLAND-OR-5424 SE MC,RAIL,RAIL & TRUCK,PORTLAND,OR,41,97202, ,0,45.484,-122.64394,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-93.510459999597757,41.5270199999092,1034,1929,"GENERAL MILLS, INC.-CARLISLE-IA",RAIL,RAIL & TRUCK,CARLISLE,IA,19,50047, ,0,41.52702,-93.51046,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,UP
-83.536030000075229,41.630580000059858,1035,193,THE ANDERSONS-TOLEDO-OH,RAIL,RAIL & TRUCK,TOLEDO,OH,39,43609, ,0,41.63058,-83.53603,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,"NS,CSXT, GTW, AA"
-93.371409999551091,43.142829999830063,1036,1933,FARMERS COOPERATIVE ELEVATOR CO.-CLEAR LAKE-IA,RAIL,RAIL & TRUCK,CLEAR LAKE,IA,19,50428, ,0,43.14283,-93.37141,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,CPRS
-79.994209999908435,32.867580000149957,1037,1934,CSX INTERMODAL-CHARLESTON-NC,RAIL,RAIL & TRUCK,N. CHARLESTON,SC,45,29405, ,0,32.86758,-79.99421,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-90.193300000314764,41.827469999780732,1038,1935,PEAVEY GRAIN COS.-CLINTON-IA,RAIL,RAIL & TRUCK,CLINTON,IA,19,52732, ,0,41.82747,-90.1933,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,UP
-94.684940000074931,41.869769999925929,1039,1936,FARMERS COOPERATIVE-COON RAPIDS-IA,RAIL,RAIL & TRUCK,COON RAPIDS,IA,19,50058, ,0,41.86977,-94.68494,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,BNSF
-95.908870000374861,41.213389999992785,1040,1937,"CARGILL, INC.-COUNCIL BLUFFS-IA",RAIL,RAIL & TRUCK,COUNCIL BLUFFS,IA,19,51501, ,0,41.21339,-95.90887,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,"UP, IAIS"
-94.337259999706646,41.054679999834065,1041,1938,FARMERS COOPERATIVE-CRESTON-IA,RAIL,RAIL & TRUCK,CRESTON,IA,19,50801, ,0,41.05468,-94.33726,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,BNSF
-91.312630000048543,40.863519999938489,1042,1939,DANVILLE MILL AND SUPPLY-DANEVILLE-IA,RAIL,RAIL & TRUCK,DANVILLE,IA,19,52623, ,0,40.86352,-91.31263,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,BNSF
-81.689260000185669,41.503149999758776,1043,194,CLEVELAND-CUYAHOGA COUNTY PORT AUTHORITY-CLEVELAND,RAIL,RAIL & TRUCK,CLEVELAND,OH,39,44114,1786,0,41.50315,-81.68926,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,"CSXT, NS"
-93.584119999671131,41.595349999960334,1044,1940,ADM MILLING CO.-DES MOINES-IA,RAIL,RAIL & TRUCK,DES MOINES,IA,19,50305, ,0,41.59535,-93.58412,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,,"NS, UP"
-82.546240000005838,36.534380000151806,1045,1941,CSX INTERMODAL-KINGSPORT-TN,RAIL,RAIL & TRUCK,KINGSPORT,TN,47,37660, ,0,36.53438,-82.54624,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
-90.062969999731635,35.08505999969266,1046,1943,UP-MEMPHIS-TN,RAIL,RAIL & TRUCK,MEMPHIS,TN,47,38109, ,0,35.08506,-90.06297,GDT 2000 STREETS,2003-04-09T00:00:00.000Z,INDUS,, 
