cty_fips,county,gdp05_k
06037,"Los Angeles, CA",550158608
36061,"New York, NY",477521237
17031,"Cook, IL",337394405
48201,"Harris, TX",271828685
06059,"Orange, CA",201782572
04013,"Maricopa, AZ",184184658
48113,"Dallas, TX",178583029
06073,"San Diego, CA",176992285
53033,"King, WA",164783180
06085,"Santa Clara, CA",131566824
12086,"Miami-Dade, FL",123634364
13121,"Fulton, GA",123156469
25017,"Middlesex, MA",106212991
27053,"Hennepin, MN",105998572
11001,"District of Columbia, DC",99954650
32003,"Clark, NV",99284579
26125,"Oakland, MI",92950886
26163,"Wayne, MI",92469784
06075,"San Francisco, CA",91859756
25025,"Suffolk, MA",90898450
06001,"Alameda, CA",90705419
51919,"Fairfax, Fairfax City + Falls Church, VA*",86808278
39035,"Cuyahoga, OH",85897642
12011,"Broward, FL",85366121
09001,"Fairfield, CT",83832207
42101,"Philadelphia, PA",78482516
48439,"Tarrant, TX",77817390
06013,"Contra Costa, CA",77022406
18097,"Marion, IN",76946061
36059,"Nassau, NY",76403456
42003,"Allegheny, PA",74193165
06067,"Sacramento, CA",72924146
39049,"Franklin, OH",72369083
37119,"Mecklenburg, NC",72183895
17043,"DuPage, IL",71948599
24031,"Montgomery, MD",71849125
12095,"Orange, FL",70973545
36081,"Queens, NY",69344515
06071,"San Bernardino, CA",69328676
36103,"Suffolk, NY",69235252
29189,"St. Louis, MO",67515164
48029,"Bexar, TX",67451990
09003,"Hartford, CT",67116654
12057,"Hillsborough, FL",66862773
12099,"Palm Beach, FL",65249007
34003,"Bergen, NJ",64233775
42091,"Montgomery, PA",63954099
06065,"Riverside, CA",62729096
39061,"Hamilton, OH",62689125
36119,"Westchester, NY",61760929
36047,"Kings, NY",60144044
47157,"Shelby, TN",57057747
49035,"Salt Lake, UT",56840519
48453,"Travis, TX",56404170
06081,"San Mateo, CA",55533335
08031,"Denver, CO",55046778
55079,"Milwaukee, WI",52951088
12031,"Duval, FL",51479773
34013,"Essex, NJ",51413716
15003,"Honolulu, HI",51099307
34023,"Middlesex, NJ",50975626
17097,"Lake, IL",46924284
34027,"Morris, NJ",46699624
09009,"New Haven, CT",46343898
41051,"Multnomah, OR",46062420
47037,"Davidson, TN",46035234
06111,"Ventura, CA",44545459
24005,"Baltimore, MD",44541166
21111,"Jefferson, KY",44369721
10003,"New Castle, DE",44146038
37183,"Wake, NC",43439846
36029,"Erie, NY",43335180
12103,"Pinellas, FL",42358504
40109,"Oklahoma, OK",41552385
01073,"Jefferson, AL",41130878
24510,"Baltimore (Independent City), MD",40754519
36055,"Monroe, NY",40374369
25021,"Norfolk, MA",40335651
29095,"Jackson, MO",39458273
13067,"Cobb, GA",39151261
34017,"Hudson, NJ",36903918
24033,"Prince George's, MD",36881541
06029,"Kern, CA",36720929
13135,"Gwinnett, GA",35716636
06019,"Fresno, CA",35484674
04019,"Pima, AZ",35309455
27123,"Ramsey, MN",35102552
26099,"Macomb, MI",34839543
34039,"Union, NJ",34496740
40143,"Tulsa, OK",34233726
25009,"Essex, MA",34226510
42029,"Chester, PA",33968336
08005,"Arapahoe, CO",33634428
13089,"DeKalb, GA",33555435
25027,"Worcester, MA",32896364
31055,"Douglas, NE",32884841
26081,"Kent, MI",32791807
24003,"Anne Arundel, MD",32484950
36005,"Bronx, NY",32261111
19153,"Polk, IA",31968056
35001,"Bernalillo, NM",31883536
20091,"Johnson, KS",31517908
44007,"Providence, RI",31498324
34025,"Monmouth, NJ",31438369
22033,"East Baton Rouge, LA",30573230
53053,"Pierce, WA",30392312
55025,"Dane, WI",30092066
37081,"Guilford, NC",28744128
29510,"St. Louis (Independent City), MO",28622360
48085,"Collin, TX",28182946
34035,"Somerset, NJ",28168765
51013,"Arlington, VA",28028573
42017,"Bucks, PA",27889376
39113,"Montgomery, OH",27582152
41067,"Washington, OR",26980442
53061,"Snohomish, WA",26948364
34021,"Mercer, NJ",26436766
39153,"Summit, OH",25979110
08041,"El Paso, CO",25628582
42045,"Delaware, PA",25332935
06077,"San Joaquin, CA",25174856
05119,"Pulaski, AR",25161647
36067,"Onondaga, NY",24792673
