cty_fips,st,county,pct_Low_birthweight,pct_smokers,pct_Obese,Teen_Births ,pct_Uninsured_adults
01001,Alabama,Autauga,8.83,28.14,30,599,14
01003,Alabama,Baldwin,8.77,23.09,24.5,1667,20.9
01005,Alabama,Barbour,11,22.68,36.4,502,15.1
01007,Alabama,Bibb,9.11,,31.7,295,17.7
01009,Alabama,Blount,7.26,23.42,31.5,654,20.8
01011,Alabama,Bullock,13.28,,37.3,224,17
01013,Alabama,Butler,10.66,27.51,35.5,362,14.5
01015,Alabama,Calhoun,9.35,26.78,33.2,1599,13.3
01017,Alabama,Chambers,10.04,17.48,35.7,566,13.4
01019,Alabama,Cherokee,8.72,27.31,30.7,327,18.3
01021,Alabama,Chilton,9.87,26.92,33.9,536,18.2
01023,Alabama,Choctaw,11.49,17.16,36.1,207,17.7
01025,Alabama,Clarke,10.5,20.13,35.1,380,14.3
01027,Alabama,Clay,9.28,23.54,31.6,181,18.2
01029,Alabama,Cleburne,9,,29.3,215,17.8
01031,Alabama,Coffee,9.13,23.53,32.5,579,17.2
01033,Alabama,Colbert,11.21,29.54,35.7,635,14.9
01035,Alabama,Conecuh,12.19,12.59,32.6,188,15.7
01037,Alabama,Coosa,11.43,,34.5,133,18.5
01039,Alabama,Covington,8.8,28.07,31.6,583,16.1
01041,Alabama,Crenshaw,9.32,,34.6,186,18.6
01043,Alabama,Cullman,8.69,26.53,29.4,963,18.9
01045,Alabama,Dale,8.52,27.81,33.1,677,15.1
01047,Alabama,Dallas,11.92,19.74,41.2,1032,10.8
01049,Alabama,DeKalb,9.22,19.68,31.7,1029,21.5
01051,Alabama,Elmore,9.14,21.69,28.5,841,13.9
01053,Alabama,Escambia,10.97,26.02,35.2,601,16.5
01055,Alabama,Etowah,8.98,27.68,32.5,1418,15.6
01057,Alabama,Fayette,8.76,21.86,33,254,14
01059,Alabama,Franklin,8.35,,29.8,491,20
01061,Alabama,Geneva,8.31,,32.3,315,18.7
01063,Alabama,Greene,13.94,,43.5,178,15.1
01065,Alabama,Hale,11.57,,38.6,260,14.6
01067,Alabama,Henry,10.35,,33.3,202,19.2
01069,Alabama,Houston,8.36,21.4,33,1285,14.1
01071,Alabama,Jackson,9.25,35.48,30.8,654,15.7
01073,Alabama,Jefferson,11.18,23.12,31.1,8007,13.1
01075,Alabama,Lamar,8.69,22.02,29.8,199,17
01077,Alabama,Lauderdale,10.22,18.75,30.1,855,17.5
01079,Alabama,Lawrence,8.88,26.84,32.1,438,16.7
01081,Alabama,Lee,8.12,23.83,30.2,1146,22.7
01083,Alabama,Limestone,9.08,19.36,27.7,878,16.2
01085,Alabama,Lowndes,12.42,,40.3,277,15.4
01087,Alabama,Macon,11.52,13.93,40.2,336,13.7
01089,Alabama,Madison,9.85,20.67,30.9,2696,16.3
01091,Alabama,Marengo,11.84,14.97,37,321,14.2
01093,Alabama,Marion,8.52,,29.3,413,17.3
01095,Alabama,Marshall,8.49,29.42,27.4,1627,18
01097,Alabama,Mobile,11.53,24.74,29.9,6420,14.7
01099,Alabama,Monroe,12.68,21.13,36.2,398,14.5
01101,Alabama,Montgomery,11.08,19,33,3425,12.5
01103,Alabama,Morgan,9.1,26.57,35,1468,17.6
01105,Alabama,Perry,14.17,,40.2,203,12.8
01107,Alabama,Pickens,10.98,15.62,35.3,298,16.3
01109,Alabama,Pike,10.34,17.71,36.7,453,16.4
01111,Alabama,Randolph,10.43,24.8,31.7,371,17.6
01113,Alabama,Russell,10.71,,34.8,803,14.6
01115,Alabama,St. Clair,9.05,29.56,33.9,834,16.9
01117,Alabama,Shelby,7.97,20.34,28.1,1045,13.3
01119,Alabama,Sumter,12.84,,40,196,15.8
01121,Alabama,Talladega,11.95,24.72,32.8,1297,12.3
01123,Alabama,Tallapoosa,10.85,33.3,33,585,13.6
01125,Alabama,Tuscaloosa,11.34,22.15,32.2,1906,15.4
01127,Alabama,Walker,9.12,30.11,32.4,955,13.4
01129,Alabama,Washington,9.94,,34.6,240,17.6
01131,Alabama,Wilcox,11.3,,39.4,271,14.1
01133,Alabama,Winston,9.4,27.25,28.3,324,15.1
02013,Alaska,Aleutians East,,,28.2,,38.2
02016,Alaska,Aleutians West,,35.16,28.9,,30.6
02020,Alaska,Anchorage,6.33,19.8,25.9,2935,16
02050,Alaska,Bethel,5.86,34.45,34.4,410,12.1
02060,Alaska,Bristol Bay,,,34.2,,21.3
02068,Alaska,Denali,,23.2,28.4,,21.7
02070,Alaska,Dillingham,5.72,38.63,37.3,98,15.9
02090,Alaska,Fairbanks North Star,5.58,21.35,26.1,929,18
02100,Alaska,Haines,,19.89,28.2,,25.1
02110,Alaska,Juneau,5.18,18.94,26.7,259,14.7
02122,Alaska,Kenai Peninsula,4.79,22.53,29.4,440,24.7
02130,Alaska,Ketchikan Gateway,6.11,24.98,33.1,140,16.3
02150,Alaska,Kodiak Island,6.4,21.97,26.6,113,23.6
02164,Alaska,Lake and Peninsula,,,34,31,23.7
02170,Alaska,Matanuska-Susitna,6.15,29.15,28.7,645,21.2
02180,Alaska,Nome,6.27,47.62,31.4,270,13.4
02185,Alaska,North Slope,6.03,45.24,37,227,14.3
02188,Alaska,Northwest Arctic,5.96,47.07,32.2,235,11.5
02201,Alaska,Prince of Wales-Outer Ketchikan,,37.31,34.2,76,20.3
02220,Alaska,Sitka,3.86,19.05,28.7,67,19.2
02232,Alaska,Skagway-Hoonah-Angoon,,24.25,34.3,,24.9
02240,Alaska,Southeast Fairbanks,4.23,25.7,32.7,63,26.4
02261,Alaska,Valdez-Cordova,6.18,26.2,31.8,83,23.6
02270,Alaska,Wade Hampton,6.48,39.74,29.9,302,10.2
02280,Alaska,Wrangell-Petersburg,4.2,24.45,25.4,40,22.2
02282,Alaska,Yakutat,,17.34,28.7,,22.9
02290,Alaska,Yukon-Koyukuk,3.99,44.85,29.4,124,22.1
04001,Arizona,Apache,6.99,16.18,31.5,1446,9.1
04003,Arizona,Cochise,7.67,20.99,22.4,1767,17.9
04005,Arizona,Coconino,8.01,16.02,21.5,1751,18.3
04007,Arizona,Gila,7.54,24.05,27.1,980,15.9
04009,Arizona,Graham,7.04,19,28.7,585,15.8
04011,Arizona,Greenlee,6.44,,31.6,127,14.1
04012,Arizona,La Paz,5.34,14.79,28,306,21.8
04013,Arizona,Maricopa,6.88,19.42,22.5,49726,21.3
04015,Arizona,Mohave,6.7,30.39,26.2,2421,21.8
04017,Arizona,Navajo,7.95,18.56,26.1,2111,13.8
04019,Arizona,Pima,7.48,17.61,21.2,11878,19.4
04021,Arizona,Pinal,7.25,19.97,28.1,3576,21.5
04023,Arizona,Santa Cruz,7.15,18.57,21.6,812,24
04025,Arizona,Yavapai,7.16,20.33,17.7,1975,26.4
04027,Arizona,Yuma,5.8,15.71,25.7,3517,19.7
05001,Arkansas,Arkansas,11.05,26.19,33.3,269,18.2
05003,Arkansas,Ashley,9.38,31.76,34.6,377,17.8
05005,Arkansas,Baxter,6.79,24.21,26.1,384,22.7
05007,Arkansas,Benton,6.58,18.87,27,2272,20.5
05009,Arkansas,Boone,7.31,22.75,27.8,453,19.9
05011,Arkansas,Bradley,9.24,21.43,30.7,198,25.7
05013,Arkansas,Calhoun,13.51,,30.7,66,23.5
05015,Arkansas,Carroll,6.17,30,25.2,397,35.6
05017,Arkansas,Chicot,10.3,28.86,35.2,236,19.4
05019,Arkansas,Clark,7.94,15.85,31.5,282,23.4
05021,Arkansas,Clay,7.81,29.75,30,240,18.4
05023,Arkansas,Cleburne,10.34,21.17,27.9,283,25.2
05025,Arkansas,Cleveland,10.47,26.58,31.5,113,23.7
05027,Arkansas,Columbia,9.47,21.31,31,359,18
05029,Arkansas,Conway,7.19,31.12,28.8,313,18.4
05031,Arkansas,Craighead,7.98,22.75,29.3,1157,19.7
05033,Arkansas,Crawford,7.77,25.91,29,849,18.2
05035,Arkansas,Crittenden,12.95,26.11,34.2,1283,15
05037,Arkansas,Cross,9.63,34.31,30.9,336,20
05039,Arkansas,Dallas,14.06,18.64,32.9,125,17.9
05041,Arkansas,Desha,13.82,21.95,33.6,354,19.5
05043,Arkansas,Drew,10.08,25.94,29.9,281,19.2
05045,Arkansas,Faulkner,7.17,18.63,29.1,1056,20.4
05047,Arkansas,Franklin,7.34,27.27,32.2,259,19.5
05049,Arkansas,Fulton,7.7,28.94,28.5,137,25.8
05051,Arkansas,Garland,8.67,26.98,26.6,1213,22.2
05053,Arkansas,Grant,8.29,32.31,30.5,189,22.7
05055,Arkansas,Greene,7.82,28.49,29.7,639,17.4
05057,Arkansas,Hempstead,10.5,26.19,32.2,437,25
05059,Arkansas,Hot Spring,8.14,21.81,31.6,446,19.2
05061,Arkansas,Howard,9.05,26.17,29.4,265,23.6
05063,Arkansas,Independence,9.24,26.22,27.9,521,17.7
05065,Arkansas,Izard,8.45,23.58,26.7,167,23.6
05067,Arkansas,Jackson,11.03,22.72,31.1,301,15.9
05069,Arkansas,Jefferson,12.27,24.44,34.9,1619,15
05071,Arkansas,Johnson,6.54,25.52,28.2,430,25.5
05073,Arkansas,Lafayette,10.71,20.14,30.6,133,23.5
05075,Arkansas,Lawrence,7.77,31.64,29.6,238,17
05077,Arkansas,Lee,11.24,17.4,33.4,245,15.4
05079,Arkansas,Lincoln,10.56,25.27,32.2,190,20.5
05081,Arkansas,Little River,10.35,27.61,32,150,20
05083,Arkansas,Logan,8.37,34.45,27.7,356,17.8
05085,Arkansas,Lonoke,7.63,28.92,32.1,707,17.6
05087,Arkansas,Madison,7.07,34.11,27.2,179,27.3
05089,Arkansas,Marion,6.86,26.42,28.8,162,23.3
05091,Arkansas,Miller,10.09,26.4,34.2,722,18.5
05093,Arkansas,Mississippi,11.55,27.3,32.5,1290,14
05095,Arkansas,Monroe,11.79,,31.5,167,18.7
05097,Arkansas,Montgomery,6.76,16,27.1,107,29.5
05099,Arkansas,Nevada,11.28,,30,181,17.5
05101,Arkansas,Newton,6.49,33.14,30.6,95,25.5
05103,Arkansas,Ouachita,12.37,19.64,32,494,16
05105,Arkansas,Perry,7.92,27.24,28.1,116,23.3
05107,Arkansas,Phillips,12.69,20.24,35.8,760,12.4
05109,Arkansas,Pike,8.08,,28.9,144,29.4
05111,Arkansas,Poinsett,9.28,36.67,33.4,451,16.6
05113,Arkansas,Polk,7.69,25.06,28.6,341,24.3
05115,Arkansas,Pope,7,25.75,29.6,786,18.4
05117,Arkansas,Prairie,9.57,24.26,29.7,111,26.7
05119,Arkansas,Pulaski,10.18,20.03,27,4968,16.5
05121,Arkansas,Randolph,8.32,28.46,28.4,208,18.6
05123,Arkansas,St. Francis,12.37,26.42,32.4,662,15.2
05125,Arkansas,Saline,8.22,24.65,27,788,16.9
05127,Arkansas,Scott,7.59,28.83,29.9,197,23.4
05129,Arkansas,Searcy,7.81,19.83,29.1,85,24.4
05131,Arkansas,Sebastian,7.59,20.46,27.8,1839,20.1
05133,Arkansas,Sevier,8.92,26.64,30.5,321,31.2
05135,Arkansas,Sharp,8.2,33.83,26.2,229,21.1
05137,Arkansas,Stone,8.52,25.67,28.5,134,28.9
05139,Arkansas,Union,10.2,25.92,28.7,732,16
05141,Arkansas,Van Buren,8.3,30.41,27.8,224,25.7
05143,Arkansas,Washington,6.88,21.74,25.2,2522,26
05145,Arkansas,White,9.06,20.14,28,1003,20
05147,Arkansas,Woodruff,10.73,26.06,30.9,159,21.8
05149,Arkansas,Yell,8.62,26.69,31.9,413,29.4
06001,California,Alameda,7.02,13.43,19.3,9870,15.7
06003,California,Alpine,,,23.9,,19.6
06005,California,Amador,4.58,,26.1,188,15.2
06007,California,Butte,5.7,18.8,25.1,1855,16.3
06009,California,Calaveras,5.99,,22.7,241,18.9
06011,California,Colusa,4.1,,24.2,304,25.8
06013,California,Contra Costa,6.61,13.97,22.2,6122,15.8
06015,California,Del Norte,5.19,,26.8,361,15.2
06017,California,El Dorado,6.26,14.42,19.9,900,16.6
06019,California,Fresno,6.86,14.04,26.4,15397,17.5
06021,California,Glenn,5.01,,24.6,363,23
06023,California,Humboldt,5.81,17.81,23.7,1029,17.8
06025,California,Imperial,5.63,10.28,25.4,3031,21.7
06027,California,Inyo,7.01,,23.1,169,20
06029,California,Kern,6.83,20.42,29.4,13610,16.4
06031,California,Kings,6.27,11.32,26.2,2450,19.6
06033,California,Lake,6.32,21.69,23.7,643,17.2
06035,California,Lassen,6.77,,24.9,238,14.5
06037,California,Los Angeles,6.94,15.4,20.4,103654,23.4
06039,California,Madera,6.09,14.17,23.6,2428,24.4
06041,California,Marin,6.16,12.49,17.1,545,16.6
06043,California,Mariposa,5.94,,23.2,107,19.8
06045,California,Mendocino,5.72,,20.4,916,20.1
06047,California,Merced,6.2,14.36,29.5,4152,15.9
06049,California,Modoc,5.58,,22.4,73,21.5
06051,California,Mono,7.93,,22.2,87,28.9
06053,California,Monterey,5.96,13.74,21.8,5978,23.5
06055,California,Napa,5.72,7.69,20.8,887,21.1
06057,California,Nevada,6.08,11.92,20.5,440,19.4
06059,California,Orange,6.04,13.71,18.5,22562,21.5
06061,California,Placer,5.67,13.02,17.6,1352,12.6
06063,California,Plumas,6.26,,26,118,19.2
06065,California,Riverside,6.3,15.57,24.5,22844,26.8
06067,California,Sacramento,6.77,16.34,25,13161,16.2
06069,California,San Benito,5.27,4.62,22.9,594,18.1
06071,California,San Bernardino,6.88,17.09,27.1,27019,23.2
06073,California,San Diego,6.29,14.38,22.2,26630,21.6
06075,California,San Francisco,6.96,15.21,16.1,2505,18.3
06077,California,San Joaquin,6.68,16.93,29.2,9243,16.2
06079,California,San Luis Obispo,5.88,11.41,21.5,1497,21.1
06081,California,San Mateo,6.43,15.27,16.9,3513,16.2
06083,California,Santa Barbara,6.34,12.7,22.2,4404,25.4
06085,California,Santa Clara,6.4,10.08,19,10624,15.3
06087,California,Santa Cruz,5.39,10.95,17.8,2255,22.1
06089,California,Shasta,6.07,22.82,25.3,1794,14.4
06091,California,Sierra,,,24,,25.7
06093,California,Siskiyou,7.23,16.81,25.5,414,18.6
06095,California,Solano,6.98,16.12,25.1,3615,15.7
06097,California,Sonoma,5.47,16.06,19.8,3060,20.1
06099,California,Stanislaus,6.35,17.32,28,6815,16.7
06101,California,Sutter,5.81,,24.5,1042,20
06103,California,Tehama,5.54,,25.5,786,19.3
06105,California,Trinity,5.79,,23.2,84,20.3
06107,California,Tulare,5.97,19.4,28.2,8347,18.8
06109,California,Tuolumne,5.16,23.43,22.8,296,15.7
06111,California,Ventura,6.35,16.15,23.1,7350,17.9
06113,California,Yolo,5.41,8.95,25.4,1440,20.6
06115,California,Yuba,6.83,,27.4,1194,16.9
08001,Colorado,Adams,8.84,22.47,24.3,5665,16
08003,Colorado,Alamosa,11.85,15.16,19.2,268,17
08005,Colorado,Arapahoe,9.05,18.77,19.5,4834,16.8
08007,Colorado,Archuleta,9.49,21.42,16.6,99,25.3
08009,Colorado,Baca,12.09,,23.8,33,29.6
08011,Colorado,Bent,12.27,,21.7,92,17.7
08013,Colorado,Boulder,7.64,13.4,12.5,1748,20.4
08014,Colorado,Broomfield,8.22,14.99,18.7,147,13.5
08015,Colorado,Chaffee,9.65,18.17,15.5,136,22.3
08017,Colorado,Cheyenne,,,18.3,,28.4
08019,Colorado,Clear Creek,12.09,,20.4,30,18
08021,Colorado,Conejos,8.58,,16.6,119,21.8
08023,Colorado,Costilla,11.83,,18.4,54,23.8
08025,Colorado,Crowley,9.93,,19.6,52,15
08027,Colorado,Custer,12.9,,16.8,24,34.6
08029,Colorado,Delta,7.85,22.09,19.7,369,23.3
