cbsa_fips,cbsa,city_fips,city,pop_1790,pop_1800,pop_1810,pop_1820,pop_1830,pop_1840,pop_1850,pop_1860,pop_1870,pop_1880,pop_1890,pop_1900,pop_1910,pop_1920,pop_1930,pop_1940,pop_1950,pop_1960,pop_1970,pop_1980,pop_1990,pop_2000,pop_2010
10180,"Abilene, TX",4801000,Abilene city,0,0,0,0,0,0,0,0,0,0,3194,3411,9204,10274,23175,26612,45570,90368,89653,98315,106707,115930,117063
10420,"Akron, OH",3901000,Akron city,0,0,0,0,0,1664,3266,3477,10006,16512,27601,42728,69067,208435,255040,244791,274605,290351,275425,237177,223019,217074,199110
10500,"Albany, GA",1301052,Albany city,0,0,0,0,0,0,0,1618,2101,3216,4008,4606,8190,11555,14507,19055,31155,55890,72623,74425,78122,76939,77434
10540,"Albany, OR",4101000,Albany city,0,0,0,0,0,0,0,0,1292,1867,3079,3149,4275,4840,5325,5654,10115,12926,18181,26511,29462,40852,50158
10580,"Albany-Schenectady-Troy, NY",3601000,Albany city,3498,5349,10762,12630,24209,33721,50763,62367,69422,90758,94923,94151,101253,113344,127412,130577,134995,129726,115781,101727,101082,95658,97856
10740,"Albuquerque, NM",3502000,Albuquerque city,0,0,0,0,0,0,0,0,0,2315,3785,6238,11020,15157,26570,35449,96815,201189,244501,332920,384736,448607,545852
10780,"Alexandria, LA",2200975,Alexandria city,0,0,0,0,0,814,672,1461,1218,1800,2861,5648,11213,17510,23025,27066,34913,40279,41811,51648,49188,46342,47723
10900,"Allentown-Bethlehem-Easton, PA-NJ",4202000,Allentown city,486,573,710,1132,1757,2500,3779,8025,13884,18063,25288,35416,51913,73502,92563,96904,106756,108347,109871,103758,105090,106632,118032
11020,"Altoona, PA",4202184,Altoona city,0,0,0,0,0,0,0,3591,10610,19710,30337,38973,52127,60331,82054,80214,77177,69407,63115,57078,51881,49523,46320
11100,"Amarillo, TX",4803000,Amarillo city,0,0,0,0,0,0,0,0,0,0,500,1442,9957,15494,43132,51686,74246,137969,127010,149230,157615,173627,190695
11180,"Ames, IA",1901855,Ames city,0,0,0,0,0,0,0,0,636,1153,1276,2422,4223,6270,10261,12555,22898,27003,39505,45775,47198,50731,58965
11260,"Anchorage, AK",203000,Anchorage municipality,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,2300,3495,11254,44237,48081,174431,226338,260283,291826
11460,"Ann Arbor, MI",2603000,Ann Arbor city,0,0,0,0,0,0,0,5097,7363,8061,9431,14509,14817,19516,26944,29815,48251,67340,100035,107969,109592,114024,113934
11500,"Anniston-Oxford-Jacksonville, AL",101852,Anniston city,0,0,0,0,0,0,0,0,0,942,9998,9695,12794,17734,22345,25523,31066,33320,31533,29135,26623,24276,23106
11540,"Appleton, WI",5502375,Appleton city,0,0,0,0,0,0,0,2345,2345,4518,8005,11869,15085,16773,19561,25267,34010,48411,56377,58913,65695,70087,72623
11700,"Asheville, NC",3702140,Asheville city,0,38,0,0,0,0,0,502,1400,2616,10235,14694,18762,28504,50193,51310,53000,60186,57929,54022,61607,68889,83393
12020,"Athens-Clarke County, GA",1303440,Athens-Clarke County (balance),0,0,273,0,0,0,1661,3848,4251,6099,8639,10245,14913,16748,18192,20650,28180,31355,44342,42549,45734,100266,115452
12060,"Atlanta-Sandy Springs-Roswell, GA",1304000,Atlanta city,0,0,0,0,0,0,2572,9554,21789,37409,65533,89872,154839,200616,270366,302288,331314,487455,495039,425022,394017,416474,420003
12100,"Atlantic City-Hammonton, NJ",3402080,Atlantic City city,0,0,0,0,0,0,0,687,1043,5477,13055,27838,46150,50707,66198,64094,61657,59544,47859,40199,37986,40517,39558
12220,"Auburn-Opelika, AL",103076,Auburn city,0,0,0,0,0,0,0,0,1018,1161,1440,1447,1408,2143,2800,4652,12939,16261,22767,28471,33830,42987,53380
12260,"Augusta-Richmond County, GA-SC",1304204,Augusta-Richmond County (balance),0,2215,2476,0,6710,6403,9448,12493,15389,21891,33300,39441,41040,52548,60342,65919,71508,70626,59864,47532,44639,195182,195844
12420,"Austin-Round Rock, TX",4805000,Austin city,0,0,0,0,0,0,629,3494,4428,11013,14575,22258,29860,34876,53120,87930,132459,186545,253539,345890,465622,656562,790390
12540,"Bakersfield, CA",603526,Bakersfield city,0,0,0,0,0,0,0,0,0,801,2626,4836,12727,18638,26015,29252,34784,56848,69515,105611,174820,247057,347483
