PROGRAM_LABEL,NAME,CODE,TOTAL_UNITS
MR,AL AUTAUGA COUNTY,1001,-1
VO,AL AUTAUGA COUNTY,1001,-1
MF/Other,AL AUTAUGA COUNTY,1001,0
S8 NC/SR,AL AUTAUGA COUNTY,1001,90
S236,AL AUTAUGA COUNTY,1001,0
All HUD,AL AUTAUGA COUNTY,1001,-1
PH,AL AUTAUGA COUNTY,1001,106
VO,AL BALDWIN COUNTY,1003,-1
MR,AL BALDWIN COUNTY,1003,-1
S236,AL BALDWIN COUNTY,1003,0
MF/Other,AL BALDWIN COUNTY,1003,71
All HUD,AL BALDWIN COUNTY,1003,-1
S8 NC/SR,AL BALDWIN COUNTY,1003,272
PH,AL BALDWIN COUNTY,1003,196
MR,AL BARBOUR COUNTY,1005,-1
VO,AL BARBOUR COUNTY,1005,-1
All HUD,AL BARBOUR COUNTY,1005,-1
S8 NC/SR,AL BARBOUR COUNTY,1005,168
S236,AL BARBOUR COUNTY,1005,0
MF/Other,AL BARBOUR COUNTY,1005,0
PH,AL BARBOUR COUNTY,1005,417
MR,AL BIBB COUNTY,1007,-1
VO,AL BIBB COUNTY,1007,-1
S8 NC/SR,AL BIBB COUNTY,1007,50
S236,AL BIBB COUNTY,1007,0
MF/Other,AL BIBB COUNTY,1007,0
All HUD,AL BIBB COUNTY,1007,-1
PH,AL BIBB COUNTY,1007,70
MR,AL BLOUNT COUNTY,1009,-1
VO,AL BLOUNT COUNTY,1009,-1
MF/Other,AL BLOUNT COUNTY,1009,0
S8 NC/SR,AL BLOUNT COUNTY,1009,83
All HUD,AL BLOUNT COUNTY,1009,-1
S236,AL BLOUNT COUNTY,1009,0
PH,AL BLOUNT COUNTY,1009,283
MR,AL BULLOCK COUNTY,1011,-1
VO,AL BULLOCK COUNTY,1011,-1
S8 NC/SR,AL BULLOCK COUNTY,1011,0
S236,AL BULLOCK COUNTY,1011,0
All HUD,AL BULLOCK COUNTY,1011,-1
MF/Other,AL BULLOCK COUNTY,1011,0
PH,AL BULLOCK COUNTY,1011,250
MR,AL BUTLER COUNTY,1013,-1
VO,AL BUTLER COUNTY,1013,-1
All HUD,AL BUTLER COUNTY,1013,-1
S8 NC/SR,AL BUTLER COUNTY,1013,30
MF/Other,AL BUTLER COUNTY,1013,0
S236,AL BUTLER COUNTY,1013,0
PH,AL BUTLER COUNTY,1013,300
VO,AL CALHOUN COUNTY,1015,-1
MR,AL CALHOUN COUNTY,1015,-1
MF/Other,AL CALHOUN COUNTY,1015,247
S236,AL CALHOUN COUNTY,1015,0
All HUD,AL CALHOUN COUNTY,1015,-1
S8 NC/SR,AL CALHOUN COUNTY,1015,340
PH,AL CALHOUN COUNTY,1015,1192
MR,AL CHAMBERS COUNTY,1017,-1
VO,AL CHAMBERS COUNTY,1017,-1
S236,AL CHAMBERS COUNTY,1017,0
MF/Other,AL CHAMBERS COUNTY,1017,0
All HUD,AL CHAMBERS COUNTY,1017,-1
S8 NC/SR,AL CHAMBERS COUNTY,1017,50
PH,AL CHAMBERS COUNTY,1017,516
MR,AL CHEROKEE COUNTY,1019,-1
VO,AL CHEROKEE COUNTY,1019,-1
S8 NC/SR,AL CHEROKEE COUNTY,1019,50
S236,AL CHEROKEE COUNTY,1019,0
MF/Other,AL CHEROKEE COUNTY,1019,0
All HUD,AL CHEROKEE COUNTY,1019,-1
PH,AL CHEROKEE COUNTY,1019,160
VO,AL CHILTON COUNTY,1021,-1
MR,AL CHILTON COUNTY,1021,-1
S8 NC/SR,AL CHILTON COUNTY,1021,11
All HUD,AL CHILTON COUNTY,1021,-1
S236,AL CHILTON COUNTY,1021,0
MF/Other,AL CHILTON COUNTY,1021,0
PH,AL CHILTON COUNTY,1021,178
MR,AL CHOCTAW COUNTY,1023,-1
VO,AL CHOCTAW COUNTY,1023,-1
