cty_fips,county,year,labor_force,employed,unemployed
1001,"Autauga County, AL",2005,"23,949","23,037",912
1003,"Baldwin County, AL",2005,"76,804","73,743","3,061"
1005,"Barbour County, AL",2005,"10,760","10,136",624
1007,"Bibb County, AL",2005,"8,861","8,463",398
1009,"Blount County, AL",2005,"26,446","25,491",955
1011,"Bullock County, AL",2005,"3,747","3,391",356
1013,"Butler County, AL",2005,"9,139","8,547",592
1015,"Calhoun County, AL",2005,"53,955","51,524","2,431"
1017,"Chambers County, AL",2005,"16,353","15,413",940
1019,"Cherokee County, AL",2005,"12,044","11,519",525
1021,"Chilton County, AL",2005,"19,674","18,901",773
1023,"Choctaw County, AL",2005,"5,300","4,951",349
1025,"Clarke County, AL",2005,"10,126","9,478",648
1027,"Clay County, AL",2005,"5,950","5,655",295
1029,"Cleburne County, AL",2005,"6,659","6,396",263
1031,"Coffee County, AL",2005,"20,104","19,320",784
1033,"Colbert County, AL",2005,"24,960","23,610","1,350"
1035,"Conecuh County, AL",2005,"5,188","4,866",322
1037,"Coosa County, AL",2005,"4,892","4,645",247
1039,"Covington County, AL",2005,"16,933","16,167",766
1041,"Crenshaw County, AL",2005,"6,186","5,882",304
1043,"Cullman County, AL",2005,"38,494","36,946","1,548"
1045,"Dale County, AL",2005,"20,168","19,269",899
1047,"Dallas County, AL",2005,"16,007","14,636","1,371"
1049,"DeKalb County, AL",2005,"31,239","29,648","1,591"
1051,"Elmore County, AL",2005,"34,448","33,157","1,291"
1053,"Escambia County, AL",2005,"14,329","13,530",799
1055,"Etowah County, AL",2005,"46,762","44,542","2,220"
1057,"Fayette County, AL",2005,"7,886","7,533",353
1059,"Franklin County, AL",2005,"13,789","13,059",730
1061,"Geneva County, AL",2005,"11,628","11,174",454
1063,"Greene County, AL",2005,"3,456","3,225",231
1065,"Hale County, AL",2005,"7,053","6,669",384
1067,"Henry County, AL",2005,"7,469","7,146",323
1069,"Houston County, AL",2005,"46,102","44,334","1,768"
1071,"Jackson County, AL",2005,"26,776","25,427","1,349"
1073,"Jefferson County, AL",2005,"317,359","303,260","14,099"
1075,"Lamar County, AL",2005,"6,132","5,788",344
1077,"Lauderdale County, AL",2005,"42,063","39,905","2,158"
1079,"Lawrence County, AL",2005,"15,979","15,087",892
1081,"Lee County, AL",2005,"63,530","61,161","2,369"
1083,"Limestone County, AL",2005,"35,123","33,561","1,562"
1085,"Lowndes County, AL",2005,"4,952","4,554",398
1087,"Macon County, AL",2005,"8,705","8,191",514
1089,"Madison County, AL",2005,"158,767","153,075","5,692"
1091,"Marengo County, AL",2005,"8,603","8,109",494
1093,"Marion County, AL",2005,"13,536","12,929",607
1095,"Marshall County, AL",2005,"41,954","40,314","1,640"
1097,"Mobile County, AL",2005,"180,384","171,439","8,945"
1099,"Monroe County, AL",2005,"9,587","8,996",591
1101,"Montgomery County, AL",2005,"105,148","100,336","4,812"
1103,"Morgan County, AL",2005,"55,700","53,187","2,513"
1105,"Perry County, AL",2005,"3,537","3,215",322
1107,"Pickens County, AL",2005,"7,960","7,527",433
1109,"Pike County, AL",2005,"15,013","14,401",612
1111,"Randolph County, AL",2005,"9,823","9,218",605
1113,"Russell County, AL",2005,"21,501","20,203","1,298"
