cbsa_fips,cbsa,gmp2007,gmp2007_mfg,emp2007,emp2007_mfg,lq_gmp,lq_emp
0,US,16607507253,2139921438,142754.66,13831.225,1,1
10180,"Abilene, TX",5829160.88,456610.3861,74.96,3.279,0.61,0.45
10420,"Akron, OH",32815603.06,6293771.159,344.063,46.54,1.49,1.4
10500,"Albany, GA",5541663.268,861352.7565,68.064,6.744,1.21,1.02
10580,"Albany-Schenectady-Troy, NY",45326954.33,3675425.98,451.082,23.078,0.63,0.53
10740,"Albuquerque, NM",42941900.72,3947817.675,407.064,23.664,0.71,0.6
10780,"Alexandria, LA",5737849.81,608824.9224,67.628,4.575,0.82,0.7
10900,"Allentown-Bethlehem-Easton, PA-NJ",34782737.63,5164667.548,349.667,39.974,1.15,1.18
11020,"Altoona, PA",4982031.845,799488.4927,63.788,7.637,1.25,1.24
11100,"Amarillo, TX",10547082.22,1526341.797,116.046,12.769,1.12,1.14
11180,"Ames, IA",4201045.784,717624.4876,49.189,4.855,1.33,1.02
11260,"Anchorage, AK",30174233.52,269615.683,182.586,2.289,0.07,0.13
11300,"Anderson, IN",3450973.894,786730.0775,42.895,4.368,1.77,1.05
11340,"Anderson, SC",4892330.141,1400859.48,67.097,12.687,2.22,1.95
11460,"Ann Arbor, MI",22708334.55,3159530.087,204.784,19.023,1.08,0.96
11500,"Anniston-Oxford, AL",4470564.824,749994.5997,54.943,7.373,1.3,1.39
11540,"Appleton, WI",11542287.33,2631865.91,123.286,22.831,1.77,1.91
11700,"Asheville, NC",15438250.97,2674331.745,181.633,20.941,1.34,1.19
12020,"Athens-Clarke County, GA",7316472.997,1385424.366,93.119,9.481,1.47,1.05
12060,"Atlanta-Sandy Springs-Marietta, GA",330096958.7,26342441.52,2484.179,174.986,0.62,0.73
12100,"Atlantic City, NJ",15468167.79,354383.1926,152.411,3.835,0.18,0.26
12220,"Auburn-Opelika, AL",4048007.496,742821.2822,56.071,6.838,1.42,1.26
12260,"Augusta-Richmond County, GA-SC",20568046.83,3295149.323,234.418,23.816,1.24,1.05
12420,"Austin-Round Rock, TX",93751931.22,13290818.19,786.495,65.941,1.1,0.87
12540,"Bakersfield, CA",39505228.19,3410783.552,292.823,13.273,0.67,0.47
12580,"Baltimore-Towson, MD",162372052.9,10810760.26,1354.382,71.142,0.52,0.54
12620,"Bangor, ME",6135728.295,473041.181,75.853,4.509,0.6,0.61
12700,"Barnstable Town, MA",9157019.18,271357.9132,97.821,2.202,0.23,0.23
12940,"Baton Rouge, LA",44352296.09,11381296.46,381.145,26.3,1.99,0.71
12980,"Battle Creek, MI",5950432.573,2265879.983,59.996,12.416,2.96,2.14
13020,"Bay City, MI",3116785.805,606930.3483,39.487,4.202,1.51,1.1
13140,"Beaumont-Port Arthur, TX",25654168.53,13024283.32,168.598,22.929,3.94,1.4
13380,"Bellingham, WA",9575657.263,2610184.314,89.031,9.262,2.12,1.07
13460,"Bend, OR",6850524.654,580170.1099,73.994,5.644,0.66,0.79
13740,"Billings, MT",9373735.422,1888052.764,83.389,3.535,1.56,0.44
13780,"Binghamton, NY",9298896.383,1960686.188,116.121,18.032,1.64,1.6
13820,"Birmingham-Hoover, AL",60829447.78,6024312.319,544.976,44.131,0.77,0.84
13900,"Bismarck, ND",4961561.354,442313.8261,62.603,2.786,0.69,0.46
13980,"Blacksburg-Christiansburg-Radford, VA",6627547.894,2168967.445,72.189,13.55,2.54,1.94
14010,"Bloomington-Normal, IL",10518677.53,713184.0775,93.001,5.609,0.53,0.62
14020,"Bloomington, IN",7153565.892,1367846.588,86.003,9.543,1.48,1.15
14260,"Boise City-Nampa, ID",29248219.81,4258888.565,287.703,31.154,1.13,1.12
14460,"Boston-Cambridge-Quincy, MA-NH",362016694.4,38996590.55,2493.013,202.985,0.84,0.84
14500,"Boulder, CO",20760510.99,3315080.214,167.957,17.939,1.24,1.1
14540,"Bowling Green, KY",5302178.604,1242568.579,64.581,10.186,1.82,1.63
14740,"Bremerton-Silverdale, WA",9979448.789,213938.6778,99.673,2.005,0.17,0.21
14860,"Bridgeport-Stamford-Norwalk, CT",97283438.42,15516970.66,444.285,40.786,1.24,0.95
