cbsa_fips,cbsa,st_cap
10180,"Abilene, TX",0
10420,"Akron, OH",0
10500,"Albany, GA",0
10580,"Albany-Schenectady-Troy, NY",1
10740,"Albuquerque, NM",0
10780,"Alexandria, LA",0
10900,"Allentown-Bethlehem-Easton, PA-NJ",0
11020,"Altoona, PA",0
11100,"Amarillo, TX",0
11180,"Ames, IA",0
11260,"Anchorage, AK",0
11460,"Ann Arbor, MI",0
11500,"Anniston-Oxford-Jacksonville, AL",0
11540,"Appleton, WI",0
11700,"Asheville, NC",0
12020,"Athens-Clarke County, GA",0
12060,"Atlanta-Sandy Springs-Roswell, GA",1
12100,"Atlantic City-Hammonton, NJ",0
12220,"Auburn-Opelika, AL",0
12260,"Augusta-Richmond County, GA-SC",0
12420,"Austin-Round Rock, TX",1
12540,"Bakersfield, CA",0
12580,"Baltimore-Columbia-Towson, MD",1
12620,"Bangor, ME",0
12700,"Barnstable Town, MA",0
12940,"Baton Rouge, LA",1
12980,"Battle Creek, MI",0
13020,"Bay City, MI",0
13140,"Beaumont-Port Arthur, TX",0
13380,"Bellingham, WA",0
13460,"Bend-Redmond, OR",0
13740,"Billings, MT",0
13780,"Binghamton, NY",0
13820,"Birmingham-Hoover, AL",0
13900,"Bismarck, ND",1
13980,"Blacksburg-Christiansburg-Radford, VA",0
14010,"Bloomington, IL",0
14020,"Bloomington, IN",0
14260,"Boise City, ID",1
14460,"Boston-Cambridge-Newton, MA-NH",1
14500,"Boulder, CO",0
14540,"Bowling Green, KY",0
14740,"Bremerton-Silverdale, WA",0
14860,"Bridgeport-Stamford-Norwalk, CT",0
15180,"Brownsville-Harlingen, TX",0
15260,"Brunswick, GA",0
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0
15500,"Burlington, NC",0
15540,"Burlington-South Burlington, VT",0
15940,"Canton-Massillon, OH",0
15980,"Cape Coral-Fort Myers, FL",0
16180,"Carson City, NV",1
16220,"Casper, WY",0
16300,"Cedar Rapids, IA",0
16580,"Champaign-Urbana, IL",0
16620,"Charleston, WV",1
