zip,cbsa,tot_ratio
501,35620,1
601,38660,1
602,10380,1
603,10380,1
604,10380,1
605,10380,1
606,99999,1
610,10380,1
611,10380,1
612,11640,0.996534126
612,10380,0.000952163
612,41980,0.002513711
613,11640,1
614,11640,1
616,11640,1
617,41980,1
622,41900,1
623,41900,0.999213646
623,32420,0.000786354
624,38660,0.001016648
624,49500,0.998983352
627,11640,1
631,10380,1
637,41900,1
638,41980,1
641,10380,0.969211705
641,38660,0.030788295
646,41980,1
647,41900,0.002505568
647,49500,0.997494432
650,11640,0.132438316
650,41980,0.867561684
652,11640,1
653,49500,1
656,49500,1
659,11640,1
660,32420,1
662,10380,0.998821565
662,11640,0.001178435
664,27580,1
667,41900,1
669,10380,1
670,32420,1
674,41980,1
676,10380,1
677,10380,1
678,11640,1
680,32420,0.999958969
680,41900,0.000041031
681,32420,1
682,32420,1
683,41900,0.968563646
683,32420,0.031436354
685,10380,1
687,41980,1
688,11640,1
690,10380,1
692,41980,1
693,41980,1
694,41980,1
698,49500,0.999543874
698,41900,0.000456126
703,41980,1
704,17640,1
705,17620,0.001161036
705,41980,0.998838964
707,41980,1
714,25020,1
715,38660,1
716,38660,1
717,38660,1
718,41980,1
719,41980,1
720,38660,0.005247813
720,41980,0.994752187
721,41980,1
723,25020,0.845612962
723,41980,0.154387038
725,41980,1
726,41980,1
727,41980,1
728,38660,1
729,41980,1
730,38660,1
731,38660,1
732,38660,1
733,38660,1
735,41980,1
736,41980,1
737,41980,1
738,41980,1
739,41980,1
740,41980,1
741,41980,1
742,41980,1
744,41980,1
745,41980,1
751,42180,0.001253704
751,17640,0.998746296
754,41980,1
757,42180,1
765,99999,1
766,38660,1
767,41980,1
769,17620,1
771,41980,1
772,41980,1
773,41980,1
775,99999,1
777,41980,1
778,41980,1
780,38660,1
782,41980,1
783,41980,1
784,25020,1
785,25020,1
786,41980,1
791,41980,1
792,41980,1
794,41980,1
795,38660,1
802,99999,1
820,99999,1
830,99999,1
840,99999,1
850,99999,1
901,41980,1
902,41980,1
907,41980,1
908,41980,1
909,41980,1
910,41980,1
911,41980,1
912,41980,1
913,41980,1
914,41980,1
915,41980,1
916,41980,1
917,41980,1
918,41980,1
919,41980,1
920,41980,1
921,41980,1
922,41980,1
923,41980,1
924,41980,1
925,41980,1
926,41980,1
927,41980,1
928,41980,1
929,41980,1
931,41980,1
934,41980,1
935,41980,1
936,41980,1
937,41980,1
940,41980,1
949,41980,1
950,41980,1
951,41980,1
952,41980,1
953,41980,1
954,41980,1
956,41980,1
957,41980,1
958,41980,1
959,41980,1
960,41980,1
961,41980,1
962,41980,1
963,41980,1
965,41980,1
966,41980,1
968,41980,1
969,41980,1
970,41980,1
971,41980,1
975,41980,1
976,41980,1
977,41980,1
979,41980,1
981,41980,1
982,41980,1
983,41980,1
984,41980,1
985,41980,1
986,41980,1
987,41980,1
988,41980,1
1001,44140,1
1002,44140,1
1003,44140,1
1004,44140,1
1005,49340,1
1007,44140,1
1008,38340,0.058922559
1008,44140,0.941077441
1009,44140,1
1010,49340,0.021203438
1010,44140,0.978796562
1011,44140,1
1012,44140,1
1013,44140,1
1014,44140,1
1020,44140,1
1021,44140,1
1022,44140,1
1026,38340,0.049261084
1026,44140,0.950738916
1027,44140,1
1028,44140,1
1029,38340,1
1030,44140,1
1031,49340,1
1032,44140,1
1033,44140,1
1034,44140,1
1035,44140,1
1036,44140,1
1037,49340,1
1038,44140,1
1039,44140,1
1040,44140,1
1041,44140,1
1050,44140,1
1053,44140,1
1054,44140,1
1056,44140,1
1057,44140,1
1059,44140,1
1060,44140,1
1061,44140,1
1062,44140,1
1063,44140,1
1066,44140,1
1068,49340,1
1069,44140,1
1070,44140,0.982993197
1070,38340,0.017006803
1071,44140,1
1072,44140,1
1073,44140,1
1074,49340,1
1075,44140,1
1077,44140,1
1079,44140,1
1080,44140,1
1081,44140,1
1082,49340,0.044522349
1082,44140,0.955477651
1083,49340,1
1084,44140,1
1085,44140,1
1088,44140,1
1089,44140,1
1090,44140,1
1092,49340,1
1093,44140,1
1094,49340,1
1095,44140,1
1096,44140,1
1097,44140,1
1098,44140,1
1101,44140,1
1103,44140,1
1104,44140,1
1105,44140,1
1106,44140,1
1107,44140,1
1108,44140,1
1109,44140,1
1111,44140,1
1115,44140,1
1116,44140,1
1118,44140,1
1119,44140,1
1128,44140,1
1129,44140,1
1138,44140,1
1139,44140,1
1144,44140,1
1151,44140,1
1152,44140,1
1199,44140,1
1201,38340,1
1202,38340,1
1220,38340,1
1222,38340,1
1223,38340,0.998619738
1223,44140,0.001380262
1224,38340,1
1225,38340,1
1226,38340,1
1227,38340,1
1229,38340,1
1230,38340,1
1235,38340,0.965289256
1235,44140,0.034710744
1236,38340,1
1237,38340,1
1238,38340,1
1240,38340,1
1242,38340,1
1243,44140,1
1244,38340,1
1245,38340,1
1247,38340,0.997130427
1247,44140,0.002869573
1252,38340,1
1253,38340,1
1254,38340,1
1255,38340,1
