cluster,centroid_01,centroid_02,centroid_03,centroid_04,centroid_05,centroid_06,centroid_07,centroid_08,centroid_09,centroid_10
1,-0.939,0.877,-0.705,-1.223**,0.538,-0.565,0.453,-0.604,-0.291,-0.547
2,-4.508*,-1.915**,-1.461**,0.174,-1.367,0.859,-0.251,0.261,0.114,0.176
3,-3.68**,-5.151**,1.562,-0.213,10.028*,4.515**,-1.82**,0.883**,-0.499,0.536
4,1.301**,0.676,1.976**,0.341,-0.91,1.493**,-0.188,0.425,-0.494,-0.534
5,-0.789,0.345,1.793**,0.74,0.326,-0.354,0.849,0.032,1.106,-0.053
6,0.569,1.147**,0.317,-0.728,-0.072,-0.018,0.681,0.045,-0.384,1.134
7,1.581**,1.289**,-0.685,-0.398,-0.089,0.075,-2.487**,-0.907,0.565,0.187
8,-1.424**,-1.228,1.52**,3.029**,0.295,-2.742**,-1.422**,0.649,-0.912,0.052
9,3.518*,-3.734*,-0.56,-3.018**,-0.184,-0.98,-0.212,2.542**,0.356,-0.19
10,2.334**,3.093*,-4.432**,3.572**,0.843,0.545,0.766,1.875**,0.152,-0.205
11,4.046**,-4.724*,-0.985,1.809,-0.165,0.256,1.069,-2.227,-0.109,0.031
