cbsa_fips,cbsa,charitable_assets
10180,"Abilene, TX",191399430
10420,"Akron, OH",599295125
10580,"Albany-Schenectady-Troy, NY",416095945
10500,"Albany, GA",11725774
10540,"Albany, OR",12564307
10740,"Albuquerque, NM",77313241
10780,"Alexandria, LA",25725930
10900,"Allentown-Bethlehem-Easton, PA-NJ",323344713
11020,"Altoona, PA",5352443
11100,"Amarillo, TX",108872288
11180,"Ames, IA",11950422
11260,"Anchorage, AK",619505015
11460,"Ann Arbor, MI",304781410
11500,"Anniston-Oxford-Jacksonville, AL",7421772
11540,"Appleton, WI",35747393
11700,"Asheville, NC",35538161
12020,"Athens-Clarke County, GA",10210967
12060,"Atlanta-Sandy Springs-Roswell, GA",3569496925
12100,"Atlantic City-Hammonton, NJ",18995202
12220,"Auburn-Opelika, AL",9495586
12260,"Augusta-Richmond County, GA-SC",116456269
12420,"Austin-Round Rock, TX",1977413617
12540,"Bakersfield, CA",47785617
12580,"Baltimore-Columbia-Towson, MD",7133231294
12620,"Bangor, ME",16191173
12700,"Barnstable Town, MA",95181283
12940,"Baton Rouge, LA",229381621
12980,"Battle Creek, MI",494279021
13020,"Bay City, MI",9113115
13140,"Beaumont-Port Arthur, TX",103634585
13220,"Beckley, WV",22713977
13380,"Bellingham, WA",15689488
13460,"Bend-Redmond, OR",13740880
13740,"Billings, MT",102910569
13780,"Binghamton, NY",143279596
13820,"Birmingham-Hoover, AL",595853863
13900,"Bismarck, ND",41185564
13980,"Blacksburg-Christiansburg-Radford, VA",4922919
14010,"Bloomington, IL",38331198
14020,"Bloomington, IN",4407707
14100,"Bloomsburg-Berwick, PA",5944207
14260,"Boise City, ID",964638608
14460,"Boston-Cambridge-Newton, MA-NH",8876326213
14500,"Boulder, CO",157903460
14540,"Bowling Green, KY",16872459
14740,"Bremerton-Silverdale, WA",21988172
14860,"Bridgeport-Stamford-Norwalk, CT",2111189817
15180,"Brownsville-Harlingen, TX",10735121
15260,"Brunswick, GA",16082464
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1011595749
15540,"Burlington-South Burlington, VT",74996334
15500,"Burlington, NC",19073365
15680,"California-Lexington Park, MD",7448237
15940,"Canton-Massillon, OH",248673630
15980,"Cape Coral-Fort Myers, FL",81621835
16020,"Cape Girardeau, MO-IL",4742986
16060,"Carbondale-Marion, IL",31826585
16180,"Carson City, NV",14921298
16220,"Casper, WY",148478547
16300,"Cedar Rapids, IA",338003678
16540,"Chambersburg-Waynesboro, PA",12880327
16580,"Champaign-Urbana, IL",26535888
16700,"Charleston-North Charleston, SC",107798822
16620,"Charleston, WV",140016990
16740,"Charlotte-Concord-Gastonia, NC-SC",3997749138
16820,"Charlottesville, VA",401931739
16860,"Chattanooga, TN-GA",736952335
16940,"Cheyenne, WY",53625939
16980,"Chicago-Naperville-Elgin, IL-IN-WI",16337036707
17020,"Chico, CA",2726572
17140,"Cincinnati, OH-KY-IN",1423297653
17300,"Clarksville, TN-KY",912007
17460,"Cleveland-Elyria, OH",3808000360
17420,"Cleveland, TN",1617462
17660,"Coeur d'Alene, ID",7510812
17780,"College Station-Bryan, TX",28099397
17820,"Colorado Springs, CO",668233767
17860,"Columbia, MO",34035001
17900,"Columbia, SC",71344138
17980,"Columbus, GA-AL",199354945
18020,"Columbus, IN",76866405
18140,"Columbus, OH",411427473
18580,"Corpus Christi, TX",112408621
18700,"Corvallis, OR",32545233
18880,"Crestview-Fort Walton Beach-Destin, FL",13230057
19060,"Cumberland, MD-WV",5900429
19100,"Dallas-Fort Worth-Arlington, TX",5159823722
19140,"Dalton, GA",5878729
19180,"Danville, IL",29429278
19300,"Daphne-Fairhope-Foley, AL",18929605
19340,"Davenport-Moline-Rock Island, IA-IL",176855290
19380,"Dayton, OH",608111113
19460,"Decatur, AL",6144497
19500,"Decatur, IL",158648531
19660,"Deltona-Daytona Beach-Ormond Beach, FL",21378993
19740,"Denver-Aurora-Lakewood, CO",4637049496
19780,"Des Moines-West Des Moines, IA",386697285
19820,"Detroit-Warren-Dearborn, MI",4881755387
20020,"Dothan, AL",102433964
20100,"Dover, DE",1312403
20220,"Dubuque, IA",47545129
20260,"Duluth, MN-WI",61564682
20500,"Durham-Chapel Hill, NC",1108442658
20700,"East Stroudsburg, PA",3654856
20740,"Eau Claire, WI",8155844
20940,"El Centro, CA",1042673
21340,"El Paso, TX",53007814
21060,"Elizabethtown-Fort Knox, KY",2382975
21140,"Elkhart-Goshen, IN",30205865
21300,"Elmira, NY",23242445
21500,"Erie, PA",44798351
21660,"Eugene, OR",134006194
21780,"Evansville, IN-KY",69994615
21820,"Fairbanks, AK",12545914
22020,"Fargo, ND-MN",43130157
22140,"Farmington, NM",1070752
22220,"Fayetteville-Springdale-Rogers, AR-MO",1094778639
22180,"Fayetteville, NC",33380480
22380,"Flagstaff, AZ",6213978
22420,"Flint, MI",2668518240
22520,"Florence-Muscle Shoals, AL",9270293
22500,"Florence, SC",5132620
22540,"Fond du Lac, WI",20380163
22660,"Fort Collins, CO",65098400
22900,"Fort Smith, AR-OK",14619955
23060,"Fort Wayne, IN",310463207
23420,"Fresno, CA",71085603
23460,"Gadsden, AL",112600
23540,"Gainesville, FL",144814135
23580,"Gainesville, GA",2961659
23900,"Gettysburg, PA",4359611
24020,"Glens Falls, NY",62839101
24140,"Goldsboro, NC",29989084
24220,"Grand Forks, ND-MN",4222309
24260,"Grand Island, NE",23129120
24300,"Grand Junction, CO",3361691
24340,"Grand Rapids-Wyoming, MI",1477575919
24420,"Grants Pass, OR",5487008
24500,"Great Falls, MT",17082580
24540,"Greeley, CO",60418382
24580,"Green Bay, WI",85545396
24660,"Greensboro-High Point, NC",1208838518
24860,"Greenville-Anderson-Mauldin, SC",199587204
24780,"Greenville, NC",36163020
25060,"Gulfport-Biloxi-Pascagoula, MS",10952452
25180,"Hagerstown-Martinsburg, MD-WV",23444583
25220,"Hammond, LA",40403
25260,"Hanford-Corcoran, CA",45848
25420,"Harrisburg-Carlisle, PA",136072435
25500,"Harrisonburg, VA",10939305
25540,"Hartford-West Hartford-East Hartford, CT",699380232
25620,"Hattiesburg, MS",39901161
25860,"Hickory-Lenoir-Morganton, NC",112090054
25940,"Hilton Head Island-Bluffton-Beaufort, SC",27431782
25980,"Hinesville, GA",1131930
26140,"Homosassa Springs, FL",1100933
26300,"Hot Springs, AR",5864694
26380,"Houma-Thibodaux, LA",32773875
26420,"Houston-The Woodlands-Sugar Land, TX",7184083618
26580,"Huntington-Ashland, WV-KY-OH",47956849
26620,"Huntsville, AL",49041916
26820,"Idaho Falls, ID",17877408
26900,"Indianapolis-Carmel-Anderson, IN",10488149734
26980,"Iowa City, IA",41219516
27060,"Ithaca, NY",225986223
27100,"Jackson, MI",22377864
27140,"Jackson, MS",369250419
