cbsa_fips,cbsa,cbsa_type,city,city_fips
10100,"Aberdeen, SD",Micropolitan Statistical Area,Aberdeen,4600100
10140,"Aberdeen, WA",Micropolitan Statistical Area,Aberdeen,5300100
10180,"Abilene, TX",Metropolitan Statistical Area,Abilene,4801000
10220,"Ada, OK",Micropolitan Statistical Area,Ada,4000200
10260,"Adjuntas, PR",Micropolitan Statistical Area,Adjuntas,7200358
10300,"Adrian, MI",Micropolitan Statistical Area,Adrian,2600440
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Aguadilla,7200745
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,Isabela,7236478
10420,"Akron, OH",Metropolitan Statistical Area,Akron,3901000
10460,"Alamogordo, NM",Micropolitan Statistical Area,Alamogordo,3501780
10500,"Albany, GA",Metropolitan Statistical Area,Albany,1301052
10540,"Albany, OR",Metropolitan Statistical Area,Albany,4101000
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Albany,3601000
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Schenectady,3665508
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Troy,3675484
10620,"Albemarle, NC",Micropolitan Statistical Area,Albemarle,3700680
10660,"Albert Lea, MN",Micropolitan Statistical Area,Albert Lea,2700694
10700,"Albertville, AL",Micropolitan Statistical Area,Albertville,100988
10740,"Albuquerque, NM",Metropolitan Statistical Area,Albuquerque,3502000
10780,"Alexandria, LA",Metropolitan Statistical Area,Alexandria,2200975
10820,"Alexandria, MN",Micropolitan Statistical Area,Alexandria,2700928
10860,"Alice, TX",Micropolitan Statistical Area,Alice,4801852
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Allentown,4202000
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Bethlehem,4206088
10940,"Alma, MI",Micropolitan Statistical Area,Alma,2601540
10980,"Alpena, MI",Micropolitan Statistical Area,Alpena,2601740
11020,"Altoona, PA",Metropolitan Statistical Area,Altoona,4202184
11060,"Altus, OK",Micropolitan Statistical Area,Altus,4001700
11100,"Amarillo, TX",Metropolitan Statistical Area,Amarillo,4803000
11140,"Americus, GA",Micropolitan Statistical Area,Americus,1302116
11180,"Ames, IA",Metropolitan Statistical Area,Ames,1901855
11220,"Amsterdam, NY",Micropolitan Statistical Area,Amsterdam,3602066
11260,"Anchorage, AK",Metropolitan Statistical Area,Anchorage,203000
11380,"Andrews, TX",Micropolitan Statistical Area,Andrews,4803216
11420,"Angola, IN",Micropolitan Statistical Area,Angola,1801666
11460,"Ann Arbor, MI",Metropolitan Statistical Area,Ann Arbor,2603000
11500,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,Anniston,101852
