cbsa_fips,name,clusterz_5,clusterz_13,clusterz_11,clusterz_8,clusterm_5,clusterm_13,clusterm_11,clusterm_8
10180,"Abilene, TX",1,1,1,1,1,1,1,1
10420,"Akron, OH",2,2,2,2,1,2,2,2
10500,"Albany, GA",1,3,3,1,1,3,3,1
10580,"Albany-Schenectady-Troy, NY",2,4,4,3,1,4,4,2
10740,"Albuquerque, NM",3,5,5,4,1,1,1,1
10780,"Alexandria, LA",1,3,3,1,1,5,5,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2,6,6,3,1,4,4,2
11020,"Altoona, PA",2,7,2,2,1,2,2,2
11100,"Amarillo, TX",1,1,1,1,1,1,1,1
11180,"Ames, IA",3,8,7,4,1,1,1,1
11260,"Anchorage, AK",4,9,8,5,1,1,1,1
11460,"Ann Arbor, MI",3,8,7,4,1,1,1,1
11500,"Anniston-Oxford-Jacksonville, AL",2,7,2,2,1,2,2,2
11540,"Appleton, WI",2,6,6,3,1,1,1,1
11700,"Asheville, NC",1,1,1,1,1,1,1,1
12020,"Athens-Clarke County, GA",1,1,1,1,1,3,3,1
12060,"Atlanta-Sandy Springs-Roswell, GA",3,5,5,4,2,6,6,3
12100,"Atlantic City-Hammonton, NJ",2,4,4,3,1,4,4,2
12220,"Auburn-Opelika, AL",1,1,1,1,1,5,5,1
12260,"Augusta-Richmond County, GA-SC",1,3,3,1,1,3,3,1
12420,"Austin-Round Rock, TX",3,8,7,4,1,1,1,1
12540,"Bakersfield, CA",4,9,8,5,1,5,5,1
12580,"Baltimore-Columbia-Towson, MD",2,2,2,2,2,6,6,3
12620,"Bangor, ME",2,4,4,3,1,7,4,2
12700,"Barnstable Town, MA",1,10,9,6,1,8,3,1
12940,"Baton Rouge, LA",1,1,1,1,1,1,1,1
12980,"Battle Creek, MI",2,7,2,2,2,9,7,4
13020,"Bay City, MI",2,7,2,2,1,2,2,2
13140,"Beaumont-Port Arthur, TX",1,3,3,1,1,3,3,1
13380,"Bellingham, WA",3,8,7,4,1,1,1,1
13460,"Bend-Redmond, OR",1,1,1,1,1,1,1,1
13740,"Billings, MT",2,6,6,3,1,1,1,1
13780,"Binghamton, NY",2,2,2,2,1,2,2,2
13820,"Birmingham-Hoover, AL",2,2,2,2,1,2,2,2
13900,"Bismarck, ND",2,6,6,3,1,1,1,1
13980,"Blacksburg-Christiansburg-Radford, VA",1,3,3,1,1,3,3,1
14010,"Bloomington, IL",3,8,7,4,1,1,1,1
14020,"Bloomington, IN",1,1,1,1,1,3,3,1
14260,"Boise City, ID",1,1,1,1,1,1,1,1
14460,"Boston-Cambridge-Newton, MA-NH",5,11,10,7,3,10,8,5
14500,"Boulder, CO",3,8,7,4,1,1,1,1
14540,"Bowling Green, KY",1,3,3,1,1,3,3,1
14740,"Bremerton-Silverdale, WA",2,12,6,3,1,4,4,2
14860,"Bridgeport-Stamford-Norwalk, CT",2,4,4,3,1,4,4,2
15180,"Brownsville-Harlingen, TX",4,9,8,5,1,5,5,1
15260,"Brunswick, GA",1,3,3,1,1,3,3,1
