cbsa_fips,cbsa,clusterz_13,clusterz_11,clusterz_21,clusterz_17,clusterm_13,clusterm_11,clusterm_21,clusterm_17,density,age_pct_u18,age_pct_o64,nat_nativity,laus_lfpr,access,city_age,r1_per_100k,st_cap,mfg_lq_gmp,chartbl_per_cap,freight_sqmi,enplane_per_cap,hist_bldgs,city_decades_since_peak,city_decline_since_peak,pctchg_00_05,vacancy_msa,pct_prewar_city,pct_ph,med_val_cbsa,prop_crimes_per100k,pct_low_inf_bw,pct_obese_adult,pct_uninsured_adult,pov_poverty_rate,gini,pct_deficient,sfund_per_sqmi,edu_no_hs_diploma,edu_bachelors_plus
10180,"Abilene, TX",1,1,1,1,1,1,1,1,58.2605,0.2603,0.1299,0.9612,0.4981,42.6628,50,0,0,0.61,1190.5837,4e-4,0.4869,1,0,0,0.0032,0.1034,0.0839,0.016,102000,3853.5466,8.1967,27.4333,23.3667,0.1459,0.4612,0,0,0.2131,0.1955
10420,"Akron, OH",2,2,2,2,2,2,2,2,761.1377,0.2476,0.1342,0.9469,0.5417,42.6803,100,0,0,1.49,853.0916,0.0119,1.0129,9,5,0.3142,0.0108,0.0575,0.347,0.0415,140800,3710.4732,7.955,28.15,11.9,0.098,0.4656,0,0.0022,0.1426,0.2428
10500,"Albany, GA",1,1,3,3,1,1,1,1,80.0558,0.2831,0.1102,0.9605,0.4739,41.9265,50,0,0,1.21,74.7407,0.002,0.2456,2,2,0.0088,-0.006,0.0996,0.0415,0.0324,111700,4325.4338,11.444,31.38,16.5,0.2153,0.4825,0.139,0.0015,0.2677,0.1567
10580,"Albany-Schenectady-Troy, NY",2,2,2,2,3,3,3,3,297.4345,0.2384,0.1397,0.9401,0.5316,81.5349,160,0.234,1,0.63,486.8874,0.0042,1.7942,59,6,0.2751,0.0348,0.0921,0.4987,0.0307,203300,2637.8299,7.058,25.36,13.98,0.0929,0.443,0,0.0017,0.1392,0.2911
10740,"Albuquerque, NM",3,3,4,4,4,4,4,4,87.0898,0.2641,0.1125,0.9442,0.487,44.8312,60,0.1235,0,0.71,95.5014,9e-4,3.9156,0,0,0,0.1095,0.081,0.0362,0.0132,181300,4759.4284,7.765,22.325,22.425,0.139,0.4641,0,4e-4,0.1628,0.2808
10780,"Alexandria, LA",1,1,3,3,1,1,1,1,72.9457,0.2737,0.1301,0.9667,0.4581,35.7882,30,0,0,0.82,173.9061,5e-4,0.9362,3,3,0.076,0.02,0.1053,0.0902,0.0301,128700,4769.1476,9.92,29.65,21.6,0.2067,0.4753,0,0,0.2558,0.1567
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,4,5,5,2,2,5,5,534.6654,0.2386,0.156,0.9565,0.5171,55.6479,100,0,0,1.15,410.4724,0.0048,0.5321,10,0,0,0.0639,0.0698,0.4097,0.0265,202800,2549.3248,7.9075,28.25,12.925,0.0828,0.4428,0,0.0081,0.1868,0.2168
11020,"Altoona, PA",5,2,6,6,5,5,6,6,240.7296,0.2267,0.1739,0.965,0.5112,41.2068,100,0,0,1.25,42.235,0.0095,0.0541,2,8,0.4355,-0.0187,0.0643,0.5568,0.0325,117300,2487.9665,6.86,30.8,10.4,0.1264,0.4439,0,0.0019,0.1624,0.1388
11100,"Amarillo, TX",6,5,7,7,4,4,4,4,46.3712,0.2717,0.1198,0.9582,0.5308,30.9257,70,0,0,1.12,452.9174,0.001,1.857,1,0,0,0.051,0.0693,0.0827,0.007,129900,5340.2945,8.88,27.3667,22.7667,0.1359,0.4593,0.0028,2e-4,0.1986,0.2081
11180,"Ames, IA",7,6,8,8,6,4,7,7,144.71,0.1906,0.0984,0.9176,0.5661,98.8939,10,1.2065,0,1.33,144.1825,0,0,0,0,0,0.0363,0.0407,0.1223,0.0117,172900,2685.6812,5.38,26.2,16.8,0.1406,0.4677,0,0,0.0647,0.445
