name,cluster_old13
"Abilene, TX",1
"Akron, OH",2
"Albany, GA",3
"Albany-Schenectady-Troy, NY",4
"Albuquerque, NM",1
"Alexandria, LA",3
"Allentown-Bethlehem-Easton, PA-NJ",5
"Altoona, PA",6
"Amarillo, TX",1
"Ames, IA",7
"Anchorage, AK",4
"Ann Arbor, MI",7
"Anniston-Oxford-Jacksonville, AL",6
"Appleton, WI",5
"Asheville, NC",1
"Athens-Clarke County, GA",7
"Atlanta-Sandy Springs-Roswell, GA",8
"Atlantic City-Hammonton, NJ",2
"Auburn-Opelika, AL",1
"Augusta-Richmond County, GA-SC",3
"Austin-Round Rock, TX",9
"Bakersfield, CA",10
"Baltimore-Columbia-Towson, MD",2
"Bangor, ME",2
"Barnstable Town, MA",11
"Baton Rouge, LA",9
"Battle Creek, MI",6
"Bay City, MI",6
"Beaumont-Port Arthur, TX",3
"Bellingham, WA",1
"Bend-Redmond, OR",1
"Billings, MT",1
"Binghamton, NY",2
"Birmingham-Hoover, AL",2
"Bismarck, ND",9
"Blacksburg-Christiansburg-Radford, VA",7
"Bloomington, IL",5
"Bloomington, IN",7
"Boise City, ID",9
"Boston-Cambridge-Newton, MA-NH",12
"Boulder, CO",7
"Bowling Green, KY",3
"Bremerton-Silverdale, WA",5
"Bridgeport-Stamford-Norwalk, CT",2
"Brownsville-Harlingen, TX",10
"Brunswick, GA",3
"Buffalo-Cheektowaga-Niagara Falls, NY",2
"Burlington, NC",3
"Burlington-South Burlington, VT",5
"Canton-Massillon, OH",2
"Cape Coral-Fort Myers, FL",8
"Carson City, NV",9
"Casper, WY",5
"Cedar Rapids, IA",5
"Champaign-Urbana, IL",7
"Charleston, WV",6
"Charleston-North Charleston, SC",1
"Charlotte-Concord-Gastonia, NC-SC",8
"Charlottesville, VA",7
"Chattanooga, TN-GA",1
"Cheyenne, WY",9
"Chicago-Naperville-Elgin, IL-IN-WI",12
"Chico, CA",1
"Cincinnati, OH-KY-IN",2
"Clarksville, TN-KY",1
"Cleveland, TN",3
"Cleveland-Elyria, OH",2
"Coeur d'Alene, ID",1
"College Station-Bryan, TX",7
"Colorado Springs, CO",1
"Columbia, MO",7
"Columbia, SC",9
"Columbus, GA-AL",3
"Columbus, IN",3
"Columbus, OH",9
"Corpus Christi, TX",1
"Corvallis, OR",7
"Crestview-Fort Walton Beach-Destin, FL",1
"Cumberland, MD-WV",6
"Dallas-Fort Worth-Arlington, TX",8
"Dalton, GA",10
"Danville, IL",6
"Davenport-Moline-Rock Island, IA-IL",5
"Dayton, OH",2
"Decatur, AL",3
"Decatur, IL",6
"Deltona-Daytona Beach-Ormond Beach, FL",11
"Denver-Aurora-Lakewood, CO",8
"Des Moines-West Des Moines, IA",9
"Detroit-Warren-Dearborn, MI",2
"Dothan, AL",3
"Dover, DE",9
"Dubuque, IA",5
"Duluth, MN-WI",2
"Durham-Chapel Hill, NC",7
"Eau Claire, WI",5
"El Centro, CA",10
"Elizabethtown-Fort Knox, KY",1
"Elkhart-Goshen, IN",5
"Elmira, NY",6
"El Paso, TX",10
"Erie, PA",2
"Eugene, OR",1
"Evansville, IN-KY",6
"Fairbanks, AK",1
"Fargo, ND-MN",5
"Farmington, NM",1
"Fayetteville, NC",3
"Fayetteville-Springdale-Rogers, AR-MO",1
"Flagstaff, AZ",1
"Flint, MI",6
"Florence, SC",3
"Florence-Muscle Shoals, AL",3
"Fond du Lac, WI",5
"Fort Collins, CO",1
"Fort Smith, AR-OK",3
"Fort Wayne, IN",1
"Fresno, CA",10
"Gadsden, AL",6
"Gainesville, FL",7
"Gainesville, GA",10
"Glens Falls, NY",2
"Goldsboro, NC",3
"Grand Forks, ND-MN",5
"Grand Junction, CO",1
"Grand Rapids-Wyoming, MI",5
"Great Falls, MT",1
"Greeley, CO",1
"Green Bay, WI",5
"Greensboro-High Point, NC",1
"Greenville, NC",7
"Greenville-Anderson-Mauldin, SC",1
"Gulfport-Biloxi-Pascagoula, MS",3
"Hagerstown-Martinsburg, MD-WV",2
"Hanford-Corcoran, CA",10
"Harrisburg-Carlisle, PA",2
"Harrisonburg, VA",7
"Hartford-West Hartford-East Hartford, CT",2
"Hattiesburg, MS",7
"Hickory-Lenoir-Morganton, NC",3
"Hinesville, GA",1
"Hot Springs, AR",1
"Houma-Thibodaux, LA",3
"Houston-The Woodlands-Sugar Land, TX",8
"Huntington-Ashland, WV-KY-OH",6
"Huntsville, AL",1
"Idaho Falls, ID",1
"Indianapolis-Carmel-Anderson, IN",9
"Iowa City, IA",7
"Ithaca, NY",7
"Jackson, MI",6
"Jackson, MS",9
"Jackson, TN",3
"Jacksonville, FL",1
"Jacksonville, NC",1
"Janesville-Beloit, WI",2
"Jefferson City, MO",9
"Johnson City, TN",3
"Johnstown, PA",6
"Jonesboro, AR",3
"Joplin, MO",3
"Kalamazoo-Portage, MI",5
"Kankakee, IL",6
"Kansas City, MO-KS",5
"Kennewick-Richland, WA",1
"Killeen-Temple, TX",1
"Kingsport-Bristol-Bristol, TN-VA",3
"Kingston, NY",2
"Knoxville, TN",1
"Kokomo, IN",3
"La Crosse-Onalaska, WI-MN",5
"Lafayette, LA",1
"Lafayette-West Lafayette, IN",7
"Lake Charles, LA",3
"Lakeland-Winter Haven, FL",1
"Lancaster, PA",2
"Lansing-East Lansing, MI",4
"Laredo, TX",10
"Las Cruces, NM",10
"Las Vegas-Henderson-Paradise, NV",8
"Lawrence, KS",7
"Lawton, OK",3
"Lebanon, PA",5
"Lewiston, ID-WA",3
"Lewiston-Auburn, ME",2
"Lexington-Fayette, KY",1
"Lima, OH",6
"Lincoln, NE",9
"Little Rock-North Little Rock-Conway, AR",9
"Logan, UT-ID",1
"Longview, TX",3
"Longview, WA",3
"Los Angeles-Long Beach-Anaheim, CA",12
"Louisville/Jefferson County, KY-IN",1
"Lubbock, TX",1
"Lynchburg, VA",3
"Macon-Bibb County, GA",3
"Madera, CA",10
"Madison, WI",9
"Manchester-Nashua, NH",5
"Mansfield, OH",6
"McAllen-Edinburg-Mission, TX",10
"Medford, OR",1
"Memphis, TN-MS-AR",1
"Merced, CA",10
"Miami-Fort Lauderdale-West Palm Beach, FL",8
"Michigan City-La Porte, IN",6
"Midland, TX",10
"Milwaukee-Waukesha-West Allis, WI",2
"Minneapolis-St. Paul-Bloomington, MN-WI",8
"Missoula, MT",5
"Mobile, AL",3
"Modesto, CA",10
"Monroe, LA",3
"Monroe, MI",5
"Montgomery, AL",9
"Morgantown, WV",7
"Morristown, TN",3
"Mount Vernon-Anacortes, WA",1
"Muncie, IN",6
"Muskegon, MI",5
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",1
"Napa, CA",13
"Naples-Immokalee-Marco Island, FL",11
"Nashville-Davidson--Murfreesboro--Franklin, TN",9
"New Haven-Milford, CT",2
"New Orleans-Metairie, LA",2
"New York-Newark-Jersey City, NY-NJ-PA",12
"Niles-Benton Harbor, MI",6
"North Port-Sarasota-Bradenton, FL",11
"Norwich-New London, CT",2
"Ocala, FL",11
"Ocean City, NJ",11
"Odessa, TX",10
"Ogden-Clearfield, UT",1
"Oklahoma City, OK",9
"Olympia-Tumwater, WA",9
"Omaha-Council Bluffs, NE-IA",5
"Orlando-Kissimmee-Sanford, FL",8
"Oshkosh-Neenah, WI",5
"Owensboro, KY",3
"Oxnard-Thousand Oaks-Ventura, CA",13
"Palm Bay-Melbourne-Titusville, FL",11
"Panama City, FL",1
"Parkersburg-Vienna, WV",6
"Pensacola-Ferry Pass-Brent, FL",1
"Peoria, IL",5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",12
"Phoenix-Mesa-Scottsdale, AZ",9
"Pine Bluff, AR",3
"Pittsburgh, PA",2
"Pittsfield, MA",2
"Pocatello, ID",1
"Portland-South Portland, ME",2
"Portland-Vancouver-Hillsboro, OR-WA",1
"Port St. Lucie, FL",11
"Prescott, AZ",11
"Providence-Warwick, RI-MA",2
"Provo-Orem, UT",1
"Pueblo, CO",3
"Punta Gorda, FL",11
"Racine, WI",5
"Raleigh, NC",9
"Rapid City, SD",5
"Reading, PA",2
"Redding, CA",1
"Reno, NV",1
"Richmond, VA",2
"Riverside-San Bernardino-Ontario, CA",10
"Roanoke, VA",5
"Rochester, MN",5
"Rochester, NY",2
"Rockford, IL",5
"Rocky Mount, NC",3
"Rome, GA",3
"Sacramento--Roseville--Arden-Arcade, CA",9
"Saginaw, MI",6
"St. Cloud, MN",5
"St. George, UT",1
"St. Joseph, MO-KS",6
"St. Louis, MO-IL",2
"Salem, OR",9
"Salinas, CA",10
"Salisbury, MD-DE",1
"Salt Lake City, UT",8
"San Angelo, TX",1
"San Antonio-New Braunfels, TX",1
"San Diego-Carlsbad, CA",13
"San Francisco-Oakland-Hayward, CA",12
"San Jose-Sunnyvale-Santa Clara, CA",13
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",7
"Santa Cruz-Watsonville, CA",13
"Santa Fe, NM",9
"Santa Maria-Santa Barbara, CA",13
"Santa Rosa, CA",13
"Savannah, GA",2
"Scranton--Wilkes-Barre--Hazleton, PA",6
"Seattle-Tacoma-Bellevue, WA",8
"Sebastian-Vero Beach, FL",11
"Sheboygan, WI",5
"Sherman-Denison, TX",3
"Shreveport-Bossier City, LA",3
"Sioux City, IA-NE-SD",5
"Sioux Falls, SD",5
"South Bend-Mishawaka, IN-MI",2
"Spartanburg, SC",2
"Spokane-Spokane Valley, WA",5
"Springfield, IL",9
"Springfield, MA",2
"Springfield, MO",1
"Springfield, OH",6
"State College, PA",7
"Stockton-Lodi, CA",10
"Sumter, SC",3
"Syracuse, NY",2
"Tallahassee, FL",4
"Tampa-St. Petersburg-Clearwater, FL",8
"Terre Haute, IN",6
"Texarkana, TX-AR",3
"Toledo, OH",2
"Topeka, KS",9
"Trenton, NJ",4
"Tucson, AZ",1
"Tulsa, OK",1
"Tuscaloosa, AL",3
"Tyler, TX",1
"Urban Honolulu, HI",8
"Utica-Rome, NY",2
"Valdosta, GA",7
"Vallejo-Fairfield, CA",13
"Victoria, TX",3
"Vineland-Bridgeton, NJ",5
"Virginia Beach-Norfolk-Newport News, VA-NC",5
"Visalia-Porterville, CA",10
"Waco, TX",1
"Warner Robins, GA",1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",4
"Waterloo-Cedar Falls, IA",5
"Wausau, WI",5
"Weirton-Steubenville, WV-OH",6
"Wenatchee, WA",1
"Wheeling, WV-OH",6
"Wichita, KS",1
"Wichita Falls, TX",1
"Williamsport, PA",6
"Wilmington, NC",1
"Winchester, VA-WV",3
"Winston-Salem, NC",1
"Worcester, MA-CT",2
"Yakima, WA",10
"York-Hanover, PA",2
"Youngstown-Warren-Boardman, OH-PA",6
"Yuba City, CA",10
"Yuma, AZ",10
