stage,clusters,aggcoeff,slope,accel
326,25,14.1880295414966,0.0225868971152081,12.77153968162368
327,24,14.7425026096368,0.03908034350495942,0.7302218762331028
328,23,15.1963461425227,0.030784700868171044,-0.21227148721800848
329,22,16.1964934676363,0.0658149870852817,1.1379121845984612
330,21,16.2226279896321,0.0016135913645766613,-0.9754829190730403
331,20,16.3731890974236,0.009280932034422762,4.751723911126463
332,19,16.4710786911135,0.005978651630261984,-0.3558134454505966
333,18,16.6365824211566,0.010048141542326056,0.6806701851410177
334,17,18.0543594081785,0.08522044679193991,7.48121480305224
335,16,18.1435148298262,0.0049381658818264665,-0.9420542127186604
336,15,20.4711601313416,0.12829075972032575,24.979435035275724
337,14,20.570511814584,0.004853251237593091,-0.9621699080419105
338,13,24.0287177744941,0.16811472612258088,33.639609180001
339,12,24.0709708047826,0.0017584388266172872,-0.9895402451220418
340,11,24.4427735030163,0.015446103160900693,7.783986640362347
341,10,28.1967121470642,0.1535807155266015,8.94300723792692
342,9,29.1475227622071,0.03372061998518845,-0.780437147531405
343,8,29.7337590752515,0.020112731974756954,-0.4035479779555853
344,7,31.0109539957412,0.04295437106547212,1.1356805788185913
345,6,38.4042364219495,0.2384087386419532,4.550278882644205
346,5,41.3801035367297,0.07748799070196792,-0.6749783957443739
347,4,42.3691034415162,0.02390037289076983,-0.691560296321339
348,3,44.2522712025265,0.044446721975359045,0.8596664653932694
349,2,59.404054920351,0.34239561735668467,6.703506628599212
350,1,85.0059101138274,0.4309782426099259,0.25871424972406065
