cbsa_fips,cbsa,sqmi,population_2005,density,age_total_young,age_total_old,age_total,age_pct_u18,age_pct_o64,nat_total,nat_foreign_born,nat_not_foreign_born,nat_native,nat_nativity,laus_lfpr,laus_pop,laus_lf,laus_emp,laus_unemp,access,city_age,r_1,r_2,st_cap,mfg_lq_gmp,mfg_lq_emp,charitable_assets,intermodal_freight,enplanements,hist_bldgs,hist_strct,hist_sites,hist_objct,hist_dists,hist_registry_total,city_peak_yr,city_peak_pop,city_decades_since_peak,city_pop_2010,city_decline_since_peak,pctchg_00_05,vacancy_msa,vacancy_city,pct_prewar_city,pct_prewar_msa,total_units_2005,hud_units_2005,pct_ph,med_val_cbsa,med_val_city,prop_crimes_per100k,prop_crimes_burglary,prop_crimes_larceny,prop_crimes_moto_theft,pct_low_inf_bw,pct_obese_adult,pct_uninsured_adult,pov_total_in_poverty,pov_total,pov_poverty_rate,gini,total_bridges_2005,bad_bridges_2005,pct_deficient,npl_sites,sfund_per_sqmi,edu_no_hs_diploma,edu_bachelors_plus,edu_total_bach,edu_total_mast,edu_total_prof,edu_total_doct,edu_total_nohs,edu_total_degr,edu_total_ov25,enplane_per_cap,chartbl_per_cap,r1_per_cap,r2_per_cap,r_univ_per_cap,freight_sqmi,ln_hist_bldg,ln_hist_registry
10180,"Abilene, TX",2759.3462,160761,58.2605,41712,20812,160245,0.2603,0.1299,58475,2270,56205,40814,0.9612,0.4981,160761,80081,76705,3376,42.6628,50,0,0,0,0.61,0.45,191399430,1,78269,1,0,0,0,0,1,2010,117063,0,117063,0,0.0032,0.1034,0.0887,0.0839,0.1018,65217,1045,0.016,102000,60000,3853.5466,1769,4075,351,8.1967,27.4333,23.3667,21846,149756,0.1459,0.4612,719,0,0,0,0,0.2131,0.1955,12789,4424,1268,668,20874,19149,97934,0.4869,1190.5837,0,0,0,4e-4,0,0
10420,"Akron, OH",922.9579,702498,761.1377,172095,93260,694960,0.2476,0.1342,274237,14567,259670,183802,0.9469,0.5417,702498,380527,358106,22421,42.6803,100,0,2,0,1.49,1.4,599295125,11,711540,9,12,1,1,7,30,1960,290351,5,199110,0.3142,0.0108,0.0575,0.074,0.347,0.2074,290976,12061,0.0415,140800,76800,3710.4732,6081,17827,2158,7.955,28.15,11.9,66386,677479,0.098,0.4656,819,0,0,2,0.0022,0.1426,0.2428,73807,24688,7888,4492,65120,110875,456718,1.0129,853.0916,0,0,0,0.0119,2.1972,3.4012
10500,"Albany, GA",1959.7092,156886,80.0558,44676,17389,157833,0.2831,0.1102,57403,2266,55137,41219,0.9605,0.4739,156886,74349,70122,4227,41.9265,50,0,0,0,1.21,1.02,11725774,4,38527,2,0,0,0,1,3,1990,78122,2,77434,0.0088,-0.006,0.0996,0.1074,0.0415,0.0496,63755,2067,0.0324,111700,69200,4325.4338,2186,4187,413,11.444,31.38,16.5,33002,153305,0.2153,0.4825,331,46,0.139,3,0.0015,0.2677,0.1567,9714,3673,1237,465,25784,15089,96323,0.2456,74.7407,0,0,0,0.002,0.6931,1.0986
10580,"Albany-Schenectady-Troy, NY",2873.2508,854604,297.4345,196928,115355,825875,0.2384,0.1397,330246,19780,310466,209951,0.9401,0.5316,854604,454313,436271,18042,81.5349,160,2,0,1,0.63,0.53,416095945,12,1533301,59,11,6,1,11,88,1950,134995,6,97856,0.2751,0.0348,0.0921,0.1011,0.4987,0.3167,363740,11154,0.0307,203300,97000,2637.8299,4516,16686,1341,7.058,25.36,13.98,73946,796052,0.0929,0.443,1105,0,0,5,0.0017,0.1392,0.2911,88855,49358,13711,8437,76709,160361,550892,1.7942,486.8874,0,0,0,0.0042,4.0775,4.4773
10740,"Albuquerque, NM",9295.5882,809551,87.0898,192681,82068,729649,0.2641,0.1125,281052,15676,265376,186601,0.9442,0.487,809551,394236,375221,19015,44.8312,60,1,0,0,0.71,0.6,77313241,8,3169861,0,3,3,1,2,9,2010,545852,0,545852,0,0.1095,0.081,0.0767,0.0362,0.038,305840,4041,0.0132,181300,123700,4759.4284,8566,24905,5059,7.765,22.325,22.425,99746,717654,0.139,0.4641,794,0,0,4,4e-4,0.1628,0.2808,76270,37070,10101,7587,75953,131028,466632,3.9156,95.5014,0,0,0,9e-4,-Inf,2.1972
10780,"Alexandria, LA",2027.9459,147930,72.9457,39690,18867,145035,0.2737,0.1301,54193,1805,52388,38407,0.9667,0.4581,147930,67767,63582,4185,35.7882,30,0,0,0,0.82,0.7,25725930,1,138494,3,1,6,0,0,10,1980,51648,3,47723,0.076,0.02,0.1053,0.1005,0.0902,0.0693,60569,1821,0.0301,128700,70700,4769.1476,1898,4659,498,9.92,29.65,21.6,29045,140538,0.2067,0.4753,831,0,0,0,0,0.2558,0.1567,9222,3434,1284,434,23468,14374,91732,0.9362,173.9061,0,0,0,5e-4,1.0986,2.3026
10900,"Allentown-Bethlehem-Easton, PA-NJ",1473.329,787738,534.6654,176670,115536,740395,0.2386,0.156,285808,12424,273384,197081,0.9565,0.5171,787738,407310,387428,19882,55.6479,100,0,1,0,1.15,1.18,323344713,7,419122,10,19,1,2,3,35,2010,118032,0,118032,0,0.0639,0.0698,0.0855,0.4097,0.3098,307269,8153,0.0265,202800,77000,2549.3248,3484,15295,1303,7.9075,28.25,12.925,59500,718554,0.0828,0.4428,1067,0,0,12,0.0081,0.1868,0.2168,70169,26493,8034,4528,94099,109224,503830,0.5321,410.4724,0,0,0,0.0048,2.3026,3.5553
11020,"Altoona, PA",526.4413,126730,240.7296,29282,22456,129144,0.2267,0.1739,51518,1802,49716,34895,0.965,0.5112,126730,64786,61435,3351,41.2068,100,0,0,0,1.25,1.24,5352443,5,6859,2,3,1,0,1,7,1930,82054,8,46320,0.4355,-0.0187,0.0643,0.0748,0.5568,0.3993,55061,1789,0.0325,117300,57600,2487.9665,774,2228,151,6.86,30.8,10.4,15840,125336,0.1264,0.4439,328,0,0,1,0.0019,0.1624,0.1388,8115,2626,1170,357,14352,12268,88366,0.0541,42.235,0,0,0,0.0095,0.6931,1.9459
11100,"Amarillo, TX",5183.8265,240380,46.3712,62151,27398,228707,0.2717,0.1198,86007,3591,82416,59315,0.9582,0.5308,240380,127588,122520,5068,30.9257,70,0,0,0,1.12,1.14,108872288,5,446395,1,0,0,0,1,2,2010,190695,0,190695,0,0.051,0.0693,0.065,0.0827,0.0821,92409,644,0.007,129900,71600,5340.2945,2811,8893,1133,8.88,27.3667,22.7667,29830,219486,0.1359,0.4593,351,1,0.0028,1,2e-4,0.1986,0.2081,19796,6387,2358,1026,28211,29567,142068,1.857,452.9174,0,0,0,0.001,0,0.6931
11180,"Ames, IA",572.7594,82884,144.71,15248,7870,79981,0.1906,0.0984,29383,2421,26962,17056,0.9176,0.5661,82884,46922,45500,1422,98.8939,10,1,0,0,1.33,1.02,11950422,0,0,0,6,0,0,1,7,2010,58965,0,58965,0,0.0363,0.0407,0.0358,0.1223,0.1867,30630,358,0.0117,172900,125300,2685.6812,635,1524,67,5.38,26.2,16.8,9921,70554,0.1406,0.4677,296,0,0,0,0,0.0647,0.445,10507,4718,802,2729,2725,18756,42148,0,144.1825,0,0,0,0,-Inf,1.9459
11260,"Anchorage, AK",26572.3425,350903,13.2056,94981,17742,319605,0.2972,0.0555,115378,7032,108346,79188,0.9391,0.5294,350903,185756,174768,10988,53.5761,30,0,0,0,0.07,0.13,619505015,6,2461553,2,2,0,1,1,6,2010,291826,0,291826,0,0.0979,0.0965,0.0553,0.0061,0.0065,127697,1745,0.0137,284300,152300,3553.6886,1882,9165,1423,6.24,27.3,18.6,25101,312594,0.0803,0.4184,195,0,0,3,1e-4,0.101,0.2697,34303,12803,4060,1598,19755,52764,195652,7.0149,1765.4594,0,0,0,2e-4,0.6931,1.7918
11460,"Ann Arbor, MI",721.2699,342234,474.4881,71288,26271,322895,0.2208,0.0814,125327,13193,112134,73690,0.8947,0.555,342234,189926,181459,8467,96.6969,50,1,0,0,1.08,0.96,304781410,1,0,1,2,0,0,3,6,2000,114024,1,113934,8e-4,0.0599,0.0438,0.0323,0.1684,0.1361,131069,4336,0.0331,231500,178500,2970.7744,2312,6919,936,7.29,27,15.3,33450,301773,0.1108,0.4785,251,0,0,0,0,0.0847,0.4814,48034,30013,7565,9414,16716,95026,197414,0,890.5644,0,0,0,0.0014,0,1.7918
11500,"Anniston-Oxford-Jacksonville, AL",612.4074,114477,186.9295,26456,15872,112249,0.2357,0.1414,45307,1633,43674,31300,0.964,0.4713,114477,53955,51524,2431,15.5579,0,0,0,0,1.3,1.39,7421772,1,0,3,2,1,1,0,7,1960,33320,5,23106,0.3065,0.0198,0.1172,0.183,0.147,0.0876,51322,1776,0.0346,110100,67200,4797.4702,1484,3703,305,9.35,33.2,13.3,17695,109830,0.1611,0.4629,352,0,0,1,0.0016,0.261,0.1522,6612,3332,828,493,19318,11265,74015,0,64.832,0,0,0,0.0016,1.0986,1.9459
11540,"Appleton, WI",1039.4904,215925,207.722,56146,21955,201602,0.2785,0.1089,75440,4320,71120,53383,0.9427,0.5555,215925,119949,114645,5304,40.887,40,0,0,0,1.77,1.91,35747393,4,299179,0,1,1,0,5,7,2010,72623,0,72623,0,0.071,0.0374,0.0314,0.2217,0.2028,78372,1094,0.014,161800,97600,2124.8119,694,3749,145,6.115,27.15,9.65,8826,198200,0.0445,0.4055,324,0,0,2,0.0019,0.1203,0.2216,21044,5110,1638,639,15434,28431,128286,1.3856,165.5547,0,0,0,0.0038,-Inf,1.9459
11700,"Asheville, NC",2040.7254,396408,194.2486,79076,64518,369171,0.2142,0.1748,154290,6726,147564,103656,0.9564,0.5002,396408,198283,189614,8669,29.5418,80,0,0,0,1.34,1.19,35538161,2,315624,10,0,0,0,7,17,2010,83393,0,83393,0,0.0738,0.12,0.0857,0.2259,0.1156,175331,3596,0.0205,198100,105200,3248.4208,3391,8217,1269,8.8075,25.45,18.05,40438,359954,0.1123,0.4554,1537,0,0,5,0.0025,0.1907,0.2311,38845,14293,4912,2413,49902,60463,261649,0.7962,89.6505,0,0,0,0.001,2.3026,2.8332
12020,"Athens-Clarke County, GA",1035.2563,178974,172.8789,36061,14839,166079,0.2171,0.0893,63406,5116,58290,37877,0.9193,0.5543,178974,99200,94920,4280,77.1581,10,1,0,0,1.47,1.05,10210967,0,7680,4,1,0,0,8,13,2010,115452,0,115452,0,0.0776,0.0612,0.0575,0.07,0.0729,67542,2150,0.0318,162600,103000,4160.9396,1327,5630,490,8.0725,27.425,24.775,32650,157246,0.2076,0.5089,277,21,0.0758,1,0.001,0.2062,0.3242,16597,8010,1904,3845,19307,30356,93632,0.0429,57.0528,0,0,0,0,1.3863,2.5649
12060,"Atlanta-Sandy Springs-Roswell, GA",8838.952,4770870,539.7552,1135162,328590,4263438,0.2663,0.0771,1559712,121758,1437954,1083037,0.9219,0.5417,4770870,2584602,2445674,138928,50.3922,120,2,2,1,0.62,0.73,3569496925,52,42402653,40,9,2,2,21,74,1970,495039,4,420003,0.1516,0.119,0.0551,0.1005,0.1678,0.0444,1650700,36174,0.0219,184200,144100,4178.2107,45446,124502,29389,8.5097,27.9379,18.0759,398707,4187576,0.0952,0.4723,4140,45,0.0109,0,0,0.1652,0.3132,576141,191241,61289,26292,451048,854963,2729589,8.8878,748.1857,0,0,0,0.0059,3.6889,4.3041
12100,"Atlantic City-Hammonton, NJ",609.4158,270332,443.592,63855,34437,252552,0.2528,0.1364,95024,4041,90983,63151,0.9575,0.5042,270332,136314,129021,7293,89.0213,90,0,0,0,0.18,0.26,18995202,1,467148,1,2,0,2,0,5,1930,66198,8,39558,0.4024,0.0704,0.1671,0.2162,0.2641,0.1474,114090,6191,0.0543,219000,88700,3991.3884,1855,8472,463,8.52,26.5,15.6,25906,246787,0.105,0.4631,193,0,0,7,0.0115,0.2184,0.1869,21655,5613,3200,1041,36809,31509,168546,1.7281,70.2662,0,0,0,0.0016,0,1.6094
12220,"Auburn-Opelika, AL",616.1732,126133,204.7038,26802,9337,115092,0.2329,0.0811,45702,2955,42747,27270,0.9353,0.5037,126133,63530,61161,2369,47.1643,0,0,1,0,1.42,1.26,9495586,0,0,1,0,2,0,1,4,2010,53380,0,53380,0,0.0959,0.0919,0.0809,0.0271,0.0364,50329,1452,0.0289,157100,116100,4184.4719,1204,3830,244,8.12,30.2,22.7,24119,110577,0.2181,0.5008,210,0,0,0,0,0.1859,0.2791,9402,4793,927,2229,11557,17351,62170,0,75.2823,0,0,0,0,0,1.3863
12260,"Augusta-Richmond County, GA-SC",3583.3974,531294,148.2654,138224,55893,508032,0.2721,0.11,188052,7959,180093,134544,0.9577,0.4826,531294,256395,240687,15708,33.6846,90,0,0,0,1.24,1.05,116456269,7,156170,15,0,1,0,1,17,2010,195844,0,195844,0,0.0458,0.1007,0.1016,0.0762,0.0607,209115,6201,0.0297,133500,73700,4495.2512,4786,16453,2644,10.4243,31.0714,17.3286,76215,493673,0.1544,0.4664,685,5,0.0073,3,8e-4,0.2183,0.2025,41991,14616,5527,2830,70034,64964,320784,0.2939,219.1936,0,0,0,0.002,2.7081,2.8332
