cbsa_fips,name,gmp,pop,a1,a2,b1,b2,quadrant,label
34620,"Muncie, IN",-0.075247138,-0.009244837,1,0,0,0,1,0
22420,"Flint, MI",-0.077302033,-0.023733151,1,0,0,0,1,1
31900,"Mansfield, OH",-0.025265957,-0.033969205,1,0,0,0,1,0
44220,"Springfield, OH",-0.04763237,-0.044278786,1,0,0,0,1,0
48260,"Weirton-Steubenville, WV-OH",-0.063219726,-0.057223805,1,0,0,0,1,0
15940,"Canton-Massillon, OH",-0.029713653,-0.006172991,1,0,0,0,1,0
19820,"Detroit-Warren-Dearborn, MI",-0.024098364,-0.035104997,1,0,0,0,1,1
49660,"Youngstown-Warren-Boardman, OH-PA",-0.017972965,-0.061680299,1,0,0,0,1,1
27780,"Johnstown, PA",0.042968182,-0.058447686,0,2,0,0,2,0
38220,"Pine Bluff, AR",0.083102395,-0.06598597,0,2,0,0,2,1
35380,"New Orleans-Metairie, LA",0.002741923,-0.110530856,0,2,0,0,2,1
21500,"Erie, PA",0.039993149,-0.000986316,0,2,0,0,2,0
48660,"Wichita Falls, TX",0.23021794,-0.001438716,0,2,0,0,2,0
46540,"Utica-Rome, NY",0.090343632,-0.00166391,0,2,0,0,2,0
13780,"Binghamton, NY",0.191957231,-0.002358117,0,2,0,0,2,0
45780,"Toledo, OH",0.039327174,-0.011770542,0,2,0,0,2,0
37620,"Parkersburg-Vienna, WV",0.057474205,-0.012635975,0,2,0,0,2,0
12980,"Battle Creek, MI",0.073135552,-0.013327536,0,2,0,0,2,0
13220,"Beckley, WV",0.190097319,-0.014992232,0,2,0,0,2,0
11020,"Altoona, PA",0.097713988,-0.01591247,0,2,0,0,2,0
30620,"Lima, OH",0.165422417,-0.019746849,0,2,0,0,2,0
13020,"Bay City, MI",0.003287572,-0.021659994,0,2,0,0,2,0
21300,"Elmira, NY",0.205314816,-0.024596464,0,2,0,0,2,0
29020,"Kokomo, IN",0.170697874,-0.026034556,0,2,0,0,2,0
19180,"Danville, IL",0.106400298,-0.027335883,0,2,0,0,2,0
38340,"Pittsfield, MA",0.068066266,-0.027668892,0,2,0,0,2,0
16620,"Charleston, WV",0.139419217,-0.02809688,0,2,0,0,2,0
12700,"Barnstable Town, MA",0.04981572,-0.028538001,0,2,0,0,2,0
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.172917232,-0.029571553,0,2,0,0,2,0
38300,"Pittsburgh, PA",0.10575857,-0.030768952,0,2,0,0,2,0
48700,"Williamsport, PA",0.173073881,-0.032762987,0,2,0,0,2,0
17460,"Cleveland-Elyria, OH",0.062554193,-0.033006648,0,2,0,0,2,0
48540,"Wheeling, WV-OH",0.17477699,-0.034092393,0,2,0,0,2,0
19500,"Decatur, IL",0.091027417,-0.034331247,0,2,0,0,2,0
35660,"Niles-Benton Harbor, MI",0.025845431,-0.034717734,0,2,0,0,2,0
40980,"Saginaw, MI",0.004438034,-0.046991273,0,2,0,0,2,0
36140,"Ocean City, NJ",0.120685714,-0.04945957,0,2,0,0,2,0
41100,"St. George, UT",-0.064856146,0.528598623,0,0,3,0,3,1
29820,"Las Vegas, NV",-0.101920957,0.418315628,0,0,3,0,3,1
39580,"Raleigh, NC",-0.076384422,0.41830527,0,0,3,0,3,1
15980,"Cape Coral-Fort Myers, FL",-0.108095383,0.403426721,0,0,3,0,3,0
24540,"Greeley, CO",-0.179910875,0.397317283,0,0,3,0,3,0
39900,"Reno, NV",-0.200419671,0.240698777,0,0,3,0,3,1
19140,"Dalton, GA",-0.421510498,0.184918896,0,0,3,0,3,1
49180,"Winston-Salem, NC",-0.153417331,0.125416588,0,0,3,0,3,1
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",-0.161099666,0.396445888,0,0,3,0,3,0
25940,"Hilton Head Island-Bluffton-Beaufort, SC",-0.312323849,0.320552201,0,0,3,0,3,0
34940,"Naples-Immokalee-Marco Island, FL",-0.309191753,0.279035075,0,0,3,0,3,0
13460,"Bend-Redmond, OR",-0.125301374,0.367228063,0,0,3,0,3,0
38940,"Port St. Lucie, FL",-0.045924483,0.327715966,0,0,3,0,3,0
14260,"Boise City, ID",-0.011333367,0.326394028,0,0,3,0,3,0
19300,"Daphne-Fairhope-Foley, AL",-0.007607072,0.298045081,0,0,3,0,3,0
40140,"Riverside-San Bernardino-Ontario, CA",-0.011731926,0.298028678,0,0,3,0,3,0
36740,"Orlando-Kissimmee-Sanford, FL",-0.033231921,0.297860645,0,0,3,0,3,0
29700,"Laredo, TX",-0.066723549,0.296126183,0,0,3,0,3,0
29420,"Lake Havasu City-Kingman, AZ",-0.113731198,0.291255999,0,0,3,0,3,0
23580,"Gainesville, GA",-0.077263562,0.29011969,0,0,3,0,3,0
38060,"Phoenix-Mesa-Scottsdale, AZ",-0.031725631,0.28937481,0,0,3,0,3,0
20100,"Dover, DE",-0.099381245,0.28108795,0,0,3,0,3,0
36100,"Ocala, FL",-0.098928851,0.279557849,0,0,3,0,3,0
24300,"Grand Junction, CO",-0.000903914,0.26207905,0,0,3,0,3,0
41700,"San Antonio-New Braunfels, TX",-0.003156879,0.251682097,0,0,3,0,3,0
47580,"Warner Robins, GA",-0.020432209,0.246680503,0,0,3,0,3,0
29460,"Lakeland-Winter Haven, FL",-0.0934309,0.244193303,0,0,3,0,3,0
12060,"Atlanta-Sandy Springs-Roswell, GA",-0.108881372,0.240015218,0,0,3,0,3,0
19100,"Dallas-Fort Worth-Arlington, TX",-0.007934562,0.234731199,0,0,3,0,3,0
