target,source,value,IDsource,IDtarget
Universe,C03-01,245,0,31
Universe,C03-02,75,1,31
Universe,C03-03,31,2,31
C03-01,C10-01,96,3,0
C03-02,C10-02,53,4,1
C03-01,C10-03,25,5,0
C03-02,C10-04,9,6,1
C03-01,C10-05,84,7,0
C03-03,C10-06,31,8,2
C03-01,C10-07,16,9,0
C03-02,C10-08,13,10,1
C03-01,C10-09,15,11,0
C03-01,C10-10,9,12,0
C10-01,C18-01,66,13,3
C10-02,C18-02,21,14,4
C10-03,C18-03,25,15,5
C10-04,C18-04,9,16,6
C10-02,C18-05,31,17,4
C10-05,C18-06,38,18,7
C10-06,C18-07,6,19,8
C10-06,C18-08,5,20,8
C10-05,C18-09,46,21,7
C10-06,C18-10,20,22,8
C10-07,C18-11,16,23,9
C10-08,C18-12,9,24,10
C10-09,C18-13,14,25,11
C10-01,C18-14,30,26,3
C10-08,C18-15,4,27,10
C10-10,C18-16,9,28,12
C10-02,C18-17,1,29,4
C10-09,C18-18,1,30,11
