cbsa_fips,cbsa,cbsa_type,cty_fips
33860,"Montgomery, AL",Metropolitan Statistical Area,01001
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,01003
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,01007
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,01009
11500,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,01015
46740,"Valley, AL",Micropolitan Statistical Area,01017
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,01021
21460,"Enterprise, AL",Micropolitan Statistical Area,01031
22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,01033
45180,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,01037
18980,"Cullman, AL",Micropolitan Statistical Area,01043
37120,"Ozark, AL",Micropolitan Statistical Area,01045
42820,"Selma, AL",Micropolitan Statistical Area,01047
33860,"Montgomery, AL",Metropolitan Statistical Area,01051
23460,"Gadsden, AL",Metropolitan Statistical Area,01055
20020,"Dothan, AL",Metropolitan Statistical Area,01061
46220,"Tuscaloosa, AL",Metropolitan Statistical Area,01065
20020,"Dothan, AL",Metropolitan Statistical Area,01067
20020,"Dothan, AL",Metropolitan Statistical Area,01069
42460,"Scottsboro, AL",Micropolitan Statistical Area,01071
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,01073
22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,01077
19460,"Decatur, AL",Metropolitan Statistical Area,01079
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,01081
26620,"Huntsville, AL",Metropolitan Statistical Area,01083
33860,"Montgomery, AL",Metropolitan Statistical Area,01085
26620,"Huntsville, AL",Metropolitan Statistical Area,01089
10700,"Albertville, AL",Micropolitan Statistical Area,01095
33660,"Mobile, AL",Metropolitan Statistical Area,01097
33860,"Montgomery, AL",Metropolitan Statistical Area,01101
19460,"Decatur, AL",Metropolitan Statistical Area,01103
46220,"Tuscaloosa, AL",Metropolitan Statistical Area,01107
45980,"Troy, AL",Micropolitan Statistical Area,01109
17980,"Columbus, GA-AL",Metropolitan Statistical Area,01113
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,01115
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,01117
45180,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,01121
46220,"Tuscaloosa, AL",Metropolitan Statistical Area,01125
13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,01127
11260,"Anchorage, AK",Metropolitan Statistical Area,02020
21820,"Fairbanks, AK",Metropolitan Statistical Area,02090
27940,"Juneau, AK",Micropolitan Statistical Area,02110
28540,"Ketchikan, AK",Micropolitan Statistical Area,02130
11260,"Anchorage, AK",Metropolitan Statistical Area,02170
43420,"Sierra Vista-Douglas, AZ",Metropolitan Statistical Area,04003
22380,"Flagstaff, AZ",Metropolitan Statistical Area,04005
37740,"Payson, AZ",Micropolitan Statistical Area,04007
40940,"Safford, AZ",Micropolitan Statistical Area,04009
38060,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan Statistical Area,04013
29420,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,04015
43320,"Show Low, AZ",Micropolitan Statistical Area,04017
46060,"Tucson, AZ",Metropolitan Statistical Area,04019
38060,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan Statistical Area,04021
35700,"Nogales, AZ",Micropolitan Statistical Area,04023
39140,"Prescott, AZ",Metropolitan Statistical Area,04025
49740,"Yuma, AZ",Metropolitan Statistical Area,04027
34260,"Mountain Home, AR",Micropolitan Statistical Area,05005
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,05007
25460,"Harrison, AR",Micropolitan Statistical Area,05009
15780,"Camden, AR",Micropolitan Statistical Area,05013
11660,"Arkadelphia, AR",Micropolitan Statistical Area,05019
38220,"Pine Bluff, AR",Metropolitan Statistical Area,05025
31620,"Magnolia, AR",Micropolitan Statistical Area,05027
27860,"Jonesboro, AR",Metropolitan Statistical Area,05031
22900,"Fort Smith, AR-OK",Metropolitan Statistical Area,05033
32820,"Memphis, TN-MS-AR",Metropolitan Statistical Area,05035
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,05045
26300,"Hot Springs, AR",Metropolitan Statistical Area,05051
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,05053
37500,"Paragould, AR",Micropolitan Statistical Area,05055
31680,"Malvern, AR",Micropolitan Statistical Area,05059
12900,"Batesville, AR",Micropolitan Statistical Area,05063
38220,"Pine Bluff, AR",Metropolitan Statistical Area,05069
38220,"Pine Bluff, AR",Metropolitan Statistical Area,05079
45500,"Texarkana, TX-AR",Metropolitan Statistical Area,05081
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,05085
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,05087
45500,"Texarkana, TX-AR",Metropolitan Statistical Area,05091
14180,"Blytheville, AR",Micropolitan Statistical Area,05093
25460,"Harrison, AR",Micropolitan Statistical Area,05101
15780,"Camden, AR",Micropolitan Statistical Area,05103
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,05105
25760,"Helena-West Helena, AR",Micropolitan Statistical Area,05107
27860,"Jonesboro, AR",Metropolitan Statistical Area,05111
40780,"Russellville, AR",Micropolitan Statistical Area,05115
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,05119
22620,"Forrest City, AR",Micropolitan Statistical Area,05123
30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,05125
22900,"Fort Smith, AR-OK",Metropolitan Statistical Area,05131
20980,"El Dorado, AR",Micropolitan Statistical Area,05139
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,05143
42620,"Searcy, AR",Micropolitan Statistical Area,05145
40780,"Russellville, AR",Micropolitan Statistical Area,05149
41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,06001
17020,"Chico, CA",Metropolitan Statistical Area,06007
41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,06013
18860,"Crescent City, CA",Micropolitan Statistical Area,06015
40900,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,06017
23420,"Fresno, CA",Metropolitan Statistical Area,06019
21700,"Eureka-Arcata-Fortuna, CA",Micropolitan Statistical Area,06023
20940,"El Centro, CA",Metropolitan Statistical Area,06025
12540,"Bakersfield, CA",Metropolitan Statistical Area,06029
25260,"Hanford-Corcoran, CA",Metropolitan Statistical Area,06031
17340,"Clearlake, CA",Micropolitan Statistical Area,06033
45000,"Susanville, CA",Micropolitan Statistical Area,06035
